Distrito,Habitaciones,Operacion,Precio,Tamano,Garaje,Trastero,Piscina,Terraza,Planta,Exterior,Ascensor,Ano_construccion,Ano_reforma,Tipo_vivienda,Banos
ALCOBENDASMADRID,1,alquiler,1350,75.0,False,False,False,False,1.0,True,True,,,loft,1
ALCOBENDASMADRID,2,alquiler,1350,62.0,False,False,False,False,3.0,True,True,,,apartamento,1
ALCOBENDASMADRID,1,alquiler,1199,35.0,False,False,False,False,1.0,True,True,,,estudio,1
ALCOBENDASMADRID,2,alquiler,1886,50.0,False,False,False,False,1.0,True,True,,,apartamento,1
ALCOBENDASMADRID,1,alquiler,1581,30.0,False,False,False,False,0.0,True,True,,,apartamento,1
ALCOBENDASMADRID,2,alquiler,1956,50.0,False,False,False,False,1.0,True,True,,,apartamento,1
ALCOBENDASMADRID,1,alquiler,1560,30.0,False,False,False,False,3.0,True,True,,,apartamento,1
ALCOBENDASMADRID,1,alquiler,1500,30.0,False,False,False,False,1.0,True,True,,,apartamento,1
ALCOBENDASMADRID,4,alquiler,2717,86.0,False,False,False,False,1.0,True,True,,,estudio,1
ALCOBENDASMADRID,1,alquiler,1400,125.0,False,False,False,False,3.0,True,True,,,loft,1
ALCOBENDASMADRID,1,alquiler,1350,88.0,False,False,False,False,0.0,True,True,,,loft,1
ALCOBENDASMADRID,3,alquiler,2450,138.0,False,False,False,True,,True,True,,,ático,1
ALCOBENDASMADRID,1,alquiler,1150,74.0,False,False,False,True,1.0,True,True,,,apartamento,1
ALCOBENDASMADRID,3,alquiler,2500,140.0,True,True,False,False,0.0,True,True,,,apartamento,1
ALCOBENDASMADRID,3,alquiler,3240,120.0,False,False,False,False,2.0,True,True,,,apartamento,1
ALCOBENDASMADRID,3,alquiler,3200,339.0,False,False,False,False,0.0,True,True,,,loft,1
ALCOBENDASMADRID,1,alquiler,2100,211.0,False,False,False,False,3.0,True,True,,,loft,1
ALCOBENDASMADRID,1,alquiler,1249,40.0,False,False,False,False,1.0,True,True,,,apartamento,1
ALCOBENDASMADRID,3,alquiler,1250,85.0,False,False,False,False,0.0,True,True,,,apartamento,1
ALCOBENDASMADRID,1,alquiler,825,55.0,False,False,False,False,0.0,True,False,,,dúplex,1
ALCOBENDASMADRID,1,alquiler,2500,140.0,False,False,False,False,1.0,True,True,,,dúplex,1
ALCOBENDASMADRID,3,alquiler,1300,98.0,False,False,False,False,1.0,True,True,,,apartamento,1
ALCOBENDASMADRID,1,alquiler,975,60.0,False,False,False,True,5.0,True,True,,,ático,1
ALCOBENDASMADRID,2,alquiler,1350,95.0,False,False,False,True,2.0,True,True,,,apartamento,1
ALCOBENDASMADRID,2,alquiler,1240,75.0,False,False,False,False,4.0,True,True,,,apartamento,1
ALCOBENDASMADRID,3,alquiler,1500,92.0,True,True,True,False,3.0,True,True,,,apartamento,2
ALCOBENDASMADRID,1,alquiler,1200,70.0,False,False,False,False,5.0,True,True,,,loft,1
ALCOBENDASMADRID,3,alquiler,3300,140.0,False,False,False,False,1.0,True,True,,,dúplex,3
ALCOBENDASMADRID,3,alquiler,1695,110.0,False,False,False,False,1.0,True,True,,,apartamento,1
ALCOBENDASMADRID,3,alquiler,1595,95.0,False,False,False,True,1.0,True,True,,,apartamento,2
ALCOBENDASMADRID,3,alquiler,1500,90.0,False,False,False,False,2.0,False,False,,,apartamento,1
ALCOBENDASMADRID,1,alquiler,2100,140.0,False,False,False,False,0.0,True,True,,,apartamento,1
ALCOBENDASMADRID,1,alquiler,925,55.0,False,True,False,False,0.0,True,True,,,apartamento,1
ALCOBENDASMADRID,1,alquiler,1500,90.0,False,False,False,True,2.0,True,True,,,apartamento,2
ALCOBENDASMADRID,3,alquiler,1150,135.0,False,False,False,False,1.0,True,True,,,apartamento,2
ALCOBENDASMADRID,1,alquiler,1800,109.0,False,False,False,True,3.0,True,True,,,dúplex,1
ALCOBENDASMADRID,1,alquiler,1175,90.0,True,False,False,False,0.0,True,True,,,dúplex,1
ALCOBENDASMADRID,3,alquiler,1300,120.0,True,False,False,True,2.0,True,True,,,apartamento,1
ALCOBENDASMADRID,2,alquiler,1380,115.0,False,False,False,False,2.0,True,True,,,apartamento,1
ALCOBENDASMADRID,3,alquiler,1575,110.0,False,False,False,False,3.0,True,True,,,estudio,1
ALCOBENDASMADRID,3,alquiler,2450,140.0,False,False,False,True,3.0,True,True,,,ático,1
ALCOBENDASMADRID,3,alquiler,2000,100.0,False,False,False,False,3.0,True,True,,,apartamento,1
ALCOBENDASMADRID,3,alquiler,2100,123.0,False,False,False,False,0.0,True,True,,,apartamento,1
ALCOBENDASMADRID,1,alquiler,1500,107.0,False,False,False,True,2.0,True,True,,,dúplex,1
ALCOBENDASMADRID,1,alquiler,1249,30.0,False,False,True,True,4.0,True,True,,,apartamento,1
ALCOBENDASMADRID,3,alquiler,1900,167.0,False,False,True,False,3.0,True,True,,,dúplex,2
ALCOBENDASMADRID,2,alquiler,1100,55.0,False,False,False,False,0.0,True,False,,,apartamento,1
ALCOBENDASMADRID,2,alquiler,1800,120.0,False,False,True,False,2.0,True,True,,,apartamento,1
ALCOBENDASMADRID,2,alquiler,1100,70.0,False,False,False,False,0.0,True,True,,,apartamento,1
ALCOBENDASMADRID,2,alquiler,1350,98.0,False,False,False,False,1.0,True,True,,,apartamento,1
ALCORCONMADRID,2,alquiler,1350,80.0,False,False,False,False,4.0,True,True,,,apartamento,2
ALCORCONMADRID,3,alquiler,1275,80.0,False,False,False,False,9.0,True,True,,,apartamento,1
ALCORCONMADRID,2,alquiler,1000,70.0,False,False,False,False,1.0,True,False,,,apartamento,1
ALCORCONMADRID,3,alquiler,1420,96.0,True,False,False,True,4.0,False,True,,,apartamento,1
ALCORCONMADRID,2,alquiler,910,64.0,False,False,False,True,4.0,True,True,,,apartamento,1
ALCORCONMADRID,2,alquiler,1100,72.0,False,False,False,False,0.0,True,True,,,estudio,1
ALCORCONMADRID,1,alquiler,1200,133.0,False,False,False,False,1.0,True,True,,,dúplex,1
ALCORCONMADRID,2,alquiler,1100,70.0,False,False,False,False,5.0,True,True,,,apartamento,1
ALCORCONMADRID,1,alquiler,1500,50.0,False,False,False,False,,False,False,,,apartamento,1
ALCORCONMADRID,1,alquiler,1500,50.0,False,False,False,False,,False,False,,,apartamento,1
ALCORCONMADRID,1,alquiler,1500,50.0,False,False,False,False,,False,False,,,apartamento,1
ALCORCONMADRID,1,alquiler,1500,50.0,False,False,False,False,,False,False,,,apartamento,1
ALCORCONMADRID,1,alquiler,1500,50.0,False,False,False,False,,False,False,,,apartamento,1
ALCORCONMADRID,1,alquiler,1636,50.0,False,False,False,False,,False,False,,,apartamento,1
ALCORCONMADRID,1,alquiler,1636,50.0,False,False,False,False,,False,False,,,apartamento,1
ALCORCONMADRID,1,alquiler,1500,50.0,False,False,False,False,,False,False,,,apartamento,1
ALCORCONMADRID,1,alquiler,1500,50.0,False,False,False,False,,False,False,,,apartamento,1
ALCORCONMADRID,1,alquiler,1854,50.0,False,False,False,False,,False,False,,,apartamento,1
ALCORCONMADRID,1,alquiler,1200,145.0,False,False,False,True,2.0,True,True,,,dúplex,1
ALCORCONMADRID,3,alquiler,1130,95.0,True,True,False,False,3.0,True,True,,,apartamento,1
ALCORCONMADRID,4,alquiler,1800,136.0,False,False,False,False,0.0,True,True,,,apartamento,1
ALCORCONMADRID,1,alquiler,1000,69.0,True,True,False,False,1.0,True,True,,,apartamento,1
ALCORCONMADRID,2,alquiler,1270,93.0,True,False,False,False,3.0,True,True,,,apartamento,1
ALCORCONMADRID,3,alquiler,1000,91.0,False,False,False,True,5.0,True,True,,,apartamento,1
ALCORCONMADRID,1,alquiler,1500,41.0,False,False,False,False,,False,False,,,apartamento,1
