Distrito,Habitaciones,Operacion,Precio,Tamano,Garaje,Trastero,Piscina,Terraza,Planta,Exterior,Ascensor,Ano_construccion,Ano_reforma,Tipo_vivienda,Banos
CENTRO,2,alquiler,1275,45.0,False,False,False,False,0.0,False,False,,,apartamento,1
CENTRO,1,alquiler,1750,79.0,False,False,False,False,5.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2700,96.0,False,False,False,False,3.0,True,True,1910.0,,apartamento,2
CENTRO,3,alquiler,4246,189.0,False,False,False,False,4.0,True,True,,,apartamento,1
CENTRO,3,alquiler,3000,146.0,False,False,False,False,3.0,True,True,1940.0,,apartamento,1
CENTRO,1,alquiler,1250,49.0,False,False,False,False,4.0,False,True,1880.0,,apartamento,1
CENTRO,2,alquiler,3000,135.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1499,71.0,False,False,False,True,6.0,True,True,,,apartamento,1
CENTRO,3,alquiler,1550,85.0,False,False,False,False,3.0,False,True,,,apartamento,1
CENTRO,2,alquiler,1650,95.0,False,False,False,False,3.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1100,46.0,False,False,False,False,1.0,True,False,1980.0,,apartamento,1
CENTRO,1,alquiler,1050,51.0,False,False,False,False,0.0,False,False,,1920.0,apartamento,1
CENTRO,1,alquiler,925,32.0,False,False,False,False,3.0,False,False,,,estudio,1
CENTRO,1,alquiler,3000,42.0,False,False,False,True,4.0,True,True,,,estudio,1
CENTRO,1,alquiler,1250,46.0,False,False,False,False,2.0,True,False,,2012.0,apartamento,1
CENTRO,2,alquiler,2700,92.0,False,False,False,False,5.0,True,True,,,ático,1
CENTRO,2,alquiler,1970,84.0,False,False,False,False,1.0,False,True,,,apartamento,1
CENTRO,6,alquiler,11000,557.0,False,False,False,False,2.0,True,True,,,apartamento,5
CENTRO,2,alquiler,1800,50.0,False,False,False,False,,False,False,,,apartamento,1
CENTRO,3,alquiler,3300,180.0,False,False,False,False,2.0,True,True,,,estudio,1
CENTRO,2,alquiler,1250,40.0,False,False,False,False,0.0,True,False,,,apartamento,1
CENTRO,2,alquiler,2300,120.0,False,False,False,False,4.0,True,True,,,apartamento,1
CENTRO,2,alquiler,3200,90.0,False,False,False,False,,False,True,,,apartamento,1
CENTRO,3,alquiler,3000,168.0,False,False,False,False,3.0,True,True,,,apartamento,1
CENTRO,1,alquiler,2610,60.0,False,False,False,True,,False,True,,,apartamento,1
CENTRO,1,alquiler,1300,45.0,False,False,False,True,4.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1650,57.0,False,False,False,True,5.0,False,True,,,dúplex,1
CENTRO,1,alquiler,1150,38.0,False,False,False,False,3.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2000,73.0,False,False,False,True,3.0,True,True,,,apartamento,1
CENTRO,3,alquiler,2300,75.0,False,False,False,False,3.0,False,True,,,apartamento,1
CENTRO,1,alquiler,3300,45.0,False,False,False,True,,False,True,,,apartamento,1
CENTRO,3,alquiler,3500,150.0,False,False,False,False,6.0,True,True,,,ático,1
CENTRO,1,alquiler,3000,10.0,False,False,False,True,,False,True,,,apartamento,1
CENTRO,2,alquiler,1300,60.0,False,False,False,False,5.0,True,False,,,ático,1
CENTRO,1,alquiler,3200,37.0,False,False,False,False,,False,True,,,apartamento,1
CENTRO,1,alquiler,1500,56.0,False,False,False,False,0.0,False,False,,,dúplex,1
CENTRO,1,alquiler,2850,35.0,False,False,False,False,,False,True,,,apartamento,1
CENTRO,4,alquiler,3100,150.0,False,False,False,False,3.0,False,False,,,apartamento,1
CENTRO,2,alquiler,2950,100.0,False,False,False,True,,False,True,,,apartamento,1
CENTRO,1,alquiler,1000,38.0,False,False,False,False,0.0,True,False,,,apartamento,1
CENTRO,2,alquiler,2000,112.0,False,False,False,False,0.0,True,True,,,apartamento,1
CENTRO,2,alquiler,1200,35.0,False,False,False,False,4.0,True,False,,,apartamento,1
CENTRO,2,alquiler,1350,42.0,False,False,False,False,5.0,False,True,,,ático,1
CENTRO,1,alquiler,1499,60.0,False,False,False,False,4.0,False,False,,,dúplex,1
