,Distrito,Esperanza_vida,Mayores_65anos%,Menores_18anos%,Paro_registrado%,Apartamentos_turisticos,Superficie_distrito_ha,Zonas_verdes%
0,ARGANZUELA,-0.015476190476190229,0.0034285714285714453,-0.0026904761904761815,-0.002181953416179977,0.14285714285714338,0.0,0.0
1,BARAJAS,0.11904761904761789,0.002904761904761903,-0.0022738095238095187,-0.0015301869473046542,0.08333333333333326,0.0,0.0
2,CARABANCHEL,0.0273809523809523,-0.0022619047619047684,-0.001845238095238074,-0.002469309503898654,0.547619047619051,0.0,0.0
3,CENTRO,0.06785714285714149,-0.0009404761904761724,-0.0026071428571428504,-0.0021503593428691707,3.4047619047618816,0.0,0.0
4,CHAMARTIN,0.032142857142855634,0.0011428571428571438,-0.00030952380952381026,-0.0012323833188930666,0.19047619047619013,0.0,0.0
5,CHAMBERI,0.0749999999999995,0.00040476190476190565,-0.0010238095238095323,-0.0015269321809995254,0.32142857142857234,0.0,0.0
6,CIUDADLINEAL,0.009523809523809889,-0.000619047619047625,-0.0021428571428571525,-0.0021825756042512345,0.285714285714285,0.0,0.0
7,FUENCARRALELPARDO,0.04166666666666805,0.0017738095238095232,7.142857142856658e-05,-0.0016276653735727215,0.0,0.0,0.0
8,HORTALEZA,0.09166666666666742,0.000214285714285714,7.142857142858276e-05,-0.0018322018381817825,0.08333333333333293,0.0,0.0
9,LATINA,-0.019047619047617783,-0.0020833333333333225,-0.0012499999999999948,-0.0021764501593183353,0.0,0.0,0.0
10,MONCLOAARAVACA,0.03452380952381089,0.0011071428571428521,-0.0014404761904761789,-0.0013476919929486337,0.40476190476190504,0.0,0.0
11,MORATALAZ,-0.020238095238094802,0.0007619047619047632,-0.002571428571428564,-0.0017935965312611333,0.0,0.0,0.0
12,PUENTEDEVALLECAS,0.04523809523809667,-0.001440476190476186,-0.0018333333333333322,-0.003173621178822416,0.32142857142857084,0.0,0.0
13,RETIRO,-0.027380952380952246,0.0028928571428571237,-0.000952380952380954,-0.0013209593135846142,0.14285714285714407,0.0,0.0
14,SALAMANCA,0.04285714285714254,1.1904761904762122e-05,-0.0011309523809523822,-0.0014570629127109136,0.45238095238095194,0.0,0.0
15,SANBLASCANILLEJAS,-0.01904761904761907,-0.00015476190476190434,-0.0042976190476190276,-0.0021975228078047098,-0.047619047619049976,0.0,0.0
16,TETUAN,-0.013095238095238725,-0.0012499999999999972,-0.00146428571428571,-0.0022946899153345568,0.23809523809523653,0.0,0.0
17,USERA,0.042857142857143475,-0.001964285714285728,-0.0025714285714285817,-0.002197958948612095,0.011904761904761394,0.0,0.0
18,VICALVARO,-0.014285714285715612,-0.0015238095238095202,-0.0044880952380952745,-0.0029070539697739423,0.0,0.0,0.0
19,VILLADEVALLECAS,-0.03333333333333394,0.001845238095238087,-0.0012023809523809546,-0.002659471466321344,-0.1785714285714294,0.0,0.0
20,VILLAVERDE,0.051190476190475294,-0.0026785714285714165,-0.0017976190476190505,-0.0031616527123717424,0.08333333333333272,0.0,0.0
