Ano,Distrito,Esperanza_vida
2004,CENTRO,81.5
2004,ARGANZUELA,82.6
2004,RETIRO,83.0
2004,SALAMANCA,83.0
2004,CHAMARTIN,82.7
2004,TETUAN,81.0
2004,CHAMBERI,82.6
2004,FUENCARRALELPARDO,81.9
2004,MONCLOAARAVACA,83.1
2004,LATINA,82.5
2004,CARABANCHEL,81.8
2004,USERA,81.4
2004,PUENTEDEVALLECAS,80.2
2004,MORATALAZ,82.6
2004,CIUDADLINEAL,82.4
2004,HORTALEZA,82.5
2004,VILLAVERDE,81.3
2004,VILLADEVALLECAS,79.6
2004,VICALVARO,80.4
2004,SANBLASCANILLEJAS,81.4
2004,BARAJAS,82.3
2005,CENTRO,80.5
2005,ARGANZUELA,82.1
2005,RETIRO,83.4
2005,SALAMANCA,83.2
2005,CHAMARTIN,83.1
2005,TETUAN,81.9
2005,CHAMBERI,82.6
2005,FUENCARRALELPARDO,81.8
2005,MONCLOAARAVACA,83.1
2005,LATINA,82.7
2005,CARABANCHEL,82.2
2005,USERA,81.0
2005,PUENTEDEVALLECAS,80.5
2005,MORATALAZ,82.3
2005,CIUDADLINEAL,82.5
2005,HORTALEZA,81.7
2005,VILLAVERDE,81.4
2005,VILLADEVALLECAS,81.0
2005,VICALVARO,80.8
2005,SANBLASCANILLEJAS,80.6
2005,BARAJAS,82.8
2006,CENTRO,81.1
2006,ARGANZUELA,83.1
2006,RETIRO,83.7
2006,SALAMANCA,83.0
2006,CHAMARTIN,83.4
2006,TETUAN,83.1
2006,CHAMBERI,83.4
2006,FUENCARRALELPARDO,82.9
2006,MONCLOAARAVACA,83.3
2006,LATINA,83.2
2006,CARABANCHEL,81.9
2006,USERA,81.3
2006,PUENTEDEVALLECAS,81.3
2006,MORATALAZ,83.0
2006,CIUDADLINEAL,82.9
2006,HORTALEZA,82.9
2006,VILLAVERDE,82.1
2006,VILLADEVALLECAS,82.7
2006,VICALVARO,83.4
2006,SANBLASCANILLEJAS,82.1
2006,BARAJAS,83.7
2007,CENTRO,81.4
2007,ARGANZUELA,83.4
2007,RETIRO,84.1
2007,SALAMANCA,83.0
2007,CHAMARTIN,83.8
2007,TETUAN,82.9
2007,CHAMBERI,82.1
2007,FUENCARRALELPARDO,82.9
2007,MONCLOAARAVACA,82.9
2007,LATINA,83.1
2007,CARABANCHEL,82.0
2007,USERA,81.3
2007,PUENTEDEVALLECAS,80.7
2007,MORATALAZ,82.6
2007,CIUDADLINEAL,82.6
2007,HORTALEZA,82.8
2007,VILLAVERDE,81.5
2007,VILLADEVALLECAS,81.7
2007,VICALVARO,81.4
2007,SANBLASCANILLEJAS,81.2
2007,BARAJAS,82.3
2008,CENTRO,81.8
2008,ARGANZUELA,83.3
2008,RETIRO,83.3
2008,SALAMANCA,83.7
2008,CHAMARTIN,84.5
2008,TETUAN,82.9
2008,CHAMBERI,82.9
2008,FUENCARRALELPARDO,82.9
2008,MONCLOAARAVACA,83.5
2008,LATINA,83.4
2008,CARABANCHEL,82.7
2008,USERA,81.2
2008,PUENTEDEVALLECAS,81.3
2008,MORATALAZ,82.8
2008,CIUDADLINEAL,83.7
2008,HORTALEZA,83.1
2008,VILLAVERDE,81.7
2008,VILLADEVALLECAS,81.9
2008,VICALVARO,82.6
2008,SANBLASCANILLEJAS,82.1
2008,BARAJAS,83.5
2009,CENTRO,82.1
2009,ARGANZUELA,83.6
2009,RETIRO,84.0
2009,SALAMANCA,84.1
2009,CHAMARTIN,84.7
2009,TETUAN,83.5
2009,CHAMBERI,84.2
2009,FUENCARRALELPARDO,83.9
2009,MONCLOAARAVACA,84.4
2009,LATINA,83.4
2009,CARABANCHEL,83.1
2009,USERA,82.0
2009,PUENTEDEVALLECAS,82.6
2009,MORATALAZ,84.1
2009,CIUDADLINEAL,83.8
2009,HORTALEZA,83.4
2009,VILLAVERDE,82.8
2009,VILLADEVALLECAS,82.6
2009,VICALVARO,83.1
2009,SANBLASCANILLEJAS,83.2
2009,BARAJAS,83.3
2010,CENTRO,83.0
2010,ARGANZUELA,84.4
2010,RETIRO,84.8
2010,SALAMANCA,84.4
2010,CHAMARTIN,84.2
2010,TETUAN,83.5
2010,CHAMBERI,84.0
2010,FUENCARRALELPARDO,83.9
2010,MONCLOAARAVACA,84.2
2010,LATINA,84.4
2010,CARABANCHEL,83.4
2010,USERA,83.1
2010,PUENTEDEVALLECAS,82.3
2010,MORATALAZ,83.7
2010,CIUDADLINEAL,84.2
2010,HORTALEZA,84.2
2010,VILLAVERDE,83.3
2010,VILLADEVALLECAS,83.7
2010,VICALVARO,83.3
2010,SANBLASCANILLEJAS,82.8
2010,BARAJAS,83.3
2011,CENTRO,83.2
2011,ARGANZUELA,84.6
2011,RETIRO,85.2
2011,SALAMANCA,84.8
2011,CHAMARTIN,84.9
2011,TETUAN,84.0
2011,CHAMBERI,84.3
2011,FUENCARRALELPARDO,84.1
2011,MONCLOAARAVACA,83.8
2011,LATINA,84.4
2011,CARABANCHEL,83.1
2011,USERA,82.2
2011,PUENTEDEVALLECAS,82.8
2011,MORATALAZ,84.0
2011,CIUDADLINEAL,83.8
2011,HORTALEZA,83.9
2011,VILLAVERDE,83.6
2011,VILLADEVALLECAS,83.5
2011,VICALVARO,84.4
2011,SANBLASCANILLEJAS,83.6
2011,BARAJAS,83.8
2012,CENTRO,83.1
2012,ARGANZUELA,84.6
2012,RETIRO,84.9
2012,SALAMANCA,85.2
2012,CHAMARTIN,84.3
2012,TETUAN,83.6
2012,CHAMBERI,84.4
2012,FUENCARRALELPARDO,84.0
2012,MONCLOAARAVACA,83.7
2012,LATINA,84.4
2012,CARABANCHEL,83.4
2012,USERA,82.9
2012,PUENTEDEVALLECAS,83.0
2012,MORATALAZ,83.9
2012,CIUDADLINEAL,84.6
2012,HORTALEZA,84.1
2012,VILLAVERDE,83.3
2012,VILLADEVALLECAS,83.2
2012,VICALVARO,84.4
2012,SANBLASCANILLEJAS,83.2
2012,BARAJAS,84.2
2013,CENTRO,83.4
2013,ARGANZUELA,85.8
2013,RETIRO,85.2
2013,SALAMANCA,85.1
