Ano,Distrito,Renta_media_persona
2015,CENTRO,15512
2015,ARGANZUELA,16855
2015,RETIRO,20900
2015,SALAMANCA,23009
2015,CHAMARTIN,24155
2015,TETUAN,14563
2015,CHAMBERI,21558
2015,FUENCARRALELPARDO,18109
2015,MONCLOAARAVACA,21689
2015,LATINA,12057
2015,CARABANCHEL,10758
2015,USERA,9276
2015,PUENTEDEVALLECAS,9386
2015,MORATALAZ,13714
2015,CIUDADLINEAL,14767
2015,HORTALEZA,17662
2015,VILLAVERDE,9642
2015,VILLADEVALLECAS,11688
2015,VICALVARO,11375
2015,SANBLASCANILLEJAS,13171
2015,BARAJAS,17257
2016,CENTRO,16147
2016,ARGANZUELA,17306
2016,RETIRO,21504
2016,SALAMANCA,24433
2016,CHAMARTIN,25969
2016,TETUAN,14970
2016,CHAMBERI,22499
2016,FUENCARRALELPARDO,18573
2016,MONCLOAARAVACA,22152
2016,LATINA,12232
2016,CARABANCHEL,10872
2016,USERA,9395
2016,PUENTEDEVALLECAS,9545
2016,MORATALAZ,13944
2016,CIUDADLINEAL,15048
2016,HORTALEZA,18277
2016,VILLAVERDE,9756
2016,VILLADEVALLECAS,11925
2016,VICALVARO,11695
2016,SANBLASCANILLEJAS,13404
2016,BARAJAS,17641
2017,CENTRO,16711
2017,ARGANZUELA,17738
2017,RETIRO,21598
2017,SALAMANCA,24683
2017,CHAMARTIN,26267
2017,TETUAN,15180
2017,CHAMBERI,22897
2017,FUENCARRALELPARDO,18661
2017,MONCLOAARAVACA,22792
2017,LATINA,12370
2017,CARABANCHEL,10988
2017,USERA,9552
2017,PUENTEDEVALLECAS,9706
2017,MORATALAZ,14135
2017,CIUDADLINEAL,15111
2017,HORTALEZA,18620
2017,VILLAVERDE,9875
2017,VILLADEVALLECAS,12114
2017,VICALVARO,11941
2017,SANBLASCANILLEJAS,13559
2017,BARAJAS,17807
2018,CENTRO,17932
2018,ARGANZUELA,18473
2018,RETIRO,22706
2018,SALAMANCA,26255
2018,CHAMARTIN,28190
2018,TETUAN,15742
2018,CHAMBERI,24112
2018,FUENCARRALELPARDO,19551
2018,MONCLOAARAVACA,24686
2018,LATINA,12749
2018,CARABANCHEL,11327
2018,USERA,9860
2018,PUENTEDEVALLECAS,10045
2018,MORATALAZ,14637
2018,CIUDADLINEAL,15815
2018,HORTALEZA,19759
2018,VILLAVERDE,10164
2018,VILLADEVALLECAS,12545
2018,VICALVARO,12353
2018,SANBLASCANILLEJAS,14100
2018,BARAJAS,18514
2019,CENTRO,18789
2019,ARGANZUELA,19088
2019,RETIRO,23262
2019,SALAMANCA,25770
2019,CHAMARTIN,27634
2019,TETUAN,16354
2019,CHAMBERI,24881
2019,FUENCARRALELPARDO,20105
2019,MONCLOAARAVACA,24025
2019,LATINA,13179
2019,CARABANCHEL,11679
2019,USERA,10211
2019,PUENTEDEVALLECAS,10402
2019,MORATALAZ,15101
2019,CIUDADLINEAL,16349
2019,HORTALEZA,20044
2019,VILLAVERDE,10540
2019,VILLADEVALLECAS,12976
2019,VICALVARO,12916
2019,SANBLASCANILLEJAS,14545
2019,BARAJAS,19026
2020,CENTRO,18314
2020,ARGANZUELA,19284
2020,RETIRO,23227
2020,SALAMANCA,25932
2020,CHAMARTIN,27719
2020,TETUAN,16336
2020,CHAMBERI,24913
2020,FUENCARRALELPARDO,20217
2020,MONCLOAARAVACA,24138
2020,LATINA,13261
2020,CARABANCHEL,11713
2020,USERA,10239
2020,PUENTEDEVALLECAS,10445
2020,MORATALAZ,15294
2020,CIUDADLINEAL,16436
2020,HORTALEZA,19890
2020,VILLAVERDE,10591
2020,VILLADEVALLECAS,13099
2020,VICALVARO,13123
2020,SANBLASCANILLEJAS,14537
2020,BARAJAS,19138
2021,CENTRO,19199
2021,ARGANZUELA,20103
2021,RETIRO,23925
2021,SALAMANCA,25956
2021,CHAMARTIN,28233
2021,TETUAN,17026
2021,CHAMBERI,25275
2021,FUENCARRALELPARDO,20671
2021,MONCLOAARAVACA,24659
2021,LATINA,13719
2021,CARABANCHEL,12275
2021,USERA,10797
2021,PUENTEDEVALLECAS,10941
2021,MORATALAZ,15667
2021,CIUDADLINEAL,16890
2021,HORTALEZA,20500
2021,VILLAVERDE,11059
2021,VILLADEVALLECAS,13605
2021,VICALVARO,13849
2021,SANBLASCANILLEJAS,15115
2021,BARAJAS,19482
2022,CENTRO,20587
2022,ARGANZUELA,21383
2022,RETIRO,25407
2022,SALAMANCA,28140
2022,CHAMARTIN,30506
2022,TETUAN,18062
2022,CHAMBERI,27076
2022,FUENCARRALELPARDO,21947
2022,MONCLOAARAVACA,26694
2022,LATINA,14375
2022,CARABANCHEL,12764
2022,USERA,11430
2022,PUENTEDEVALLECAS,11452
2022,MORATALAZ,16437
2022,CIUDADLINEAL,17808
2022,HORTALEZA,21766
2022,VILLAVERDE,11563
2022,VILLADEVALLECAS,14274
2022,VICALVARO,14832
2022,SANBLASCANILLEJAS,15902
2022,BARAJAS,20788
