,Año,Distrito,Renta neta media por persona
0,2015,01. Centro,15512
1,2015,02. Arganzuela,16855
2,2015,03. Retiro,20900
3,2015,04. Salamanca,23009
4,2015,05. Chamartín,24155
5,2015,06. Tetuán,14563
6,2015,07. Chamberí,21558
7,2015,08. Fuencarral-El Pardo,18109
8,2015,09. Moncloa-Aravaca,21689
9,2015,10. Latina,12057
10,2015,11. Carabanchel,10758
11,2015,12. Usera,9276
12,2015,13. Puente de Vallecas,9386
13,2015,14. Moratalaz,13714
14,2015,15. Ciudad Lineal,14767
15,2015,16. Hortaleza,17662
16,2015,17. Villaverde,9642
17,2015,18. Villa de Vallecas,11688
18,2015,19. Vicálvaro,11375
19,2015,20. San Blas-Canillejas,13171
20,2015,21. Barajas,17257
21,2016,01. Centro,16147
22,2016,02. Arganzuela,17306
23,2016,03. Retiro,21504
24,2016,04. Salamanca,24433
25,2016,05. Chamartín,25969
26,2016,06. Tetuán,14970
27,2016,07. Chamberí,22499
28,2016,08. Fuencarral-El Pardo,18573
29,2016,09. Moncloa-Aravaca,22152
30,2016,10. Latina,12232
31,2016,11. Carabanchel,10872
32,2016,12. Usera,9395
33,2016,13. Puente de Vallecas,9545
34,2016,14. Moratalaz,13944
35,2016,15. Ciudad Lineal,15048
36,2016,16. Hortaleza,18277
37,2016,17. Villaverde,9756
38,2016,18. Villa de Vallecas,11925
39,2016,19. Vicálvaro,11695
40,2016,20. San Blas-Canillejas,13404
41,2016,21. Barajas,17641
42,2017,01. Centro,16711
43,2017,02. Arganzuela,17738
44,2017,03. Retiro,21598
45,2017,04. Salamanca,24683
46,2017,05. Chamartín,26267
47,2017,06. Tetuán,15180
48,2017,07. Chamberí,22897
49,2017,08. Fuencarral-El Pardo,18661
50,2017,09. Moncloa-Aravaca,22792
51,2017,10. Latina,12370
52,2017,11. Carabanchel,10988
53,2017,12. Usera,9552
54,2017,13. Puente de Vallecas,9706
55,2017,14. Moratalaz,14135
56,2017,15. Ciudad Lineal,15111
57,2017,16. Hortaleza,18620
58,2017,17. Villaverde,9875
59,2017,18. Villa de Vallecas,12114
60,2017,19. Vicálvaro,11941
61,2017,20. San Blas-Canillejas,13559
62,2017,21. Barajas,17807
63,2018,01. Centro,17932
64,2018,02. Arganzuela,18473
65,2018,03. Retiro,22706
