Nº Distrito;DISTRITO;m2 de ZONAS VERDES Y PARQUES en distrito;ha de ZONAS VERDES Y PARQUES en distrito 
1;CENTRO;304.499,69;30,45
2;ARGANZUELA;903.031,21;90,30
3;RETIRO;367.055,33;36,71
4;SALAMANCA;357.211,07;35,72
5;CHAMARTIN;560.941,81;56,09
6;TETUAN;630.953,32;63,10
7;CHAMBERI;99.944,98;9,99
8;FUENCARRAL - EL PARDO;3.745.002,14;374,50
9;MONCLOA - ARAVACA;1.891.038,42;189,10
10;LATINA;2.608.854,39;260,89
11;CARABANCHEL;2.557.571,96;255,76
12;USERA;1.678.026,79;167,80
13;PUENTE DE VALLECAS;2.806.838,37;280,68
14;MORATALAZ;1.175.935,20;117,59
15;CIUDAD LINEAL;1.349.618,59;134,96
16;HORTALEZA;3.248.233,34;324,82
17;VILLAVERDE;2.165.847,32;216,58
18;VILLA DE VALLECAS;3.008.407,88;300,84
19;VICALVARO;1.974.128,36;197,41
20;SAN BLAS - CANILLEJAS;1.804.470,86;180,45
21;BARAJAS;1.063.570,63;106,36
;;;
;;;
