Año;Tipo;Distrito;Total
2015;Apartamento turístico;01. Centro;33
2015;Apartamento turístico;02. Arganzuela;3
2015;Apartamento turístico;03. Retiro;1
2015;Apartamento turístico;04. Salamanca;7
2015;Apartamento turístico;05. Chamartín;6
2015;Apartamento turístico;06. Tetuán;4
2015;Apartamento turístico;07. Chamberí;3
2015;Apartamento turístico;08. Fuencarral-El Pardo;0
2015;Apartamento turístico;09. Moncloa-Aravaca;10
2015;Apartamento turístico;10. Latina;1
2015;Apartamento turístico;11. Carabanchel;0
2015;Apartamento turístico;12. Usera;0
2015;Apartamento turístico;13. Puente de Vallecas;1
2015;Apartamento turístico;14. Moratalaz;0
2015;Apartamento turístico;15. Ciudad Lineal;0
2015;Apartamento turístico;16. Hortaleza;0
2015;Apartamento turístico;17. Villaverde;0
2015;Apartamento turístico;18. Villa de Vallecas;1
2015;Apartamento turístico;19. Vicálvaro;0
2015;Apartamento turístico;20. San Blas-Canillejas;14
2015;Apartamento turístico;21. Barajas;0
2016;Apartamento turístico;01. Centro;38
2016;Apartamento turístico;02. Arganzuela;3
2016;Apartamento turístico;03. Retiro;1
2016;Apartamento turístico;04. Salamanca;7
2016;Apartamento turístico;05. Chamartín;6
2016;Apartamento turístico;06. Tetuán;4
2016;Apartamento turístico;07. Chamberí;3
2016;Apartamento turístico;08. Fuencarral-El Pardo;0
2016;Apartamento turístico;09. Moncloa-Aravaca;10
2016;Apartamento turístico;10. Latina;1
2016;Apartamento turístico;11. Carabanchel;0
2016;Apartamento turístico;12. Usera;0
2016;Apartamento turístico;13. Puente de Vallecas;1
2016;Apartamento turístico;14. Moratalaz;0
2016;Apartamento turístico;15. Ciudad Lineal;0
2016;Apartamento turístico;16. Hortaleza;1
2016;Apartamento turístico;17. Villaverde;1
2016;Apartamento turístico;18. Villa de Vallecas;1
2016;Apartamento turístico;19. Vicálvaro;0
2016;Apartamento turístico;20. San Blas-Canillejas;10
2016;Apartamento turístico;21. Barajas;0
2017;Apartamento turístico;01. Centro;41
2017;Apartamento turístico;02. Arganzuela;4
2017;Apartamento turístico;03. Retiro;1
2017;Apartamento turístico;04. Salamanca;8
2017;Apartamento turístico;05. Chamartín;7
2017;Apartamento turístico;06. Tetuán;4
2017;Apartamento turístico;07. Chamberí;4
2017;Apartamento turístico;08. Fuencarral-El Pardo;0
2017;Apartamento turístico;09. Moncloa-Aravaca;11
2017;Apartamento turístico;10. Latina;1
2017;Apartamento turístico;11. Carabanchel;0
2017;Apartamento turístico;12. Usera;0
2017;Apartamento turístico;13. Puente de Vallecas;1
2017;Apartamento turístico;14. Moratalaz;0
2017;Apartamento turístico;15. Ciudad Lineal;0
2017;Apartamento turístico;16. Hortaleza;0
2017;Apartamento turístico;17. Villaverde;1
2017;Apartamento turístico;18. Villa de Vallecas;1
2017;Apartamento turístico;19. Vicálvaro;0
2017;Apartamento turístico;20. San Blas-Canillejas;10
2017;Apartamento turístico;21. Barajas;0
2018;Apartamento turístico;01. Centro;41
2018;Apartamento turístico;02. Arganzuela;4
2018;Apartamento turístico;03. Retiro;1
2018;Apartamento turístico;04. Salamanca;8
2018;Apartamento turístico;05. Chamartín;7
2018;Apartamento turístico;06. Tetuán;4
2018;Apartamento turístico;07. Chamberí;5
2018;Apartamento turístico;08. Fuencarral-El Pardo;0
2018;Apartamento turístico;09. Moncloa-Aravaca;12
2018;Apartamento turístico;10. Latina;1
2018;Apartamento turístico;11. Carabanchel;0
2018;Apartamento turístico;12. Usera;0
2018;Apartamento turístico;13. Puente de Vallecas;2
2018;Apartamento turístico;14. Moratalaz;0
2018;Apartamento turístico;15. Ciudad Lineal;0
2018;Apartamento turístico;16. Hortaleza;0
2018;Apartamento turístico;17. Villaverde;1
2018;Apartamento turístico;18. Villa de Vallecas;0
2018;Apartamento turístico;19. Vicálvaro;0
2018;Apartamento turístico;20. San Blas-Canillejas;10
2018;Apartamento turístico;21. Barajas;0
2019;Apartamento turístico;01. Centro;46
2019;Apartamento turístico;02. Arganzuela;4
2019;Apartamento turístico;03. Retiro;1
2019;Apartamento turístico;04. Salamanca;8
2019;Apartamento turístico;05. Chamartín;7
2019;Apartamento turístico;06. Tetuán;5
2019;Apartamento turístico;07. Chamberí;5
2019;Apartamento turístico;08. Fuencarral-El Pardo;0
2019;Apartamento turístico;09. Moncloa-Aravaca;12
2019;Apartamento turístico;10. Latina;1
2019;Apartamento turístico;11. Carabanchel;1
2019;Apartamento turístico;12. Usera;1
2019;Apartamento turístico;13. Puente de Vallecas;2
2019;Apartamento turístico;14. Moratalaz;0
2019;Apartamento turístico;15. Ciudad Lineal;0
2019;Apartamento turístico;16. Hortaleza;0
2019;Apartamento turístico;17. Villaverde;1
2019;Apartamento turístico;18. Villa de Vallecas;0
2019;Apartamento turístico;19. Vicálvaro;0
2019;Apartamento turístico;20. San Blas-Canillejas;10
2019;Apartamento turístico;21. Barajas;0
2020;Apartamento turístico;01. Centro;48
2020;Apartamento turístico;02. Arganzuela;4
2020;Apartamento turístico;03. Retiro;1
2020;Apartamento turístico;04. Salamanca;8
2020;Apartamento turístico;05. Chamartín;6
2020;Apartamento turístico;06. Tetuán;4
2020;Apartamento turístico;07. Chamberí;5
2020;Apartamento turístico;08. Fuencarral-El Pardo;0
2020;Apartamento turístico;09. Moncloa-Aravaca;12
2020;Apartamento turístico;10. Latina;1
2020;Apartamento turístico;11. Carabanchel;3
2020;Apartamento turístico;12. Usera;0
2020;Apartamento turístico;13. Puente de Vallecas;2
2020;Apartamento turístico;14. Moratalaz;0
2020;Apartamento turístico;15. Ciudad Lineal;0
2020;Apartamento turístico;16. Hortaleza;0
2020;Apartamento turístico;17. Villaverde;1
2020;Apartamento turístico;18. Villa de Vallecas;0
2020;Apartamento turístico;19. Vicálvaro;0
2020;Apartamento turístico;20. San Blas-Canillejas;10
2020;Apartamento turístico;21. Barajas;0
2021;Apartamento turístico;01. Centro;55
2021;Apartamento turístico;02. Arganzuela;4
2021;Apartamento turístico;03. Retiro;2
2021;Apartamento turístico;04. Salamanca;9
2021;Apartamento turístico;05. Chamartín;7
2021;Apartamento turístico;06. Tetuán;5
2021;Apartamento turístico;07. Chamberí;5
2021;Apartamento turístico;08. Fuencarral-El Pardo;0
2021;Apartamento turístico;09. Moncloa-Aravaca;12
2021;Apartamento turístico;10. Latina;1
2021;Apartamento turístico;11. Carabanchel;3
2021;Apartamento turístico;12. Usera;0
2021;Apartamento turístico;13. Puente de Vallecas;3
2021;Apartamento turístico;14. Moratalaz;0
2021;Apartamento turístico;15. Ciudad Lineal;2
2021;Apartamento turístico;16. Hortaleza;1
2021;Apartamento turístico;17. Villaverde;1
2021;Apartamento turístico;18. Villa de Vallecas;0
2021;Apartamento turístico;19. Vicálvaro;0
2021;Apartamento turístico;20. San Blas-Canillejas;12
2021;Apartamento turístico;21. Barajas;0
2022;Apartamento turístico;01. Centro;58
2022;Apartamento turístico;02. Arganzuela;4
2022;Apartamento turístico;03. Retiro;2
2022;Apartamento turístico;04. Salamanca;11
2022;Apartamento turístico;05. Chamartín;8
2022;Apartamento turístico;06. Tetuán;6
2022;Apartamento turístico;07. Chamberí;5
2022;Apartamento turístico;08. Fuencarral-El Pardo;0
2022;Apartamento turístico;09. Moncloa-Aravaca;13
2022;Apartamento turístico;10. Latina;1
2022;Apartamento turístico;11. Carabanchel;3
2022;Apartamento turístico;12. Usera;0
2022;Apartamento turístico;13. Puente de Vallecas;3
2022;Apartamento turístico;14. Moratalaz;0
2022;Apartamento turístico;15. Ciudad Lineal;2
2022;Apartamento turístico;16. Hortaleza;1
2022;Apartamento turístico;17. Villaverde;1
2022;Apartamento turístico;18. Villa de Vallecas;0
2022;Apartamento turístico;19. Vicálvaro;0
2022;Apartamento turístico;20. San Blas-Canillejas;12
2022;Apartamento turístico;21. Barajas;1
2023;Apartamento turístico;01. Centro;59
2023;Apartamento turístico;02. Arganzuela;7
2023;Apartamento turístico;03. Retiro;2
2023;Apartamento turístico;04. Salamanca;11
2023;Apartamento turístico;05. Chamartín;10
2023;Apartamento turístico;06. Tetuán;9
2023;Apartamento turístico;07. Chamberí;8
2023;Apartamento turístico;08. Fuencarral-El Pardo;0
2023;Apartamento turístico;09. Moncloa-Aravaca;12
2023;Apartamento turístico;10. Latina;1
2023;Apartamento turístico;11. Carabanchel;4
2023;Apartamento turístico;12. Usera;0
2023;Apartamento turístico;13. Puente de Vallecas;7
2023;Apartamento turístico;14. Moratalaz;0
2023;Apartamento turístico;15. Ciudad Lineal;2
2023;Apartamento turístico;16. Hortaleza;1
2023;Apartamento turístico;17. Villaverde;2
2023;Apartamento turístico;18. Villa de Vallecas;0
2023;Apartamento turístico;19. Vicálvaro;0
2023;Apartamento turístico;20. San Blas-Canillejas;12
2023;Apartamento turístico;21. Barajas;1
2024;Apartamento turístico;01. Centro;59
2024;Apartamento turístico;02. Arganzuela;13
2024;Apartamento turístico;03. Retiro;3
2024;Apartamento turístico;04. Salamanca;11
2024;Apartamento turístico;05. Chamartín;10
2024;Apartamento turístico;06. Tetuán;15
2024;Apartamento turístico;07. Chamberí;9
2024;Apartamento turístico;08. Fuencarral-El Pardo;0
2024;Apartamento turístico;09. Moncloa-Aravaca;13
2024;Apartamento turístico;10. Latina;2
2024;Apartamento turístico;11. Carabanchel;6
2024;Apartamento turístico;12. Usera;1
2024;Apartamento turístico;13. Puente de Vallecas;12
2024;Apartamento turístico;14. Moratalaz;0
2024;Apartamento turístico;15. Ciudad Lineal;3
2024;Apartamento turístico;16. Hortaleza;3
2024;Apartamento turístico;17. Villaverde;3
2024;Apartamento turístico;18. Villa de Vallecas;0
2024;Apartamento turístico;19. Vicálvaro;0
2024;Apartamento turístico;20. San Blas-Canillejas;12
2024;Apartamento turístico;21. Barajas;2
