Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
28079 Madrid;2807901 Madrid distrito 01;;Edad media de la población;2022;43,6
28079 Madrid;2807901 Madrid distrito 01;;Edad media de la población;2021;43,6
28079 Madrid;2807901 Madrid distrito 01;;Edad media de la población;2020;43,5
28079 Madrid;2807901 Madrid distrito 01;;Edad media de la población;2019;43,5
28079 Madrid;2807901 Madrid distrito 01;;Edad media de la población;2018;43,6
28079 Madrid;2807901 Madrid distrito 01;;Edad media de la población;2017;43,7
28079 Madrid;2807901 Madrid distrito 01;;Edad media de la población;2016;43,7
28079 Madrid;2807901 Madrid distrito 01;;Edad media de la población;2015;43,4
28079 Madrid;2807901 Madrid distrito 01;;Porcentaje de población menor de 18 años;2022;8,1
28079 Madrid;2807901 Madrid distrito 01;;Porcentaje de población menor de 18 años;2021;8,3
28079 Madrid;2807901 Madrid distrito 01;;Porcentaje de población menor de 18 años;2020;8,5
28079 Madrid;2807901 Madrid distrito 01;;Porcentaje de población menor de 18 años;2019;8,7
28079 Madrid;2807901 Madrid distrito 01;;Porcentaje de población menor de 18 años;2018;9,2
28079 Madrid;2807901 Madrid distrito 01;;Porcentaje de población menor de 18 años;2017;9,4
28079 Madrid;2807901 Madrid distrito 01;;Porcentaje de población menor de 18 años;2016;9,8
28079 Madrid;2807901 Madrid distrito 01;;Porcentaje de población menor de 18 años;2015;9,7
28079 Madrid;2807901 Madrid distrito 01;;Porcentaje de población de 65 y más años;2022;16,0
28079 Madrid;2807901 Madrid distrito 01;;Porcentaje de población de 65 y más años;2021;15,9
28079 Madrid;2807901 Madrid distrito 01;;Porcentaje de población de 65 y más años;2020;15,8
28079 Madrid;2807901 Madrid distrito 01;;Porcentaje de población de 65 y más años;2019;15,8
28079 Madrid;2807901 Madrid distrito 01;;Porcentaje de población de 65 y más años;2018;16,1
28079 Madrid;2807901 Madrid distrito 01;;Porcentaje de población de 65 y más años;2017;16,4
28079 Madrid;2807901 Madrid distrito 01;;Porcentaje de población de 65 y más años;2016;16,5
28079 Madrid;2807901 Madrid distrito 01;;Porcentaje de población de 65 y más años;2015;16,4
28079 Madrid;2807901 Madrid distrito 01;;Tamaño medio del hogar;2022;1,9
28079 Madrid;2807901 Madrid distrito 01;;Tamaño medio del hogar;2021;1,9
28079 Madrid;2807901 Madrid distrito 01;;Tamaño medio del hogar;2020;2,0
28079 Madrid;2807901 Madrid distrito 01;;Tamaño medio del hogar;2019;2,0
28079 Madrid;2807901 Madrid distrito 01;;Tamaño medio del hogar;2018;2,0
28079 Madrid;2807901 Madrid distrito 01;;Tamaño medio del hogar;2017;1,9
28079 Madrid;2807901 Madrid distrito 01;;Tamaño medio del hogar;2016;2,0
28079 Madrid;2807901 Madrid distrito 01;;Tamaño medio del hogar;2015;2,0
28079 Madrid;2807901 Madrid distrito 01;;Población;2022;135.831
28079 Madrid;2807901 Madrid distrito 01;;Población;2021;135.112
28079 Madrid;2807901 Madrid distrito 01;;Población;2020;135.719
28079 Madrid;2807901 Madrid distrito 01;;Población;2019;135.971
28079 Madrid;2807901 Madrid distrito 01;;Población;2018;131.320
28079 Madrid;2807901 Madrid distrito 01;;Población;2017;128.525
28079 Madrid;2807901 Madrid distrito 01;;Población;2016;127.543
28079 Madrid;2807901 Madrid distrito 01;;Población;2015;129.688
28079 Madrid;2807902 Madrid distrito 02;;Edad media de la población;2022;44,8
28079 Madrid;2807902 Madrid distrito 02;;Edad media de la población;2021;44,7
28079 Madrid;2807902 Madrid distrito 02;;Edad media de la población;2020;44,4
28079 Madrid;2807902 Madrid distrito 02;;Edad media de la población;2019;44,1
28079 Madrid;2807902 Madrid distrito 02;;Edad media de la población;2018;44,0
28079 Madrid;2807902 Madrid distrito 02;;Edad media de la población;2017;43,8
28079 Madrid;2807902 Madrid distrito 02;;Edad media de la población;2016;43,6
28079 Madrid;2807902 Madrid distrito 02;;Edad media de la población;2015;43,4
28079 Madrid;2807902 Madrid distrito 02;;Porcentaje de población menor de 18 años;2022;12,9
28079 Madrid;2807902 Madrid distrito 02;;Porcentaje de población menor de 18 años;2021;13,3
28079 Madrid;2807902 Madrid distrito 02;;Porcentaje de población menor de 18 años;2020;13,6
28079 Madrid;2807902 Madrid distrito 02;;Porcentaje de población menor de 18 años;2019;13,8
28079 Madrid;2807902 Madrid distrito 02;;Porcentaje de población menor de 18 años;2018;14,1
28079 Madrid;2807902 Madrid distrito 02;;Porcentaje de población menor de 18 años;2017;14,5
28079 Madrid;2807902 Madrid distrito 02;;Porcentaje de población menor de 18 años;2016;14,7
28079 Madrid;2807902 Madrid distrito 02;;Porcentaje de población menor de 18 años;2015;14,7
28079 Madrid;2807902 Madrid distrito 02;;Porcentaje de población de 65 y más años;2022;20,7
28079 Madrid;2807902 Madrid distrito 02;;Porcentaje de población de 65 y más años;2021;20,4
28079 Madrid;2807902 Madrid distrito 02;;Porcentaje de población de 65 y más años;2020;19,8
28079 Madrid;2807902 Madrid distrito 02;;Porcentaje de población de 65 y más años;2019;19,4
