Distrito;Paro registrado;Mes;Año
Centro;11.947;agosto;2012
Arganzuela;11.043;agosto;2012
Retiro;6.517;agosto;2012
Salamanca;7.653;agosto;2012
Chamartin;6.936;agosto;2012
Tetuán;12.132;agosto;2012
Chamberí;7.926;agosto;2012
Fuencarral - El Pardo;13.484;agosto;2012
Moncloa-Aravaca;6.201;agosto;2012
Latina;19.593;agosto;2012
Carabanchel;22.053;agosto;2012
Usera;12.910;agosto;2012
Puente de Vallecas;24.721;agosto;2012
Moratalaz;8.267;agosto;2012
Ciudad Lineal;15.666;agosto;2012
Hortaleza;10.949;agosto;2012
Villaverde;15.130;agosto;2012
Villa de Vallecas;10.069;agosto;2012
Vicálvaro;6.843;agosto;2012
San Blas;12.060;agosto;2012
Barajas;2.664;agosto;2012
Centro;11.461;junio;2012
Arganzuela;10.517;junio;2012
Retiro;6.274;junio;2012
Salamanca;7.469;junio;2012
Chamartin;6.712;junio;2012
Tetuán;12.009;junio;2012
Chamberí;7.551;junio;2012
Fuencarral - El Pardo;13.149;junio;2012
Moncloa-Aravaca;5.985;junio;2012
Latina;19.436;junio;2012
Carabanchel;21.875;junio;2012
Usera;12.891;junio;2012
Puente de Vallecas;25.224;junio;2012
Moratalaz;8.000;junio;2012
Ciudad Lineal;15.366;junio;2012
Hortaleza;10.602;junio;2012
Villaverde;15.183;junio;2012
Villa de Vallecas;9.916;junio;2012
Vicálvaro;6.834;junio;2012
San Blas;11.889;junio;2012
Barajas;2.601;junio;2012
Centro;11.547;mayo;2012
Arganzuela;10.561;mayo;2012
Retiro;6.408;mayo;2012
Salamanca;7.489;mayo;2012
Chamartin;6.713;mayo;2012
Tetuán;12.252;mayo;2012
Chamberí;7.633;mayo;2012
Fuencarral - El Pardo;13.327;mayo;2012
Moncloa-Aravaca;6.034;mayo;2012
Latina;19.727;mayo;2012
Carabanchel;22.187;mayo;2012
Usera;13.145;mayo;2012
Puente de Vallecas;25.857;mayo;2012
Moratalaz;8.182;mayo;2012
Ciudad Lineal;15.598;mayo;2012
Hortaleza;10.692;mayo;2012
Villaverde;15.409;mayo;2012
Villa de Vallecas;10.099;mayo;2012
Vicálvaro;6.866;mayo;2012
San Blas;12.008;mayo;2012
Barajas;2.628;mayo;2012
Centro;11.625;marzo;2012
Arganzuela;10.721;marzo;2012
Retiro;6.418;marzo;2012
Salamanca;7.449;marzo;2012
Chamartin;6.686;marzo;2012
Tetuán;12.319;marzo;2012
Chamberí;7.703;marzo;2012
Fuencarral - El Pardo;13.344;marzo;2012
Moncloa-Aravaca;6.070;marzo;2012
Latina;19.762;marzo;2012
Carabanchel;22.370;marzo;2012
Usera;13.370;marzo;2012
Puente de Vallecas;25.765;marzo;2012
Moratalaz;8.277;marzo;2012
Ciudad Lineal;15.571;marzo;2012
Hortaleza;10.570;marzo;2012
Villaverde;15.340;marzo;2012
Villa de Vallecas;10.017;marzo;2012
Vicálvaro;6.898;marzo;2012
San Blas;12.039;marzo;2012
Barajas;2.629;marzo;2012
Centro;12.014;noviembre;2012
Arganzuela;11.337;noviembre;2012
Retiro;6.656;noviembre;2012
Salamanca;7.858;noviembre;2012
Chamartin;7.054;noviembre;2012
Tetuán;12.466;noviembre;2012
Chamberí;8.034;noviembre;2012
Fuencarral - El Pardo;13.869;noviembre;2012
Moncloa-Aravaca;6.394;noviembre;2012
Latina;20.499;noviembre;2012
Carabanchel;23.427;noviembre;2012
Usera;13.691;noviembre;2012
Puente de Vallecas;26.166;noviembre;2012
Moratalaz;8.736;noviembre;2012
Ciudad Lineal;16.131;noviembre;2012
Hortaleza;11.163;noviembre;2012
Villaverde;15.966;noviembre;2012
Villa de Vallecas;10.607;noviembre;2012
Vicálvaro;7.136;noviembre;2012
San Blas;12.738;noviembre;2012
Barajas;2.760;noviembre;2012
Centro;11.879;septiembre;2012
Arganzuela;11.146;septiembre;2012
Retiro;6.645;septiembre;2012
Salamanca;7.725;septiembre;2012
Chamartin;6.941;septiembre;2012
Tetuán;12.206;septiembre;2012
Chamberí;7.991;septiembre;2012
Fuencarral - El Pardo;13.554;septiembre;2012
Moncloa-Aravaca;6.310;septiembre;2012
Latina;19.981;septiembre;2012
Carabanchel;22.379;septiembre;2012
Usera;13.176;septiembre;2012
Puente de Vallecas;25.334;septiembre;2012
Moratalaz;8.495;septiembre;2012
Ciudad Lineal;15.904;septiembre;2012
Hortaleza;10.998;septiembre;2012
Villaverde;15.560;septiembre;2012
Villa de Vallecas;10.210;septiembre;2012
Vicálvaro;7.029;septiembre;2012
San Blas;12.166;septiembre;2012
Barajas;2.681;septiembre;2012
Centro;11.547;febrero;2012
Arganzuela;10.683;febrero;2012
Retiro;6.381;febrero;2012
Salamanca;7.370;febrero;2012
Chamartin;6.685;febrero;2012
Tetuán;12.175;febrero;2012
Chamberí;7.785;febrero;2012
Fuencarral - El Pardo;13.159;febrero;2012
Moncloa-Aravaca;5.990;febrero;2012
Latina;19.653;febrero;2012
Carabanchel;22.232;febrero;2012
Usera;13.240;febrero;2012
Puente de Vallecas;25.480;febrero;2012
Moratalaz;8.097;febrero;2012
Ciudad Lineal;15.399;febrero;2012
Hortaleza;10.379;febrero;2012
Villaverde;15.263;febrero;2012
Villa de Vallecas;9.828;febrero;2012
Vicálvaro;6.814;febrero;2012
San Blas;11.890;febrero;2012
Barajas;2.586;febrero;2012
Centro;11.723;julio;2012
Arganzuela;10.825;julio;2012
Retiro;6.371;julio;2012
Salamanca;7.561;julio;2012
Chamartin;6.886;julio;2012
Tetuán;12.008;julio;2012
Chamberí;7.781;julio;2012
Fuencarral - El Pardo;13.381;julio;2012
Moncloa-Aravaca;6.079;julio;2012
Latina;19.560;julio;2012
Carabanchel;21.917;julio;2012
Usera;12.742;julio;2012
Puente de Vallecas;24.783;julio;2012
Moratalaz;8.113;julio;2012
Ciudad Lineal;15.493;julio;2012
Hortaleza;10.816;julio;2012
Villaverde;15.120;julio;2012
Villa de Vallecas;9.979;julio;2012
Vicálvaro;6.824;julio;2012
San Blas;11.924;julio;2012
Barajas;2.617;julio;2012
Centro;11.535;abril;2012
Arganzuela;10.611;abril;2012
Retiro;6.476;abril;2012
