Año;Mes;Distrito;Paro registrado
2012;Diciembre;01. Centro;11.707
2012;Diciembre;02. Arganzuela;11.049
2012;Diciembre;03. Retiro;6.455
2012;Diciembre;04. Salamanca;7.689
2012;Diciembre;05. Chamartín;6.890
2012;Diciembre;06. Tetuán;12.232
2012;Diciembre;07. Chamberí;7.881
2012;Diciembre;08. Fuencarral-El Pardo;13.657
2012;Diciembre;09. Moncloa-Aravaca;6.301
2012;Diciembre;10. Latina;19.946
2012;Diciembre;11. Carabanchel;22.877
2012;Diciembre;12. Usera;13.398
2012;Diciembre;13. Puente de Vallecas;25.268
2012;Diciembre;14. Moratalaz;7.347
2012;Diciembre;15. Ciudad Lineal;15.783
2012;Diciembre;16. Hortaleza;10.902
2012;Diciembre;17. Villaverde;15.631
2012;Diciembre;18. Villa de Vallecas;9.723
2012;Diciembre;19. Vicálvaro;6.017
2012;Diciembre;20. San Blas-Canillejas;12.298
2012;Diciembre;21. Barajas;2.718
2013;Enero;01. Centro;12.168
2013;Enero;02. Arganzuela;11.254
2013;Enero;03. Retiro;6.672
2013;Enero;04. Salamanca;7.853
2013;Enero;05. Chamartín;7.207
2013;Enero;06. Tetuán;12.513
2013;Enero;07. Chamberí;8.026
2013;Enero;08. Fuencarral-El Pardo;14.111
2013;Enero;09. Moncloa-Aravaca;6.440
2013;Enero;10. Latina;20.742
2013;Enero;11. Carabanchel;23.759
2013;Enero;12. Usera;13.859
2013;Enero;13. Puente de Vallecas;26.084
2013;Enero;14. Moratalaz;7.573
2013;Enero;15. Ciudad Lineal;16.258
2013;Enero;16. Hortaleza;11.179
2013;Enero;17. Villaverde;16.133
2013;Enero;18. Villa de Vallecas;10.019
2013;Enero;19. Vicálvaro;6.205
2013;Enero;20. San Blas-Canillejas;12.813
2013;Enero;21. Barajas;2.801
2013;Febrero;01. Centro;12.153
2013;Febrero;02. Arganzuela;11.263
2013;Febrero;03. Retiro;6.751
2013;Febrero;04. Salamanca;7.945
2013;Febrero;05. Chamartín;7.226
2013;Febrero;06. Tetuán;12.655
2013;Febrero;07. Chamberí;8.069
2013;Febrero;08. Fuencarral-El Pardo;14.151
2013;Febrero;09. Moncloa-Aravaca;6.470
2013;Febrero;10. Latina;20.950
2013;Febrero;11. Carabanchel;24.275
2013;Febrero;12. Usera;14.011
2013;Febrero;13. Puente de Vallecas;26.638
2013;Febrero;14. Moratalaz;7.662
2013;Febrero;15. Ciudad Lineal;16.554
2013;Febrero;16. Hortaleza;11.474
2013;Febrero;17. Villaverde;16.217
2013;Febrero;18. Villa de Vallecas;10.145
2013;Febrero;19. Vicálvaro;6.351
