col_0;col_1;col_2;Total Total;Total Españoles;Total Extranjeros;Hombres Total;Hombres Españoles;Hombres Extranjeros;Mujeres Total;Mujeres Españoles;Mujeres Extranjeros;Año;Mes
CENTRO;Total;;140790.0;;;;;;;;;2011;3
ARGANZUELA;Total;;154242.0;;;;;;;;;2011;3
RETIRO;Total;;121902.0;;;;;;;;;2011;3
SALAMANCA;Total;;146693.0;;;;;;;;;2011;3
CHAMARTÍN;Total;;145789.0;;;;;;;;;2011;3
TETUÁN;Total;;155954.0;;;;;;;;;2011;3
CHAMBERÍ;Total;;142763.0;;;;;;;;;2011;3
FUENCARRAL - EL PARDO;Total;;232182.0;;;;;;;;;2011;3
MONCLOA - ARAVACA;Total;;117945.0;;;;;;;;;2011;3
LATINA;Total;;249552.0;;;;;;;;;2011;3
CARABANCHEL;Total;;253188.0;;;;;;;;;2011;3
USERA;Total;;139761.0;;;;;;;;;2011;3
PUENTE DE VALLECAS;Total;;240135.0;;;;;;;;;2011;3
MORATALAZ;Total;;100796.0;;;;;;;;;2011;3
CIUDAD LINEAL;Total;;224659.0;;;;;;;;;2011;3
HORTALEZA;Total;;174865.0;;;;;;;;;2011;3
VILLAVERDE;Total;;147860.0;;;;;;;;;2011;3
VILLA DE VALLECAS;Total;;92348.0;;;;;;;;;2011;3
VICÁLVARO;Total;;70463.0;;;;;;;;;2011;3
SAN BLAS-CANILLEJAS;Total;;156520.0;;;;;;;;;2011;3
BARAJAS;Total;;46046.0;;;;;;;;;2011;3
CENTRO;Total;;140721.0;;;;;;;;;2011;4
ARGANZUELA;Total;;154303.0;;;;;;;;;2011;4
RETIRO;Total;;121854.0;;;;;;;;;2011;4
SALAMANCA;Total;;146811.0;;;;;;;;;2011;4
CHAMARTÍN;Total;;145897.0;;;;;;;;;2011;4
TETUÁN;Total;;155945.0;;;;;;;;;2011;4
CHAMBERÍ;Total;;142689.0;;;;;;;;;2011;4
FUENCARRAL - EL PARDO;Total;;232541.0;;;;;;;;;2011;4
MONCLOA - ARAVACA;Total;;117927.0;;;;;;;;;2011;4
LATINA;Total;;249390.0;;;;;;;;;2011;4
CARABANCHEL;Total;;253051.0;;;;;;;;;2011;4
USERA;Total;;139650.0;;;;;;;;;2011;4
PUENTE DE VALLECAS;Total;;240007.0;;;;;;;;;2011;4
MORATALAZ;Total;;100779.0;;;;;;;;;2011;4
CIUDAD LINEAL;Total;;224651.0;;;;;;;;;2011;4
HORTALEZA;Total;;174985.0;;;;;;;;;2011;4
VILLAVERDE;Total;;147860.0;;;;;;;;;2011;4
VILLA DE VALLECAS;Total;;92753.0;;;;;;;;;2011;4
VICÁLVARO;Total;;70506.0;;;;;;;;;2011;4
SAN BLAS-CANILLEJAS;Total;;156567.0;;;;;;;;;2011;4
BARAJAS;Total;;46116.0;;;;;;;;;2011;4
CENTRO;Total;;140820.0;;;;;;;;;2011;5
ARGANZUELA;Total;;154320.0;;;;;;;;;2011;5
RETIRO;Total;;121814.0;;;;;;;;;2011;5
SALAMANCA;Total;;146717.0;;;;;;;;;2011;5
CHAMARTÍN;Total;;145731.0;;;;;;;;;2011;5
TETUÁN;Total;;156198.0;;;;;;;;;2011;5
CHAMBERÍ;Total;;142678.0;;;;;;;;;2011;5
FUENCARRAL - EL PARDO;Total;;232832.0;;;;;;;;;2011;5
MONCLOA - ARAVACA;Total;;117920.0;;;;;;;;;2011;5
LATINA;Total;;249104.0;;;;;;;;;2011;5
CARABANCHEL;Total;;253090.0;;;;;;;;;2011;5
USERA;Total;;139719.0;;;;;;;;;2011;5
PUENTE DE VALLECAS;Total;;239988.0;;;;;;;;;2011;5
MORATALAZ;Total;;100786.0;;;;;;;;;2011;5
CIUDAD LINEAL;Total;;224528.0;;;;;;;;;2011;5
HORTALEZA;Total;;175073.0;;;;;;;;;2011;5
VILLAVERDE;Total;;147946.0;;;;;;;;;2011;5
VILLA DE VALLECAS;Total;;93060.0;;;;;;;;;2011;5
VICÁLVARO;Total;;70563.0;;;;;;;;;2011;5
SAN BLAS-CANILLEJAS;Total;;156623.0;;;;;;;;;2011;5
BARAJAS;Total;;46164.0;;;;;;;;;2011;5
CENTRO;Total;;141004.0;;;;;;;;;2011;6
ARGANZUELA;Total;;154414.0;;;;;;;;;2011;6
RETIRO;Total;;121853.0;;;;;;;;;2011;6
SALAMANCA;Total;;146850.0;;;;;;;;;2011;6
CHAMARTÍN;Total;;145758.0;;;;;;;;;2011;6
TETUÁN;Total;;156118.0;;;;;;;;;2011;6
CHAMBERÍ;Total;;142608.0;;;;;;;;;2011;6
FUENCARRAL - EL PARDO;Total;;233025.0;;;;;;;;;2011;6
MONCLOA - ARAVACA;Total;;117867.0;;;;;;;;;2011;6
LATINA;Total;;249080.0;;;;;;;;;2011;6
CARABANCHEL;Total;;253113.0;;;;;;;;;2011;6
USERA;Total;;139724.0;;;;;;;;;2011;6
PUENTE DE VALLECAS;Total;;239868.0;;;;;;;;;2011;6
MORATALAZ;Total;;100674.0;;;;;;;;;2011;6
CIUDAD LINEAL;Total;;224602.0;;;;;;;;;2011;6
HORTALEZA;Total;;175284.0;;;;;;;;;2011;6
VILLAVERDE;Total;;147899.0;;;;;;;;;2011;6
VILLA DE VALLECAS;Total;;93626.0;;;;;;;;;2011;6
VICÁLVARO;Total;;70705.0;;;;;;;;;2011;6
SAN BLAS-CANILLEJAS;Total;;156718.0;;;;;;;;;2011;6
BARAJAS;Total;;46245.0;;;;;;;;;2011;6
CENTRO;Total;;140869.0;;;;;;;;;2011;7
ARGANZUELA;Total;;154447.0;;;;;;;;;2011;7
RETIRO;Total;;121667.0;;;;;;;;;2011;7
SALAMANCA;Total;;146708.0;;;;;;;;;2011;7
CHAMARTÍN;Total;;145737.0;;;;;;;;;2011;7
TETUÁN;Total;;156048.0;;;;;;;;;2011;7
CHAMBERÍ;Total;;142361.0;;;;;;;;;2011;7
FUENCARRAL - EL PARDO;Total;;232998.0;;;;;;;;;2011;7
MONCLOA - ARAVACA;Total;;117726.0;;;;;;;;;2011;7
LATINA;Total;;248827.0;;;;;;;;;2011;7
CARABANCHEL;Total;;252773.0;;;;;;;;;2011;7
USERA;Total;;139411.0;;;;;;;;;2011;7
PUENTE DE VALLECAS;Total;;239691.0;;;;;;;;;2011;7
MORATALAZ;Total;;100553.0;;;;;;;;;2011;7
CIUDAD LINEAL;Total;;224453.0;;;;;;;;;2011;7
HORTALEZA;Total;;175202.0;;;;;;;;;2011;7
VILLAVERDE;Total;;147835.0;;;;;;;;;2011;7
VILLA DE VALLECAS;Total;;93918.0;;;;;;;;;2011;7
VICÁLVARO;Total;;70744.0;;;;;;;;;2011;7
SAN BLAS-CANILLEJAS;Total;;156747.0;;;;;;;;;2011;7
BARAJAS;Total;;46235.0;;;;;;;;;2011;7
CENTRO;Total;;141008.0;;;;;;;;;2011;8
ARGANZUELA;Total;;154482.0;;;;;;;;;2011;8
RETIRO;Total;;121647.0;;;;;;;;;2011;8
