Distrito;Superficie
01. Centro;522,82
02. Arganzuela;646,22
03. Retiro;546,62
04. Salamanca;539,24
05. Chamartín;917,55
06. Tetuán;537,47
07. Chamberí;467,92
08. Fuencarral-El Pardo;23.783,84
09. Moncloa-Aravaca;4.653,11
10. Latina;2.542,72
11. Carabanchel;1.404,83
12. Usera;777,77
13. Puente de Vallecas;1.496,86
14. Moratalaz;610,32
15. Ciudad Lineal;1.142,57
16. Hortaleza;2.762,61
17. Villaverde;2.018,76
18. Villa de Vallecas;5.146,72
19. Vicálvaro;3.526,67
20. San Blas-Canillejas;2.229,24
21. Barajas;4.171,65
