Año;Mes;01. Centro;02. Arganzuela;03. Retiro;04. Salamanca;05. Chamartín;06. Tetuán;07. Chamberí;08. Fuencarral-El Pardo;09. Moncloa-Aravaca;10. Latina;11. Carabanchel;12. Usera;13. Puente de Vallecas;14. Moratalaz;15. Ciudad Lineal;16. Hortaleza;17. Villaverde;18. Villa de Vallecas;19. Vicálvaro;20. San Blas-Canillejas;21. Barajas
2006;Enero;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2006;Febrero;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2006;Marzo;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2006;Abril;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2006;Mayo;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2006;Junio;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2006;Julio;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2006;Agosto;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2006;Septiembre;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2006;Octubre;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2006;Noviembre;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2006;Diciembre;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2007;Enero;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2007;Febrero;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2007;Marzo;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2007;Abril;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2007;Mayo;..;..;..;..;..;3.760;..;..;..;..;3.101;..;..;..;..;..;..;..;..;..;..
2007;Junio;4.702;..;..;..;..;3.857;..;..;..;..;3.173;..;..;..;..;..;..;..;..;..;..
2007;Julio;4.603;..;..;..;..;3.785;..;..;..;..;3.162;..;2.797;..;3.421;..;..;..;..;..;..
2007;Agosto;4.541;..;..;..;..;3.696;..;3.407;3.988;..;2.892;..;2.617;..;3.451;..;..;..;..;3.333;..
2007;Septiembre;4.475;..;..;..;..;3.527;..;3.372;3.993;..;2.828;..;2.449;..;3.440;..;..;..;..;3.317;..
2007;Octubre;4.384;..;..;..;4.521;3.639;..;3.482;3.947;..;2.900;3.099;2.714;..;3.578;3.514;..;..;..;3.521;..
2007;Noviembre;4.384;4.000;..;4.906;4.611;3.774;..;3.391;3.866;3.019;3.009;3.110;2.717;..;3.538;3.617;..;..;..;3.603;..
2007;Diciembre;4.394;4.000;..;4.636;4.549;3.857;..;3.510;3.880;2.928;2.992;2.851;2.786;..;3.422;3.806;..;..;..;3.470;..
2008;Enero;4.375;4.000;..;4.749;4.664;3.783;4.657;3.387;3.858;2.844;2.897;2.933;2.741;..;3.386;3.472;2.648;..;..;3.310;..
2008;Febrero;4.332;3.824;..;4.701;4.756;3.813;4.596;3.430;3.966;2.904;2.942;2.793;2.792;..;3.454;3.573;2.900;..;..;3.323;..
2008;Marzo;4.280;4.000;4.427;4.906;4.901;3.833;4.799;3.562;3.966;2.985;2.927;2.883;2.828;..;3.557;3.555;2.899;..;..;3.243;..
2008;Abril;4.392;3.894;4.337;4.706;4.760;3.760;4.852;3.724;3.940;2.995;2.954;2.833;2.942;..;3.521;3.556;2.806;..;..;3.302;..
2008;Mayo;4.392;4.000;4.275;4.643;4.615;3.702;4.843;3.726;3.920;2.996;2.883;2.787;2.879;..;3.504;3.512;2.745;2.955;..;3.199;3.240
2008;Junio;4.388;3.784;4.275;4.845;4.637;3.707;4.895;3.682;3.923;2.915;2.919;2.781;2.834;..;3.366;3.531;2.686;2.797;..;3.202;3.209
