precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
1.350;Dúplex en Carretera de Fuencarral Valdelacasa;75;1;Planta 1ª exterior con ascensor;/inmueble/109427569/;"
VOLGA REAL ESTATE tiene el placer de presentar en alquiler este exclusivo loft en Alcobendas, ubicado en una de las zonas más consolidadas del municipio, con un entorno que combina a la perfección áreas residenciales y espacios empresariales. Su excelente ubicación, con fácil acceso a Madrid y una amplia oferta de serv
";alcobendas-madrid
1.099;Estudio en Avenida del Monte Valdelatas 40;Bajo;22;;/inmueble/108193914/;"
Tu nuevo hogar a las puertas de Madrid te espera en Livensa Living Studios Madrid Alcobendas
Descubre una forma innovadora de vivir con total comodidad y estilo en uno de los entornos más modernos y tranquilos del norte de Madrid. Nuestro concepto de flex-living combina diseño funcional, servicios premium y una ubicac
";alcobendas-madrid
650;Estudio en Calle de Gerona Alcobendas Centro;Planta;29;3 horas;/inmueble/101650488/;"
FANTASTICO ESTUDIO - EXCELENTE UBICACION!
Metro Madrid - Marqués de la Valdavia.
Totalmente reformado y amueblado + Smart tv + aire acondicionado.
No dudes en concertar una visita ahora!
Todo tipo de comercio en la zona, supermercados, restaurantes, farmacias, tiendas de alimentación, parques y varias paradas de aut
";alcobendas-madrid
1.350;Piso en Calle de la Sonrisa 12;62;2;Planta 3ª exterior con ascensor;/inmueble/109419196/;"
Se alquila piso muy luminoso recién renovado
Dos dormitorios
Salón con mirador y orientación sur
Baño y Aseo
Tendedero con lavadora
Cocina con lavavajillas, horno, frigorífico y microondas
Suelo nuevo en toda la casa y recién pintada.
Armarios empotrados con cajoneras
Estores en los dormitorios.
Barras de cortinas en
";alcobendas-madrid
1.199;Piso en Perdiguera 1;35;1;Planta 1ª exterior con ascensor;/inmueble/106880271/;"
¡HASTA UN 20% OFF Y SERVICIOS EXTRA GRATIS!
TODO INCLUIDO | SIN COMISIONES DE AGENCIA | FLEXIBILIDAD EN LAS ESTANCIAS
¡Parking GRATIS para estancias de más de 10 meses!
*El precio visible ya tiene aplicado un 20% de descuento. Promoción válida solo para tipologías de estudio y 1 dormitorio y 4 habitaciones. Consult
";alcobendas-madrid
890;Estudio en Perdiguera 1;Planta;25;;/inmueble/106880303/;"
¡HASTA UN 20% OFF Y SERVICIOS EXTRA GRATIS!
TODO INCLUIDO | SIN COMISIONES DE AGENCIA | FLEXIBILIDAD EN LAS ESTANCIAS
¡Parking GRATIS para estancias de más de 10 meses!
*El precio visible ya tiene aplicado un 20% de descuento. Promoción válida solo para tipologías de estudio y 1 dormitorio y 4 habitaciones. Consult
";alcobendas-madrid
1.886;Piso en Perdiguera 1;50;2;Planta 1ª exterior con ascensor;/inmueble/106880293/;"
TODO INCLUIDO | SIN COMISIONES DE AGENCIA | FLEXIBILIDAD EN LAS ESTANCIAS
Be Casa Alcobendas: vive como quieras, el tiempo que quieras.
Be Casa es un nuevo concepto de alquiler flexible que combina la privacidad de un apartamento, los servicios de un hotel y espacios comunes diseñados para convivir y disfrutar.
P
";alcobendas-madrid
1.581;Piso en Avenida De La Industria 7;30;1;Bajo exterior con ascensor;/inmueble/107042576/;"
SIN COMISIONES DE AGENCIA. TODO INCLUIDO. SE ADMITEN PERROS. En Calido, elegimos cada enclave pensando en ofrecerte lo mejor de dos mundos: la tranquilidad y el confort de un entorno relajado, sin renunciar a la proximidad con el ritmo vibrante de la gran ciudad. Aquí, siempre tendrás planes a mano, tanto dentro de Cal
";alcobendas-madrid
1.296;Estudio en Avenida De La Industria 7;Bajo;21;;/inmueble/107042563/;"
SIN COMISIONES DE AGENCIA. TODO INCLUIDO. SE ADMITEN PERROS.
En Calido, elegimos cada enclave pensando en ofrecerte lo mejor de dos mundos: la tranquilidad y el confort de un entorno relajado, sin renunciar a la proximidad con el ritmo vibrante de la gran ciudad. Aquí, siempre tendrás planes a mano, tanto dentro de Ca
";alcobendas-madrid
1.956;Piso en Perdiguera 1;50;2;Planta 1ª exterior con ascensor;/inmueble/108580604/;"
TODO INCLUIDO | SIN COMISIONES DE AGENCIA | FLEXIBILIDAD EN LAS ESTANCIAS
Be Casa Alcobendas: vive como quieras, el tiempo que quieras.
Be Casa es un nuevo concepto de alquiler flexible que combina la privacidad de un apartamento, los servicios de un hotel y espacios comunes diseñados para convivir y disfrutar.
P
";alcobendas-madrid
1.750;Estudio en Avenida de la Industria 42;Bajo;130;9 horas;/inmueble/103677963/;"
Bonito Loft, amplio y amueblado. Cerca de La Moraleja y Centros Comerciales. Metro La Granja a 300 metros. En el salon hay un sofa cama para dos personas mas. Gimnasios y Rocodromo andando.
";alcobendas-madrid
1.560;Piso en Avenida De La Industria 7;30;1;Planta 3ª exterior con ascensor;/inmueble/107042559/;"
SIN COMISIONES DE AGENCIA. TODO INCLUIDO. SE ADMITEN PERROS.
En Calido, elegimos cada enclave pensando en ofrecerte lo mejor de dos mundos: la tranquilidad y el confort de un entorno relajado, sin renunciar a la proximidad con el ritmo vibrante de la gran ciudad. Aquí, siempre tendrás planes a mano, tanto dentro de Cal
";alcobendas-madrid
1.500;Piso en Avenida De La Industria 7;30;1;Planta 1ª exterior con ascensor;/inmueble/107042501/;"
SIN COMISIONES DE AGENCIAS. TODO INCLUIDO. SE ADMITEN PERROS.
En Calido, elegimos cada enclave pensando en ofrecerte lo mejor de dos mundos: la tranquilidad y el confort de un entorno relajado, sin renunciar a la proximidad con el ritmo vibrante de la gran ciudad. Aquí, siempre tendrás planes a mano, tanto dentro de Ca
";alcobendas-madrid
1.063;Estudio en Avenida De La Industria 7;Bajo;21;;/inmueble/107042561/;"
SIN COMISIONES DE AGENCIA. TODO INCLUIDO. SE ADMITEN PERROS.
En Calido, elegimos cada enclave pensando en ofrecerte lo mejor de dos mundos: la tranquilidad y el confort de un entorno relajado, sin renunciar a la proximidad con el ritmo vibrante de la gran ciudad. Aquí, siempre tendrás planes a mano, tanto dentro de Cal
";alcobendas-madrid
1.275;Estudio en Avenida De La Industria 7;Bajo;29;;/inmueble/107042564/;"
SIN COMISIONES DE AGENCIA. TODO INCLUIDO. SE ADMITEN PERROS.
En Calido, elegimos cada enclave pensando en ofrecerte lo mejor de dos mundos: la tranquilidad y el confort de un entorno relajado, sin renunciar a la proximidad con el ritmo vibrante de la gran ciudad. Aquí, siempre tendrás planes a mano, tanto dentro de Cal
";alcobendas-madrid
2.717;Piso en Perdiguera 1;86;4;Planta 1ª exterior con ascensor;/inmueble/108262246/;"
¡HASTA UN 20% OFF Y SERVICIOS EXTRA GRATIS!
TODO INCLUIDO | SIN COMISIONES DE AGENCIA | FLEXIBILIDAD EN LAS ESTANCIAS
¡Parking GRATIS para estancias de más de 10 meses!
*El precio visible ya tiene aplicado un 20% de descuento. Promoción válida solo para tipologías de estudio y 1 dormitorio y 4 habitaciones. Consult
";alcobendas-madrid
1.400;Dúplex en Carretera de Fuencarral Valdelacasa;125;1;Planta 3ª exterior con ascensor;/inmueble/108440354/;"
Rea Inmobiliaria presenta en EXCLUSIVA este magnífico loft completamente reformado y amueblado a estrenar, listo para entrar a vivir. Situado en una zona inmejorable, ofrece una luminosidad excepcional gracias a sus grandes ventanales y una distribución inteligente en dos alturas.
Distribución y características:
Plan
";alcobendas-madrid
1.350;Piso en Carretera de Fuencarral 14;88;1;Bajo exterior con ascensor;/inmueble/97747059/;"
Loft recién reformado, con gran amplitud y una distribución inteligente en dos alturas.
Cocina equipada con electrodomésticos de alta gama: vitrocerámica, campana con filtro de carbono TEKA. horno y microondas, lavavajillas, lavadora-secadora y frigorífico-congelador.
Climatización por bombas de frío/calor marca DAIK
";alcobendas-madrid
2.450;Piso en Calle de Luis Rodríguez Ontiveros Ensanche;138;3; exterior con ascensor;/inmueble/108368245/;"
Ático con terraza, ubicado en un desarrollo exclusivo en el centro de Alcobendas
Engel & Völkers presenta este magnífico ático con terraza, ubicado en una promoción exclusiva en el centro de Alcobendas. La propiedad, completamente exterior, se destaca por sus impresionantes vistas panorámicas al norte de Madrid y su or
";alcobendas-madrid
1.150;Piso en Juan Ramon Jimenez Norte;74;1;Planta 1ª exterior con ascensor;/inmueble/95156239/;"
Living La Moraleja, alquila magnifico piso en unas de las mejores zonas de Alcobendas ( Alcobendas Norte
La vivienda cuenta con 74 metros en planta que se distribuyen en salón, Un dormitorio, un baño, amplia cocina equipada con electrodomésticos, y casa amueblada.
Terraza-solárium muy amplia. Toda la casa es muy lumi
";alcobendas-madrid
2.500;Piso en Paseo de la Chopera Norte;140;3;Bajo exterior con ascensor;/inmueble/109381586/;"
NEW HOUSE INMOBILIARIA presenta en exclusiva formidable, piso bajo con jardín en Alcobendas.
En la reconocido urbanización de La Pérgola en Alcobendas se encuentra este formidable, piso de tres dormitorios y dos baños con plaza de garaje con cargador para coche eléctrico y caseta trastero ubicado en el jardín.
Su dis
";alcobendas-madrid
3.240;Piso en Av. Doctor Severo Ochoa 44;120;3;Planta 2ª exterior con ascensor;/inmueble/86573296/;"
¡Disponible a partir de OCTUBRE!
Moderno apartamento Homeclub en alquiler mensual
¡Ideal para estancias temporales con todas las comodidades incluidas!
Incluye en el precio:
- Electricidad (hasta 150 €/mes), Gas (hasta 150 €/mes) e Internet de alta velocidad.
- Sin comisión de agencia. La tarifa de servicio del 4% (
";alcobendas-madrid
3.200;Piso en Carretera de Fuencarral 44;339;3;Bajo exterior con ascensor;/inmueble/108385068/;"
¡Descubre este impresionante loft de 339 m² en alquiler, situado en una exclusiva urbanización cerrada con seguridad 24 horas! Este espacio único, que cuenta con una entreplanta de 53 m², es ideal para quienes buscan comodidad y estilo. La cocina está completamente equipada con electrodomésticos modernos, perfecta para
";alcobendas-madrid
2.100;Piso en Carretera de Fuencarral 44;211;1;Planta 3ª exterior con ascensor;/inmueble/108754253/;"
¡Descubre este espectacular loft de 211 m² en alquiler que combina estilo y comodidad en una urbanización cerrada con seguridad 24 horas! Este moderno espacio cuenta con una entreplanta de 60 m², ideal para crear un rincón de trabajo o un área de descanso. La cocina está completamente equipada y el ambiente se compleme
";alcobendas-madrid
1.450;Estudio en Avenida de la Industria Valdelacasa;Planta;145;;/inmueble/105889424/;"
Inversiones La Moraleja presenta este magnífico Loft díafano a estrenar y muy luminoso en inmejorable localización dentro del polígono de Valdelacasa.
Dispone de una superficie aproximada de 110m2 útiles.
Zona diáfana muy amplia y luminosa con enormes ventanales de 4m de anchura y 2m de altura. Orientación sur y extr
";alcobendas-madrid
1.249;Piso en Avenida del Monte Valdelatas 40;40;1;Planta 1ª exterior con ascensor;/inmueble/108225180/;"
Tu nuevo hogar a las puertas de Madrid te espera en Livensa Living Studios Madrid Alcobendas.
Descubre una forma innovadora de vivir con total comodidad y estilo en uno de los entornos más modernos y tranquilos del norte de Madrid. Nuestro concepto de flex-living combina diseño funcional, servicios premium y una ubica
";alcobendas-madrid
1.250;Piso en Plaza de la Encina 3;85;3;Entreplanta exterior con ascensor;/inmueble/108418919/;"
Elige vivir en una zona tranquila y con todos los servicios a tu alcance en el centro de Alcobendas, junto al ayuntamiento de la ciudad. Perfectamente comunicado con paradas de bus a 2 minutos, a 5 minutos de la estación de Cercanías y a 10 minutos del metro.
La vivienda dispone de una amplia cocina para comidas y cena
";alcobendas-madrid
825;Piso en Calle de León Pérez Bayo 5;55;1;Bajo exterior sin ascensor;/inmueble/86458074/;"
Se alquila bonito dúplex de un dormitorio, situado entre C/ Chopera y C/Marqués de la Valdavia. Consta de salón/recibidor, cocina completamente equipada con electrodomésticos, cuarto de baño y amplio dormitorio con armario de gran capacidad. Ventana con doble cristal, iluminación LED en todas las estancias, aire acondi
";alcobendas-madrid
