precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
1.280;Piso en Calle de Ricardo Damas Legazpi;45;1;Planta 3ª exterior con ascensor;/inmueble/109262818/;"
DISPONIBLE A PARTIR 1 DE DICIEMBRE 2025
Alamo Home pone a su disposición Apartamento exterior de una habitación completamente amueblado y equipado en Legazpi.
El salón está integrado con la cocina y cuenta con TV de 55"", horno, placa, nevera, lavavajillas, microondas, tostadora, cafetera y una barra de desayuno con
";arganzuela
1.700;Dúplex en Calle de Bernardino Obregón Palos de la Frontera;85;2;Planta 3ª exterior con ascensor;/inmueble/109227606/;"
DISPONIBLE EN OCTUBRE! MODUS HOME PONE A TU DISPOSICIÓN PISO EXTERIOR REFORMADO, AMUEBLADO, EN LA ZONA DE PALOS DE MOGUER, CON TERRAZA PRIVADA, PISO REFORMADO.
Se trata de un dúplex de 85 m2.
Distribución:
- Salón –comedor
- Hall- recibidor
- 1 Dormitorio con baño en suite.
- 1 Dormitorio con sofá-cama.
- 2 Baños compl
";arganzuela
1.300;Piso en Paseo de las Delicias 13;51;1;Planta 6ª exterior con ascensor;/inmueble/25140719/;"
Precioso apartamento, reformado íntegramente, salón comedor con cocina americana, un cuarto de baño y dormitorio, dos armarios completos mas un amplio altillo. El edificio es señorial y se encuentra protegido. Si lo ves querrás vivir en él.
";arganzuela
1.500;Piso en Calle de Ercilla Acacias;64;2;Planta 4ª interior con ascensor;/inmueble/96847465/;"
MODUS HOME TE INVITA A VIVIR LA EXPERIENCIA DE UN NUEVO HOGAR, EN PISO DE DOS DORMITORIOS, AMUEBLADO, CON ASCENSOR, LUMINOSO 4ª PLANTA, CALEFACCIÓN A GAS, EN LA ZONA DE EMBAJADORES.
Se trata de una planta 4ª planta interior con vista a patio de manzana
Distribución:
- Salón.
- Dos dormitorios.
- Cocina independien
";arganzuela
1.000;Piso en Calle de Sodio Legazpi;50;1;Planta 2ª exterior con ascensor;/inmueble/109261842/;"
INMOBILIARIA MANHATTAN- Se alquila bonito y cuidado piso COMPLETAMENTE AMUEBLADO como aparece en las fotografías, de 1 dormitorio y 1 baño.
La cocina está completamente amueblada y equipada.
Suelos de tarima, armarios empotrados, Aire acondicionado por conductos.
Plaza de Garaje y Trastero incluidos en el precio.
";arganzuela
1.800;Piso en Calle del Majuelo Acacias;90;2;Planta 1ª exterior con ascensor;/inmueble/109161359/;"
***VIVENDA DE ALQUILER TEMPORAL** ALQUILER TEMPORAL MÍNIMO 11 MESES** Es necesario
acreditar la temporalidad (estudios, traslado temporal trabajo, obras, etc. ), con periodo mínimo de 11 meses***
CASAS Y MAS alquila Magnifico piso exterior en el PASEO DE LA ESPERANZA CON MAJUELO enfrente de la parada de METRO ACACIA
";arganzuela
1.300;Piso en Paseo de Santa María de la Cabeza 13;57;1;Planta 5ª interior con ascensor;/inmueble/109260601/;"
Alquiler directo con el inquilino. SIN COMISIÓN DE AGENCIA.
Se alquila esta estupenda vivienda muy luminosa de 57 m2 incluyendo trastero y garaje. Ubicada en una zona reconocida con gran oferta cultural, supermercados, bancos y restauración. Además esta muy cerca del Parque del Retiro.
La vivienda destaca por su incr
";arganzuela
1.350;Piso en Ronda de Segovia Imperial;80;2;Planta 1ª exterior con ascensor;/inmueble/101353361/;"
¡No dejes pasar la oportunidad de vivir en una de las zonas más privilegiadas de Madrid!
Magnifico piso de dos dormitorios en pleno centro de la capital, situado en una primera planta de edificio con ascensor, muy próximo al Madrid Río y la Puerta de Toledo, zona ideal para disfrutar de una amplia oferta comercial, cul
";arganzuela
1.600;Piso en Calle Puerto de la Cruz Verde 26;63;1;Planta 6ª exterior con ascensor;/inmueble/109260984/;"
STAYADAY alquila vivienda muy luminosa y totalmente equipada en CALLE DEL PUERTO DE LA CRUZ VERDE 26.
ALQUILER DE TEMPORADA (De 1 a 11 meses). DISPONIBLE DE INMEDIATO.
La vivienda se compone de un salón-comedor con gran ventanal y mirador, que aporta una luminosidad excepcional y vistas despejadas. El salón dispone d
";arganzuela
1.423;Piso en Calle de Embajadores Delicias;52;1;Bajo interior con ascensor;/inmueble/109067029/;"
ABIR HOMES
SIN COMISIÓN DE AGENCIA
Esta moderna vivienda de 1 dormitorio es el lugar perfecto para disfrutar de la comodidad y el estilo contemporáneo. Al entrar, te recibe un amplio y luminoso salón que se integra perfectamente con la cocina americana, completamente equipada con electrodomésticos de primeras marcas,
";arganzuela
