precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
2.500;Piso en Riaño 9;185;4;Planta 2ª exterior con ascensor;/inmueble/109263667/;"
Disponible a partir del 1 de Octubre 2025. Urbanización de lujo tranquila con los mejores servicios de la zona, a 5 minutos andando del aeropuerto T1 T2 T3 y del bus T4
Piscina, Jardines, Comercios ( Farmacia Ultramarinos. ) y todos los servicios (Agua, Luz, Gas Wifi 600Mb, Netflix, HBO, Amazon Prime Video, TV, Limpiez
";barajas
1.050;Piso en Calle Alaró Timón;56;1;Planta 1ª exterior con ascensor;/inmueble/108685853/;"
Piso de 1 dormitorio, con 4 armarios empotrados perfectamente vestidos; moderna cocina completamente equipada con todos los electrodomésticos (incluido lavavajillas) con salida a tendedero con muchas posibilidades; un amplio salón con grandes ventanales a modo de mirador; y 1 baño con mueble integrado, bañera con mampa
";barajas
1.800;Piso en Calle Bergantín 4;125;4;Planta 3ª exterior con ascensor;/inmueble/33083343/;"
Precio con todo incluido: comunidad, agua y calefacción central.
Piso reformado, luminoso y con excelente ubicación. Rodeado de tiendas, bares y colegios. A solo 3 minutos del metro y con paradas de autobús en la puerta (líneas 114, 115, 112, búho... ).
Se alquila con o sin muebles
Disponible a partir del 6 de o
";barajas
1.600;Dúplex en Campo de las Naciones-Corralejos Madrid;126;2;Planta 3ª exterior con ascensor;/inmueble/109196539/;"
La Inmobiliaria Internacional CPM gestiona este magnífico y luminoso dúplex sin amueblar, ( NO MASCOTAS) de 140 m2, 2 dormitorios y 3 terrazas, situado en urbanización cerrada, con estupendas zonas comunes, próximo al metro Alameda de Osuna, que consta de los siguientes elementos:
Planta de entrada: Hall de entrada. U
";barajas
1.550;Piso en Av Bergantin 20;93;3;Planta 2ª exterior con ascensor;/inmueble/109259274/;"
**Piso luminoso recien reformado y listo para vivir en urbanización privada**
Renta Rooms te presenta este exclusivo piso lleno de luz y personalidad, ubicado en una de las zonas más cotizadas de Alameda de Osuna. Situado en una urbanización privada con piscina, este hogar combina comodidad, estilo y una excelente ubi
";barajas
1.000;Estudio en Calle de las Fraguas Casco Histórico de Barajas;Bajo;35;;/inmueble/105500020/;"
¡NO ESPERES A QUE LO ALQUILEN! HAZ TU PRERESERVA POR 500€ Y GANA PRIORIDAD.
REALIZAMOS VISITAS VIRTUALES PARA QUE PUEDAS VER CIENTOS DE PROPIEDADES A DISTANCIA, ¡LO QUE AHORRARA TIEMPO Y DINERO!
YOUHOMEY es una plataforma de alquiler en línea que permite a los inquilinos reservar propiedades de forma instantánea y se
";barajas
1.190;Piso en Avenida de la Hispanidad Alameda de Osuna;80;2;Planta 1ª exterior con ascensor;/inmueble/109258422/;"
Piso en Alquiler en Edificio Residencial Hispanidad - ¡Tu nuevo hogar te espera!
Descubre este espectacular piso de 2 dormitorios en el corazón de una zona consolidada, ideal para disfrutar de la vida urbana sin renunciar a la tranquilidad. Con 80m² construidos, este hogar ofrece un diseño moderno y funcional, perfect
";barajas
1.100;Piso en Calle de Babilonia 35;48;1;Planta 2ª exterior con ascensor;/inmueble/109058339/;"
Excelente vivienda, ideal para pareja o persona sola. Se ubica en segunda planta de edificio que cuenta con todas las comodidades que necesitas.
Edificio con conserje, 3 ascensores en cada planta, jardines, pista de pádel, piscina y solárium.
La vivienda está conformada por pasillo recibidor, cocina, salón comedor, d
";barajas
850;Piso en Calle Géminis 24;55;1;Planta 1ª exterior con ascensor;/inmueble/29432210/;"
Apartamento totalmente amueblado y equipado. Consta de un dormitorio con terraza, baño completo, salón espacioso y luminoso, cocina con todos los electrodomésticos y menaje y barra americana hacia el salón. Caldera de gas natural. Parqué recién reformado. Autobuses a la puerta y metro a 200 metros. No agencias.
REQUISI
";barajas
1.300;Piso en Calle Playa de Zarauz 23;94;2;Planta 2ª exterior con ascensor;/inmueble/109086373/;"
Es momento de que elijas tu nueva vivienda.
Piso de 2 dormitorios con armario empotrado, 1 baño con bañera, salón comedor y cocina con acceso a tendedero equipado con lavadora. Calefacción y aire acondicionado en toda la vivienda. Se ubica en segunda planta de edificio con ascensor. Se incluye plaza de garaje y traste
";barajas
