precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
1.900;Piso en Calle Naciones Goya;70;1;Planta 2ª exterior con ascensor;/inmueble/109263548/;"
Descubre este encantador piso de 70 m² en el corazón de Goya. Perfecto para quienes buscan confort y conveniencia, esta propiedad ofrece un dormitorio acogedor y un baño moderno. Construido en 1989, el edificio cuenta con ascensor, facilitando el acceso a todas las plantas.
El piso está orientado al exterior, garanti
";barrio-de-salamanca
9.000;Piso en Recoletos Salamanca;300;3;Planta 6ª exterior sin ascensor;/inmueble/109235138/;"
Bienvenido a un enclave privilegiado en el corazón del barrio de Recoletos, dentro de la codiciada Milla de Oro madrileña. Este espectacular piso en alquiler redefine el concepto de vivir con estilo y confort, ofreciendo una experiencia residencial de máximo nivel en una de las zonas más elegantes y deseadas de la capi
";barrio-de-salamanca
2.900;Piso en Calle de Castelló Castellana;160;5;Planta 1ª exterior con ascensor;/inmueble/87606038/;"
""Inmobiliaria Emmanuel
Piso en Alquiler en el Corazón de Salamanca - Madrid
Piso en alquiler, ubicada en una de las mejores zonas del Salamanca, con 150 m² construidos, este espacio cuenta con 5 dormitorios y un baño.
La propiedad está equipada con calefacción, garantizando un ambiente cómodo durante todo el año.
";barrio-de-salamanca
2.900;Dúplex en Calle del Conde de Aranda 21;100;2;Planta 5ª interior con ascensor;/inmueble/108553855/;"
Atico Dúplex amueblado en calle del Conde de Aranda
MARAVILLOSO ÁTICO-DÚPLEX EN PLENA MILLA DE ORO A 1 MINUTO DEL RETIRO!
Ubicado en la zona más exclusiva de Madrid, en la mejor zona del Barrio de Recoletos, rodeado de los mejores restaurantes, tiendas supermercados, gimnasios, a tan solo 1 minuto del Parque del Ret
";barrio-de-salamanca
2.500;Piso en Calle de Ayala Recoletos;45;2;Planta 4ª interior con ascensor;/inmueble/109263262/;"
PISO DE LUJO RECIEN REFORMADO EN ZONA RECOLETOS!
DISPONIBLE!
VIVE EN EL MEJOR BARRIO DE MADRID!
No dejes pasar la oportunidad de vivir en el corazón de Barrio Salamanca!
Cuenta con todo lo necesario para no tener que preocuparte con nada.
COCINA:
- Equipada con platos, cubiertos, vasos, tazas, sartenes, ollas.
-
";barrio-de-salamanca
4.500;Piso en Calle de O'Donnell 45;180;5;Planta 1ª exterior con ascensor;/inmueble/109168530/;"
Piso lujo exterior muy luminoso
barrio salamanca.
";barrio-de-salamanca
3.200;Piso en Calle Alcalá Goya;79;2;Planta 3ª exterior con ascensor;/inmueble/109262952/;"
PISO MUY LUMINOSO DE DOS HABITACIONES, EXTERIOR Y AMUEBLADO EN GOYA
Disponible ya. Totalmente equipado y listo para entrar a vivir, ofrece una combinación perfecta entre confort, estilo y funcionalidad.
Dos habitaciones, una con cama doble, y otra con dos camas individuales. Dos baños completos, con duchas muy modern
";barrio-de-salamanca
2.500;Piso en Goya Madrid;75;2; exterior con ascensor;/inmueble/108014287/;"
Precioso piso en un buen edificio. Grandes espacios con grandes ventanales y magníficas calidades.
Totalmente exterior
Sin amueblar,
Posibilidad de amueblar
Muy amplio y luminoso.
Gran hall recibidor, comedor independiente, con salida a la terraza con muchísima luz.
Espectacular cocina totalmente equipada con el
";barrio-de-salamanca
2.800;Piso en Calle Alcalá Goya;62;2;Planta 3ª interior con ascensor;/inmueble/109262756/;"
PISO MUY LUMINOSO DE DOS HABITACIONES Y AMUEBLADO EN GOYA
Disponible ya. Totalmente equipado y listo para entrar a vivir, ofrece una combinación perfecta entre confort, estilo y funcionalidad.
Dos habitaciones, una con cama doble, y otra con dos camas individuales. Dos baños completos, con duchas muy modernas. Amplio
";barrio-de-salamanca
2.300;Piso en Goya Madrid;70;2; exterior con ascensor;/inmueble/108709093/;"
BIEN UBICADO, COMODO, CON ESTILO.
Se alquila piso de 2 dormitorios en el barrio de Goya, totalmente reformado y listo para entrar a vivir. Tiene suelos de tarima, aire acondicionado frío/ calor por conducto y dormitorio con armario empotrado. Baño completo con mampara.
La cocina es americana pero separada visualmente
";barrio-de-salamanca
7.500;Piso en Calle de Ayala Recoletos;350;4;Planta 3ª exterior con ascensor;/inmueble/109262655/;"
Consulting Inmobiliario Esquivel presenta este exclusivo piso en alquiler en el corazón del Barrio de Salamanca, una de las zonas más prestigiosas y solicitadas de Madrid.
Con una superficie de 330 m², esta elegante vivienda combina la amplitud y el encanto de los pisos clásicos madrileños con todas las comodidades mo
";barrio-de-salamanca
2.200;Piso en Calle del General Pardiñas Lista;70;2;Planta 1ª interior con ascensor;/inmueble/108779347/;"
BONITO ES.
DOS HABITACIONES + DOS BAÑOS EN SUITE
Coqueto piso situado en la calle General Pardiñas, pleno barrio de Salamanca.
Dispone de DOS dormitorios dobles cada uno con su armario empotrado, salón con cocina americana, y DOS cuartos de baño EN SUITE. Asimismo dispone de un pequeño baño de cortesía o de invitados
";barrio-de-salamanca
5.750;Piso en Calle de María de Molina Lista;214;4;Planta 8ª interior con ascensor;/inmueble/109262353/;"
Home Select alquila piso reformado sin amueblar de 180m2 con piscina!
**Las primeras 5 fotos son ejemplos de como podría quedar amueblado**
Ubicación,
El barrio de Salamanca, considerado el más representativo y exclusivo de la capital, está lleno de boutiques independientes, sofisticados bares y cafés, elegantes rest
";barrio-de-salamanca
