precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
1.240;Piso en Calle del Jacobeo Pau de Carabanchel;86;2;Planta 6ª exterior con ascensor;/inmueble/109260974/;"
Obtén MEDIO MES gratuito firmando el contrato antes del 30/09/25. *Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble.
Estupenda vivienda de 2 dormitorios con terraza. Y además, ¡con garaje y trastero incluidos!
*Es condición esencial permanecer en la vivienda al menos 12 meses, de no se
";carabanchel
1.215;Piso en Calle Tulipero 6;34;2;Entreplanta exterior con ascensor;/inmueble/107249633/;"
Apartamento de 2 dormitorios
Este apartamento amueblado de dos dormitorios ofrece un diseño innovador y funcional, que maximiza el espacio y la comodidad. Con una distribución espaciosa que incluye dos dormitorios y un baño amplio, cada rincón ha sido cuidadosamente diseñado para crear un ambiente acogedor y elegante.
";carabanchel
1.100;Estudio en Calle San Delfín Comillas;Entreplanta;60;5 horas;/inmueble/109259877/;"
¡Descubre este fabuloso estudio en alquiler que combina comodidad y estilo! Con 60 m² construidos, este espacio cuenta con un acogedor salón, un dormitorio separado y una cocina equipada con todos los electrodomésticos necesarios. El suelo de tarima aporta calidez y elegancia, mientras que las ventanas de climalit aseg
";carabanchel
895;Estudio en Calle Tulipero 6;Planta;22;;/inmueble/107249437/;"
PROMO OPENING: Reserva tu estancia de más de 6 meses y dsifruta de 15 días adicionales gratis!
Este estudio amueblado es la fusión perfecta de diseño contemporáneo, funcionalidad y luz natural. Su distribución inteligente optimiza el espacio, integrando una cómoda cama canapé, un coffee corner, un práctico escritorio
";carabanchel
990;Piso en Calle del Padre Oltra Comillas;69;1;Bajo exterior sin ascensor;/inmueble/109259812/;"
Piso reformado de 70m2. Consta de una habitación con armario empotrado, salón, cocina amueblada y equipada y un baño completo. Dispone de aire acondicionado con bomba de F/C. Piso exterior y se entrega semiamueblado. Gastos de comunidad incluidos en el precio de la renta. Cercano a todo tipo de servicios y comercios.
";carabanchel
895;Estudio en Calle Tulipero 6;Planta;22;;/inmueble/107249284/;"
Studio Standard con Terraza
Este estudio amueblado combina a la perfección comodidad y diseño. Con una amplia terraza privada que llena de luz el espacio, su distribución inteligente incluye una cómoda cama canapé, una zona de escritorio, un baño espacioso y un acogedor coffee corner. Aquí, estilo y funcionalidad se f
";carabanchel
950;Piso en Avenida del Euro Pau de Carabanchel;46;1;Planta 6ª exterior con ascensor;/inmueble/109258333/;"
Se alquila estudio de 46 m² situado en la Avenida Euro, en una urbanización moderna con piscina comunitaria y zonas ajardinadas. Una opción cómoda y bien conectada, ideal para una persona o pareja.
El espacio es diáfano, con salón-dormitorio, cocina independiente equipada y un baño completo.
La vivienda es muy luminos
";carabanchel
1.200;Piso en Calle Blanca 12;79;2;Planta 1ª interior con ascensor;/inmueble/106279340/;"
ALQUILER DE LARGA ESTANCIA, NO DISPONIBLE PARA ALQUILER POR MESES.
Disfruta de una experiencia única, recorre nuestras modernas instalaciones y encuentra el espacio perfecto para ti y tu familia. Ven y sé parte de nuestra comunidad vibrante. ¡Te esperamos con los brazos abiertos! RESERVA TU CITA.
Este edificio de nu
";carabanchel
1.400;Piso en Puerta Bonita Madrid;83;3;Planta 2ª exterior sin ascensor;/inmueble/108216738/;"
Luminoso piso exterior, amueblado y renovado, ideal para entrar a vivir. En barrio Puerta Bonita, una zona tranquila y bien comunicada del barrio de Carabanchel.
La vivienda dispone de:
- 3 dormitorios exteriores, con armarios.
- Salón-comedor acogedor.
- Cocina independiente equipada con electrodomésticos.
- Baño co
";carabanchel
1.695;Piso en Calle del General Ricardos Opañel;80;2;Planta 1ª exterior con ascensor;/inmueble/104247485/;"
Moderno piso amueblado en alquiler junto al metro Urgel – Con piscina y zonas verdes
Se alquila moderno y luminoso piso de 70 m², completamente amueblado y todo a estrenar, ubicado a solo unos pasos de la estación de metro Urgel, en el corazón de Madrid.
La vivienda, construida en 2020, destaca por su diseño contempo
";carabanchel
2.000;Piso en Paseo del Quince de Mayo San Isidro;120;4;Planta 1ª exterior con ascensor;/inmueble/109255542/;"
SOLOALQUILERES ALQUILA.
Se piden mes de fianza y mes de garantía adicional
Magnifico piso amueblado con patio de uso privativo de 12M2 situado junto a MADRID RÍO. Calefacción central incluida en el precio.
Distribuido en un gran salón con terraza cerrada, cuatro amplios dormitorios, tres de ellos con armarios empotrado
";carabanchel
1.000;Estudio en Calle Josefa Fernández Buterga Opañel;Bajo;42;Publicado ayer ;/inmueble/109250966/;"
Obtén MEDIO MES gratuito firmando el contrato antes del 30/09/25. *Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble.
Estupendo estudio ¡Con garaje y trastero incluidos!
*Es condición esencial permanecer en la vivienda al menos 12 meses, de no ser así la promoción quedará sin efectos co
";carabanchel
690;Estudio en Calle del Sabanero Vista Alegre;Bajo;25;21 horas;/inmueble/109255250/;"
ESTUDIO.
Necesario: contrato y AVALISTA o funcionarios.
WIFI gratis.
Máximo 2 personas
Salón comedor con cocina Americana.
Baño.
Cama de 1,10x1,90.
Todo nuevo. A estrenar.
Mucho trasporte publico;
METRO de Vía Carpetana y Vista Alegre a 3 minutos andando.
Línea 6 directa CIUDAD UNIVERSITARIA (30 minutos a las universid
";carabanchel
860;Estudio en Calle de Alejandro Sánchez Opañel;Bajo;30;;/inmueble/109104275/;"
Oca Servicios Inmobiliarios te presenta este estupendo estudio recientemente reformado, con mobiliario completamente nuevo, acabados de primera calidad y listo para estrenar.
Ubicado en la planta baja de un edificio bien comunicado, el estudio cuenta con 30 m² distribuidos en dos estancias funcionales:
Cocina equipad
";carabanchel
1.050;Piso en San Isidro Madrid;71;2;Planta 1ª exterior sin ascensor;/inmueble/109251183/;"
Magnifica vivienda de dos dormitorios ubicada en plena calle General Ricardos y a muy poca distancia de Marqués de Vadillo.
El inmueble cuenta con una coqueta cocina que se queda totalmente equipada para el quehacer culinario del hogar, un cuarto de baño completo, un coqueto salón con grandes ventanales que hacen que
";carabanchel
1.150;Ático en Avenida del Euro 21;79;2;Planta 7ª exterior con ascensor;/inmueble/109249556/;"
Ático con terraza de 19 metros. Urbanización con piscina, gimnasio y zonas verdes.
Se alquila con plaza de garaje y trastero de unos 3 m2.
";carabanchel
1.150;Ático en Avenida del Euro 21;79;2;Planta 7ª exterior con ascensor;/inmueble/109245875/;"
Ático con terraza de 19m2. Plaza de garaje y trastero.
Urbanicación con Piscina, zonas de juego y gimnasio.
Agua caliente, calefacción y aire acondicionado, gestionado por comunidad pero cobrado aparte.
";carabanchel
1.100;Ático en Avenida del Euro 14;65;2;Planta 7ª exterior con ascensor;/inmueble/39545614/;"
Excelente ático muy luminoso (orientación suroeste) y en perfecto estado en Pau Carabanchel. Impresionantes vistas. La vivienda se encuentra situada en la planta séptima (el ático) de una urbanización privada. Alquiler disponible a partir del 15 de octubre de 2025.
Se compone de:
Hall de entrada con video-portero, reg
";carabanchel
900;Ático en Calle del Haya 6 --a;Planta;40;10 sep ;/inmueble/105980055/;"
LOFT INCLUYE IVA. Es decir el alquiler son 744 € + IVA. Total 900 €. (electricidad, agua y calefacción ). Coste mensual 70 Euros extras. Plaza garaje opcional 60 €.
*COMPLETAMENTE AMUEBLADO, para entrar*
El inmueble cuenta con calefacción y suelo refrescante por suelo radiante, garantizando una temperatura perfecta
";carabanchel
900;Ático en Calle del Cidro Pau de Carabanchel;40;1;Planta 4ª exterior con ascensor;/inmueble/105737018/;"
LOFT INCLUYE IVA. Es decir el alquiler son 744 € + IVA. Total 900 €. (electricidad, agua y calefacción ). Coste mensual 70 Euros extras. Plaza garaje opcional 60 €.
*COMPLETAMENTE AMUEBLADO, para entrar*
El inmueble cuenta con calefacción y suelo refrescante por suelo radiante, garantizando una temperatura perfecta e
";carabanchel
899;Piso en Avenida de Carabanchel Alto Buena Vista;34;1;Bajo interior sin ascensor;/inmueble/109244118/;"
Se alquila apartamento con 1 dormitorio, con salón cocina americana y un cuarto de baño independiente. Recién pintado y hecho algunos arreglos dentro de la vivienda. Disponibilidad inmediata para entrar a vivir.
Ubicado en zona residencial consolidada y con todos los servicios de ocio y primera necesidad, centros edu
";carabanchel
1.020;Piso en Calle de la Gaviota 70;37;1; sin ascensor;/inmueble/109239538/;"
DISPONIBLE EN: Octubre.
Reserve en línea haciendo clic bajo el mapa en ""Enlace adicional"".
No se aceptan alquileres inferiores a 8 meses
Edad aceptada: Desde hace 18
*************
¿CÓMO FUNCIONA SPACEST.COM?
Spacest.com es una plataforma online de alquileres de media-larga duración que nace como garantía para el in
";carabanchel
1.260;Piso en Calle de Albares de la Ribera 12;51;3; sin ascensor;/inmueble/105540361/;"
DISPONIBLE EN: Octubre.
Reserve en línea haciendo clic bajo el mapa en ""Enlace adicional"".
No se aceptan alquileres inferiores a 10 meses
Edad aceptada: Desde hace 18
*************
¿CÓMO FUNCIONA SPACEST.COM?
Spacest.com es una plataforma online de alquileres de media-larga duración que nace como garantía para el i
";carabanchel
850;Piso en Calle doctor jerónimo iborra Buena Vista;60;1;Planta 1ª exterior con ascensor;/inmueble/30872306/;"
Estupendo piso, magnificas calidades, ubicado en una segunda planta, edificio con ascensor, con puerta de seguridad y con calefacción de gas natural. El piso tiene una habitación con aire acondicionado /bomba de frio/calor y con un armario empotrado y cajoneras, el salón – comedor cuenta también con aire acondicionado
";carabanchel
1.300;Piso en Calle de José María Pemán San Isidro;60;1; con ascensor;/inmueble/109185369/;"
Un impresionante apartamento de 1 dormitorio con increíbles vistas del horizonte de la ciudad de Madrid está disponible para alquilar cerca de un campo de fútbol en San Isidro. La propiedad de 60 m² es completamente exterior, dando a la casa mucha luz natural. Cada habitación del apartamento está equipada con aire acon
";carabanchel
1.180;Piso en Excelente 6;53;2;Planta 1ª exterior con ascensor;/inmueble/107408536/;"
ALQUILER DE LARGA ESTANCIA, NO DISPONIBLE PARA ALQUILER POR MESES.
¿Estás en busca de un piso de alquiler en Carabanchel? ¡Te presentamos tu nuevo hogar! Este edificio de nueva construcción está situado en el encantador barrio madrileño de Carabanchel y está diseñado para un estilo de vida moderno y confortable.
Ofre
";carabanchel
1.140;Piso en Excelente 6;54;1;Planta 1ª exterior con ascensor;/inmueble/107408526/;"
ALQUILER DE LARGA ESTANCIA, NO DISPONIBLE PARA ALQUILER POR MESES.
¡Tu nuevo hogar de 1 dormitorio te espera en Carabanchel!
¿Buscas piso de alquiler en Carabanchel? ¡Tenemos lo que necesitas! Te presentamos esta moderna vivienda de 1 dormitorio, situada en un edificio de obra nueva en el corazón de uno de los barrios
";carabanchel
1.200;Piso en Paseo del Quince de Mayo San Isidro;90;2;Planta 6ª exterior con ascensor;/inmueble/109105637/;"
Piso de 90m2, consta de dos dormitorios, amplio salón comedor, cocina amueblada y equipada con office y un cuarto de baño con plato de ducha. Dispone de calefacción individual de gas natural. La vivienda es exterior y se entrega amueblada. Gastos de Comunidad incluidos en el precio. La finca cuenta un patio comunitario
";carabanchel
990;Estudio en Avenida de Oporto Abrantes;;35;;/inmueble/109111359/;"
Descubre este acogedor estudio interior ubicado en Opañel, Madrid. Ideal para estudiantes y Erasmus, esta propiedad incluye facturas dentro de un límite global fijo, cuenta con un espacio completamente amueblado y dispone de una zona de lavado compartida. Dispone de wifi para mayor comodidad y el anuncio ha sido verifi
";carabanchel
1.250;Piso en Calle Garceta San Isidro;10;1; sin ascensor;/inmueble/109091366/;"
¿Buscas un espacio moderno y funcional en Madrid? Este apartamento de 1 dormitorio, totalmente amueblado, en la zona de San Isidro está disponible para alquilar. Está equipado con comodidades esenciales como lavadora, TV, aire acondicionado y cocina equipada con lavavajillas y horno. Ideal para profesionales, familias
";carabanchel
1.400;Piso en Travesía Guitarra Buena Vista;65;2; exterior sin ascensor;/inmueble/109062600/;"
RESERVAS Y INQUIETUDES
Para obtener información detallada y reservar en línea, haga clic debajo del mapa en ""Enlace adicional"".
TÉRMINOS Y CONDICIONES DE ALOJAMIENTO:
- Fecha de disponibilidad: 31/12/2025
- Duración mínima del alquiler: 30 días
- Máximo de huéspedes: 1
- Todas las facturas incluidas: No, para obtener
";carabanchel
1.000;Piso en Calle Guabairo Vista Alegre;30;1; exterior sin ascensor;/inmueble/109200479/;"
RESERVAS Y INQUIETUDES
Para obtener información detallada y reservar en línea, haga clic debajo del mapa en ""Enlace adicional"".
TÉRMINOS Y CONDICIONES DE ALOJAMIENTO:
- Fecha de disponibilidad: 01/01/2026
- Duración mínima del alquiler: 30 días
- Máximo de huéspedes: 1
- Todas las facturas incluidas: No, para obtener
";carabanchel
1.404;Piso en Calle de Binéfar Vista Alegre;35;1; exterior sin ascensor;/inmueble/108887013/;"
RESERVAS Y INQUIETUDES
Para obtener información detallada y reservar en línea, haga clic debajo del mapa en ""Enlace adicional"".
TÉRMINOS Y CONDICIONES DE ALOJAMIENTO:
- Fecha de disponibilidad: 30/09/2025
- Duración mínima del alquiler: 30 días
- Máximo de huéspedes: 4
- Todas las facturas incluidas: Sí, para obtener
";carabanchel
1.390;Piso en Paseo de San Illán San Isidro;70;3;Planta 5ª exterior con ascensor;/inmueble/108925573/;"
Magnifico piso totalmente reformado de 3 habitaciones. Amplio salón de paso con acceso a terraza de 6 m2. Cuenta con cocina equipada, calefacción individual de gas, es exterior y se entrega sin amueblar. Cercano a todo tipo de servicios. Finca con ascensor. Gastos de comunidad incluidos. Mascotas a consultar.
";carabanchel
1.350;Piso en Calle Soledades Pau de Carabanchel;95;3;Planta 3ª exterior con ascensor;/inmueble/108175111/;"
Piso en urbanización privada de 95m2, consta de tres dormitorios, amplio salón comedor, cocina amueblada y equipada y dos cuartos de baño completos. La vivienda dispone de calefacción individual de gas natural, aire acondicionado, armarios empotrados, se entrega sin amueblar y recién pintada.
Gastos de comunidad, plaz
";carabanchel
1.400;Estudio en Calle Zújar Comillas;;48;;/inmueble/109015648/;"
¡Bienvenido a tu nuevo y acogedor estudio en Opañel, Madrid! Esta propiedad está completamente amueblada y equipada con aire acondicionado individual, lavadora y televisión para que te entretengas. La cocina está completamente equipada, lista para que prepares tus platos favoritos. Todos los gastos, incluyendo luz, agu
";carabanchel
1.390;Piso en Calle San Delfín Comillas;97;3;Planta 3ª exterior con ascensor;/inmueble/108962801/;"
Piso de 95m2. Consta de tres dormitorios, salón comedor, dos cuartos de baño (uno de ellos en suite), cocina amueblada y equipada.
La vivienda es exterior. Dispone de calefacción central de gas natural, incluida en el precio. Se entrega semi amueblado.
La finca cuenta con conserje y dos ascensores.
Está muy cercano a
";carabanchel
1.500;Piso en Calle del Radio Opañel;65;1; con ascensor;/inmueble/109023029/;"
Un apartamento muy elegante en un barrio típico de Madrid y a 20 minutos en metro del Centro. El apartamento es bastante luminoso y acogedor, y tiene un balcón cubierto. Lo encontrarás en Carabanchel, un barrio residencial tranquilo con mucho sabor verde y local. El parque de San Isidro, sede de las infames celebracion
";carabanchel
1.560;Piso en Calle San Delfín 4;85;2;Planta 2ª exterior con ascensor;/inmueble/108128461/;"
¡NO ESPERES A QUE LO ALQUILEN! HAZ TU PRERESERVA POR 500€ Y GANA PRIORIDAD.
REALIZAMOS VISITAS VIRTUALES PARA QUE PUEDAS VER CIENTOS DE PROPIEDADES A DISTANCIA, ¡LO QUE AHORRARA TIEMPO Y DINERO!
YOUHOMEY es una plataforma de alquiler en línea que permite a los inquilinos reservar propiedades de forma instantánea y se
";carabanchel
