precio,localidad,tamanio,habitaciones,descripcion,link,descripcion_larga,distrito
299.000,Piso en Calle de los Morales Pau de Carabanchel,60,1,Planta 3ª exterior con ascensor,/inmueble/107754936/,"
Gilmar Madrid Rio, presenta esta vivienda en altura, ubicada en el barrio de Carabanchel en Madrid, es una excelente oportunidad para aquellos que buscan invertir en una propiedad con un gran potencial de rentabilidad. Con una construcción del año 2005, se encuentra en un estado de conservación impecable.
El piso cuen
",carabanchel
267.500,Piso en Calle del Peso Hispano Pau de Carabanchel,65,1,Planta 3ª exterior con ascensor,/inmueble/108768042/,"
Mr. House Real Estate vende FANTÁSTICO APARTAMENTO en la mejor zona del PAU de Carabanchel ¡CON HONORARIOS INCLUIDOS EN PRECIO!
En esta ocasión Mr. House Real Este te ofrece un magnífico apartamento frente al CC Isla Azul. Se trata de un piso de unos 40m2 útiles distribuidos en 1 dormitorio, baño completo, salón-comed
",carabanchel
195.000,Piso en Calle Alférez Juan Usera San Isidro,57,2,Planta 1ª exterior sin ascensor,/inmueble/109251867/,"
CONTACTAR CON EXTENSIÓN Nº2
Acogedor piso de 2 habitaciones en San Isidro – Ideal para inversión o vivienda propia
Se vende piso en la calle Alférez Juan Usera, en el consolidado barrio de San Isidro (Carabanchel, Madrid). Una zona con gran proyección y perfectamente comunicada gracias a su cercanía a la Línea 5 de M
",carabanchel
350.000,Piso en Avenida de Oporto Abrantes,74,3,Bajo exterior sin ascensor,/inmueble/109244778/,"
CONTACTAR CON EXTENSIÓN Nº2
Oportunidad de Inversión en Madrid – Rentabilidad 7%
Se vende vivienda totalmente reformada de 74 m² construidos, distribuida en 3 estudios independientes, cada uno con su propia cocina, baño completo y ventana al exterior con buena luz natural.
Actualmente alquilado con una renta mensual
",carabanchel
540.000,Dúplex en Calle del Doctor Espina Opañel,127,1,Bajo exterior con ascensor,/inmueble/108304652/,"
Este piso tiene mucha historia, ya que eran las antiguas cristalerías Oporto. El propietario actual, cuando era niño, se pasaba horas jugando aquí con sus amigos. Es increíble los pasados que pueden tener los pisos, todo lo que esconden. En este caso, una historia llena de cariño, tradición y familiaridad.
 
Este pis
",carabanchel
349.000,Piso en Calle de la Oca Vista Alegre,91,3,Planta 4ª exterior con ascensor,/inmueble/109250373/,"
Globalpiso Carabanchel Vista Alegre ofrece en exclusiva un magnífico piso en 4º planta con ascensor con una superficie de 91m2. La vivienda destaca por su luminoso salón con acceso a una terraza abierta ideal para disfrutar del aire libre, cuenta con tres dormitorios cómodos y versátiles el principal con salida a terra
",carabanchel
375.000,Piso en Calle Francisco Romero Puerta Bonita,137,4,Planta 1ª exterior con ascensor,/inmueble/108294176/,"
CONTACTAR CON EXTENSIÓN 2,
Oferta sujeta a condiciones de compra. Consulte los términos y condiciones aplicables
Estupendo y amplio piso en venta con una superficie construida de 137 metros y 118 útiles.
Inmueble con muchas posibilidades de reforma, consta de origen de cuatro dormitorios y dos baños.
Todo el piso e
",carabanchel
395.500,Ático en de Pedro Díez 7,69,1,Planta 3ª exterior con ascensor,/inmueble/109168129/,"
¡ÚLTIMOS 2 ÁTICOS DISPONIBLES!
San Isidro Río está ubicado en la Avenida de Pedro Díez 7, junto a Madrid Río, un entorno que combina naturaleza, cultura y acceso privilegiado a la ciudad a través de la M30 y General Ricardos. En esta promoción, encontrarás viviendas de 1, 2 y 3 dormitorios, con cocina amueblada ideale
",carabanchel
215.000,Piso en Calle Dolores Armengot Vista Alegre,66,2,Planta 2ª exterior sin ascensor,/inmueble/107486203/,"
CONTACTAR CON EXTENSIÓN Nº2
Contacta con la extensión nº 2 para obtener más información.
Piso en venta en el barrio Vista alegre de Carabanchel, construido el año 1963 y ubicado en la segunda planta del edificio, dispone de 66 metros construidos, distribuidos en:
-2 habitaciones
-1 baño completo
-1 salón
-1 cocina
",carabanchel
599.500,Piso en de Pedro Díez 7,96,2,Planta 4ª exterior con ascensor,/inmueble/107847783/,"
¡ÚLTIMOS 2 ÁTICOS DISPONIBLES!
San Isidro Río está ubicado en la Avenida de Pedro Díez 7, junto a Madrid Río, un entorno que combina naturaleza, cultura y acceso privilegiado a la ciudad a través de la M30 y General Ricardos. En esta promoción, encontrarás viviendas de 1, 2 y 3 dormitorios, con cocina amueblada ideale
",carabanchel
125.000,Piso en Calle Arroyo de las Pavas San Isidro,55,1,Bajo sin ascensor,/inmueble/107592410/,"
CONTACTAR CON EXTENSIÓN Nº2
Oferta sujeta a condiciones de compra. Consulte los términos y condiciones aplicables.
¡CONTACTA CON LA EXTENSIÓN Nº 2 PARA OBTENER MÁS INFORMACIÓN O PARA ORGANIZAR UNA VISITA!
Oportunidad en Calle Arroyo de las Pavas
Este local distribuido en dos plantas destaca por su amplitud y excele
",carabanchel
238.000,Piso en Calle del Chimbo Abrantes,90,3,Planta 3ª exterior sin ascensor,/inmueble/108902826/,"
CONTACTAR CON EXTENSIÓN Nº1
Oportunidad en Abrantes: piso exterior con ventilación cruzada y excelente ubicación
Se vende fantástico piso en la Calle Chimbo, próximo al metro de Abrantes, en una de las zonas más dinámicas y bien comunicadas de Madrid. La vivienda cuenta con una superficie construida de 90 m², muy bie
",carabanchel
450.000,Piso en Calle de Santa Saturnina San Isidro,111,3,Planta 2ª exterior con ascensor,/inmueble/108973839/,"
CONTACTAR CON EXTENSIÓN Nº1
Piso en venta en San Isidro-Madrid Rio, perteneciente al barrio de Carabanchel, Madrid
Exterior, en buen estado aunque requiere alguna actualización, terraza y vistas a Madrid Rio
Descubre este magnífico piso situado en una de las zonas más agradables, consolidadas y mejor comunicadas de M
",carabanchel
280.000,Piso en Calle de Aceuchal Vista Alegre,81,3,Planta 1ª exterior sin ascensor,/inmueble/108700086/,"
CONTACTAR CON EXTENSIÓN Nº2
Oportunidad en Vista Alegre: Piso de 3 dormitorios listo para entrar a vivir.
Se vende estupendo piso en el barrio de Vista Alegre, una opción ideal tanto como vivienda habitual como para inversión gracias a su excelente ubicación y características.
La vivienda, situada en una primera pla
",carabanchel
169.000,Piso en Calle Guacamayo Vista Alegre,46,2,Planta 1ª exterior sin ascensor,/inmueble/108307603/,"
CONTACTAR CON EXTENSIÓN Nº2
Piso en venta junto al Metro de Vista Alegre – Inversión con rentabilidad garantizada
Fantástica oportunidad de inversión en Carabanchel, ubicado a pocos pasos del Metro Vista Alegre (Línea 5), en una zona bien comunicada y con todos los servicios a mano: supermercados, colegios, centros d
",carabanchel
248.712,Piso en Via Carpetana Vista Alegre,75,2,Bajo exterior sin ascensor,/inmueble/108512121/,"
Piso reformado de 70 m² con 2 dormitorios en Vista Alegre – Carabanchel
En trámite de cambio de uso
Descubre esta acogedora vivienda de 70 m² recientemente reformada, ideal tanto para vivir como para invertir. Se distribuye en dos dormitorios luminosos, un baño moderno y una cocina completamente equipada, perfecta par
",carabanchel
412.000,Piso en Avenida de Nuestra Señora de Fátima Vista Alegre,90,3,Planta 7ª exterior con ascensor,/inmueble/108685905/,"
 VENTA GARANTIZADA – ¡Tu próximo hogar te espera en Avenida Nuestra Señora de Fátima!
Alquiler Protegido – Real Estate ofrece en exclusiva esta luminosa vivienda de 3 dormitorios, ubicada en una de las zonas más consolidadas y tranquilas de Madrid.
 Dirección: Avenida Nuestra Señora de Fátima, Madrid
 Característi
",carabanchel
340.000,Ático en Calle Bruno García Vista Alegre,98,2,Planta 3ª exterior sin ascensor,/inmueble/108884167/,"
Exclusivo Ático Dúplex de 1 Habitación (antes dos habitaciones) y dos baños con Terraza en el Corazón de Carabanchel
Para mas información contactar con Carlos Nastasia al 695_190_289 ( también se atiende por whatsapp).
Presentamos esta espectacular vivienda tipo ático dúplex, ideal para quienes buscan amplitud, comod
",carabanchel
310.000,Piso en Calle de Guadalete Comillas,60,2,Planta 5ª exterior con ascensor,/inmueble/109055916/,"
BSG Real Estate ofrece en exclusiva esta vivienda exterior para reformar de 60 m², distribuida en:
2 dormitorios
Salón comedor con salida a balcón
Cocina independiente con acceso a galería
1 baño completo
Es una quinta planta exterior con ascensor, muy luminosa y con vistas despejadas. El piso necesita reforma, pe
",carabanchel
515.000,Ático en Calle Valentín Llaguno San Isidro,132,2,Planta 3ª exterior con ascensor,/inmueble/108094834/,"
OCA servicios inmobiliarios, pone a la venta este hermoso y muy luminoso ático de, OBRA NUEVA con una fachada moderna con materiales de alta calidad, disfruta de las ventajas que ofrece esta increíble vivienda, con un amplio salón que da a una terraza ideal para disfrutar del buen tiempo.
Características de la vivien
",carabanchel
515.000,Ático en Calle Valentín Llaguno San Isidro,130,3,Planta 3ª exterior con ascensor,/inmueble/108093703/,"
OCA servicios inmobiliarios, pone a la venta este hermoso y muy luminoso ático de obra nueva con una fachada moderna con materiales de alta calidad, disfruta de las ventajas que ofrece esta increíble vivienda.
Ubicado a tan solo 10 min del centro, cerca del metro de oporto linea 5 de metro, diversos autobuses, colegio
",carabanchel
175.000,Piso en Calle Abolengo Vista Alegre,61,1,Bajo exterior sin ascensor,/inmueble/106271003/,"
A la venta antiguo local diáfano reformado en VIVIENDA ( cambio de uso en tramite ), en una EXCELENTE zona en el barrio de Vista alegre.
61m2, un baño, disponible para que lo decores y distribuyas a tu gusto, ideal tanto para vivir como para invertir muy bien comunicado, el metro de Vista alegre a solo 3 min, ahorrama
",carabanchel
350.000,Piso en Calle de Albox Puerta Bonita,100,3,Planta 1ª exterior con ascensor,/inmueble/107401341/,"
ALTOR ASESORES ofrece piso se encuentra en una de las zonas más exclusivas de Carabanchel, en plena avenida de Los Poblados, ofreciendo una ubicación privilegiada y un entorno residencial de gran calidad. La propiedad, que destaca por su amplitud y excelente distribución, cuenta con tres habitaciones luminosas.
Dispon
",carabanchel
1.590.000,Casa o chalet independiente en Calle de Eugenia de Montijo s/n,335,8,,/inmueble/108331542/,"
¡Oportunidad única en la zona de Puerta Bonita! Se vende chalet independiente con una superficie construida de 335 m² sobre una generosa parcela de 539 m², ideal para quienes buscan espacio, luminosidad y la posibilidad de diseñar su hogar a medida.
La vivienda cuenta con una habitación doble y siete habitaciones senc
",carabanchel
218.000,Piso en Calle Alfaro Vista Alegre,70,3,Planta 5ª interior sin ascensor,/inmueble/108766727/,"
¡ESTUPENDO PISO EN VENTA EN VISTA ALEGRE – CARABANCHEL!
Oca Servicios Inmobiliarios tiene el placer de ofrecer este magnífico piso en venta, ubicado en una de las zonas más consolidadas y con mayor proyección de Carabanchel: Vista Alegre.
Ideal tanto para familias como para inversores, esta vivienda representa una ex
",carabanchel
319.000,Piso en Via Lusitana Abrantes,114,3,Planta 1ª exterior con ascensor,/inmueble/107839140/,"
MASTERPISO vende piso en Vía Lusitana, Avenida de los poblados, Abrantes, Madrid, planta 1º, con 2 Ascensores, acceso personas con movilidad reducida, 114m2 construidos, 105m2 útiles, 3 habitaciones(Antes 4) hall, cocina con terraza cerrada, 2 baños completos, gran salón de paso con terraza incorporada, piso exterior y
",carabanchel
295.000,Piso en Abrantes Madrid,77,3,Planta 2ª exterior con ascensor,/inmueble/108663817/,"
¡Oportunidad única!
Se Vende magnifico piso completamente reformado, distribuido en un amplio salón-comedor con gran mirador que aporta abundante luz natural, cocina independiente totalmente equipada con acceso a terraza-tendedero, tres dormitorios y un baño con ventana exterior.
La vivienda cuenta con calefacción y ai
",carabanchel
189.000,Piso en Puerta Bonita Madrid,66,2,Planta 2ª exterior sin ascensor,/inmueble/108526590/,"
Gilmar Madrid Rio vende en el corazón del barrio de Puerta Bonita, (ESPECIAL INVERSORES - VIVIENDA ALQUILADA) en el distrito de Carabanchel, este encantador piso en altura que destaca por su doble orientación, excelentes vistas y una distribución funcional que aprovecha al máximo cada rincón de sus 66 m² construidos. C
",carabanchel
399.999,Piso en Calle de Zaida San Isidro,83,3,Planta 3ª exterior con ascensor,/inmueble/108155164/,"
**¡Oportunidad de Venta en San Isidro, Carabanchel! **
Alquiler Protegido Real Estate presenta en exclusiva este luminoso y semi-nuevo piso de 3 dormitorios y 2 baños, con plaza de garaje opcional por 15.000€ más.
En Carabanchel, se vende piso en finca moderna con 3 dormitorios y 2 baños completos junto a sala de En
",carabanchel
560.000,Chalet adosado en Calle de Cintra Abrantes,152,4,,/inmueble/108902973/,"
Tendrás que leer y releer este anuncio varias veces. Una casa así es difícil de encontrar en pleno Madrid. Vivir como en un pueblo? Si. A 6 paradas del metro plaza españa? . Si
Se trata de la antigua colonia Abrantes, rodeada de árboles, pájaros, grillos y silencio, con calles peatonales. Ubicada a 50 metros de metro
",carabanchel
249.000,Piso en CL Fernando Diaz De Mendoza Comillas,63,3,Planta 2ª exterior sin ascensor,/inmueble/108497457/,"
¡Descubre tu nuevo hogar en el encantador barrio de Comillas! Este acogedor piso de 63 m² construidos es perfecto para quienes buscan un espacio cómodo y bien ubicado. Con tres dormitorios y un baño, esta vivienda. Situado en una segunda planta, disfrutarás de una luminosidad excepcional gracias a su orientación Sur-Oe
",carabanchel
168.000,Piso en Calle CL Amistad Vista Alegre,41,1,Planta 1ª exterior con ascensor,/inmueble/109253301/,"
**Piso en Venta en Madrid - Ideal para Inversores y Parejas**
Descubre este acogedor piso de 41 m² en la primera planta de un edificio construido en 2005, ubicado en una zona vibrante de Madrid. Con un salón-comedor luminoso y una cocina funcional, este espacio es perfecto para disfrutar de momentos inolvidables. El d
",carabanchel
220.000,Piso en Calle del Espinar Vista Alegre,80,2,Bajo exterior con ascensor,/inmueble/107890973/,"
¡URGE VENTA! MAGNÍFICA VIVIENDA EN PLANTA BAJA CON PATIO EN VISTA ALEGRE!
Antilla Grupo Inmobiliario presenta esta estupenda oportunidad de vivir o invertir en una de las zonas más demandadas de Carabanchel, en el barrio de Vista Alegre.
La vivienda, con cambio de uso a vivienda ya realizado y legalizado, cuenta con
",carabanchel
225.000,Piso en Abrantes Madrid,62,2,Bajo exterior sin ascensor,/inmueble/108516554/,"
NUEVA EXPANSION vende estupenda vivienda en planta baja, ubicada en una de las principales arterias del barrio de Carabanchel: la Avenida Vía Lusitana, a pocos pasos del Parque de la Emperatriz María de Austria, un gran pulmón verde con zonas infantiles, instalaciones deportivas y amplios espacios de ocio para disfruta
",carabanchel
284.500,Piso en Vista Alegre Madrid,61,2,Planta 2ª exterior sin ascensor,/inmueble/108711324/,"
Entre Vista Alegre y Carabanchel se sitúa esta vivienda única. Y no lo decimos por decir. Hay hogares que nacen de un plano.. . y otros que se transforman con alma. Este piso fue uno de esos: un lienzo en blanco que su dueño reinventó con mimo, pensando en disfrutar de cada rincón como si fuera el último.
Imagina empe
",carabanchel
320.000,Piso en Calle de Tinamús Opañel,86,3,Planta 1ª exterior con ascensor,/inmueble/100319170/,"
¡Descubre tu nuevo hogar en Opañel! Este encantador piso de 3 dormitorios y 1 baño, ubicado en la primera planta de una urbanización con ascensor, ofrece un espacio ideal para disfrutar en familia. Con una superficie construida de 86 m², cuenta con una amplia cocina donde podrás compartir momentos alrededor de una mesa
",carabanchel
180.000,Piso en Calle Alondra Vista Alegre,44,1,Bajo exterior sin ascensor,/inmueble/108704372/,"
Se ofrece este funcional piso recientemente reformado, ideal para quienes buscan comodidad y eficiencia. Ubicado en planta baja con acceso directo desde la calle y accesible para personas con movilidad reducida, este espacio está diseñado para aprovechar al máximo cada metro, con un salón con cocina americana, baño y u
",carabanchel
125.000,Piso en Calle Julia Nebot Vista Alegre,30,2,Bajo exterior sin ascensor,/inmueble/109126829/,"
GLOBALPISO CARABANCHEL VISTA ALEGRE vende en exclusiva local convertido en vivienda de 30 m2 distribuidos en salón con cocina americana, 2 dormitorios, cocina amueblada y equipada, baño con plato de ducha y ventana, cuenta también con un pequeño trastero, es exterior y luminoso. Excelente zona con todos los servicios m
",carabanchel
240.000,Piso en Calle Gómez de Arteche Buena Vista,80,3,Planta 4ª exterior sin ascensor,/inmueble/109243537/,"
La empresa DG Real Estate, VENDE en exclusiva, este MAGNÍFICO PISO con TERRAZA en la zona de Buena Vista.
La vivienda consta de 80 metros cuadrados distribuidos en:
Hall de entrada que da acceso al pasillo distribuidor ya que ninguna de las estancias de la vivienda es de paso.
El SALÓN, un espacio increíble para pod
",carabanchel
236.000,Piso en Calle de San Dámaso San Isidro,83,3,Planta 2ª exterior sin ascensor,/inmueble/109245041/,"
OPORTUNIDAD DE INVERSIÓN - INMUEBLE PROCEDENTE DE EJECUCIÓN HIPOTECARIA!
Imposibilidad de visita interior.
Las fotografías pueden no corresponderse con el estado actual del inmueble.
El precio del inmueble ha sido fijado en atención a que el inmueble se adquiera por el comprador en estado de ocupado por lo que no ap
",carabanchel
498.000,Piso en Calle de Antonio de Leyva Opañel,138,3,Planta 2ª exterior con ascensor,/inmueble/109254177/,"
Espectacular piso exterior de 138 m², situado a escasos metros uno de los parques mas reconocidos como de Madrid como es Madrid Rio y uno de los puentes históricos de la Comunidad de Madrid como es el Puente de Toledo.
La vivienda ubicado en la segunda planta de una buena finca, con una distribución magnífica y un sin
",carabanchel
240.000,Piso en Calle de la Hermandad Abrantes,75,3,Planta 2ª exterior sin ascensor,/inmueble/109251453/,"
NovoHogar inmobiiaria pone a su disposicion OPORTUNIDAD unica, vivienda en la castizo barrio de Carabanchel, este inmueble destaca por su luminosidad y distribucion, el piso cuenta con 3 habitaciones, 1 baño completo, calefaccion individual, aire acondicionado y suelo de parquet con 1 terraza y un balcon.
Si necesitan
",carabanchel
499.999,Piso en Calle Piña Buena Vista,90,3,Bajo interior sin ascensor,/inmueble/109245809/,"
PISO AZUL INMOBILIARIA VENDE PRECIOSO PISO REFORMADO BUENA VISTA CARABANCHEL, La vivienda se encuentra dentro de urbanizacion privada y tranquila al alcance de todos los servicios con bus a pocos metros de la vivienda, la vivienda consta de salon con una impresionante cocina americana amueblada y con gran espacio dando
",carabanchel
320.000,Piso en Avenida de Carabanchel Alto Buena Vista,53,1,Planta 1ª exterior con ascensor,/inmueble/108246916/,"
Inmobiliaria Emmanuel
¡Descubre tu nuevo hogar en el corazón de Carabanchel Alto! Este moderno apartamento, situado en la Avenida de Carabanchel Alto, 21, te ofrece un espacio acogedor y luminoso de 56 m². Con un dormitorio exterior y un salón-comedor de aproximadamente 17 m² con mirador, disfrutarás de una orientació
",carabanchel
350.400,Piso en Alfredo Aleix 15,105,3,Planta 1ª exterior con ascensor,/inmueble/105850907/,"
Pronto se levantará una nueva joya arquitectónica en esta vibrante comunidad. Este residencial de 9 viviendas en régimen de cooperativa libre está diseñado para ofrecerte el máximo confort y calidad de vida.
Con opciones de 1 y 3 dormitorios, cada espacio ha sido meticulosamente planificado para adaptarse a tus necesi
",carabanchel
256.000,Piso en Alfredo Aleix 15,73,2,Bajo exterior con ascensor,/inmueble/105850815/,"
Pronto se levantará una nueva joya arquitectónica en esta vibrante comunidad. Este residencial de 9 viviendas en régimen de cooperativa libre está diseñado para ofrecerte el máximo confort y calidad de vida.
Con opciones de 1 y 3 dormitorios, cada espacio ha sido meticulosamente planificado para adaptarse a tus necesi
",carabanchel
359.600,Piso en Alfredo Aleix 15,100,3,Planta 3ª exterior con ascensor,/inmueble/105850902/,"
Pronto se levantará una nueva joya arquitectónica en esta vibrante comunidad. Este residencial de 9 viviendas en régimen de cooperativa libre está diseñado para ofrecerte el máximo confort y calidad de vida.
Con opciones de 1 y 3 dormitorios, cada espacio ha sido meticulosamente planificado para adaptarse a tus necesi
",carabanchel
176.000,Piso en Calle de Alfonso Martínez Conde 9,49,1,Planta 2ª exterior sin ascensor,/inmueble/109241753/,"
**** SIN COMISIONES *** Activo en venta flash ***
EHABITAR VENDE PISO: Piso de 49 m² ubicado en Carabanchel, Madrid.
Se trata de un piso de 49 m² distribuidos en salón-comedor, cocina, 1 dormitorio y 1 baño.
La vivienda se encuentra en el barrio de Carabanchel, una zona consolidada de Madrid que destaca por su ambi
",carabanchel
180.000,Estudio en Calle Parador del Sol Comillas,Planta,51,,/inmueble/108786398/,"
***¡LUMINOSO ESTUDIO JUNTO A MADRID RÍO! ***
Pegado a la calle Antonio López y a Madrid Río, este amplio y bien iluminado estudio cuenta con una magnífica ubicación y está muy bien comunicado gracias a la proximidad de la estación de Metro de Marqués de Vadillo (línea 5) y de varias líneas de autobús EMT. Además, está
",carabanchel
380.000,Piso en Piqueñas 7,107,3,Planta 1ª exterior con ascensor,/inmueble/108582964/,"
VENTA DIRECTA PROMOTORA fundada en 1973. OBRAS EMPEZADAS. Estrena vivienda en Madrid. 29 viviendas de obra nueva en un entorno consolidado con todos los servicios y comunicaciones: hospitales, centros de salud, colegios, supermercados, centros deportivos, centros comerciales, etc. Cercano a las estaciones de Metro de L
",carabanchel
360.000,Ático en Piqueñas 7,106,2,Planta 3ª exterior con ascensor,/inmueble/107993299/,"
VENTA DIRECTA PROMOTORA fundada en 1973. OBRAS EMPEZADAS. Estrena vivienda en Madrid. 29 viviendas de obra nueva en un entorno consolidado con todos los servicios y comunicaciones: hospitales, centros de salud, colegios, supermercados, centros deportivos, centros comerciales, etc. Cercano a las estaciones de Metro de L
",carabanchel
335.000,Piso en Avenida de Oporto Opañel,112,4,Entreplanta exterior con ascensor,/inmueble/108213721/,"
CAPITAL HOME VENDE ESPECTACULAR PISO EN AVENIDA DEOPORTO, ZONA CARABANCHEL; Cerca de todo tipo de servicios como centro de salud, supermercados, farmacias, etc. A solo 2 minutos de la autovía A-42, con enlace cercano a la M-30, y a solo dos minutos andando de la parada de metro OPAÑEL.
La vivienda consta de 4 dormitor
",carabanchel
235.000,Piso en Calle de Belzunegui 50,70,3,Planta 3ª exterior con ascensor,/inmueble/107772514/,"
POSIBILIDAD DE FINANCIACION 100%. DEPARTAMENTO FINANCIERO PROPIO.
Piso En Carabanchel de 3 dormitorios, 1 baño, salón y cocina. 70m2 construidos. PARA ENTRAR A VIVIR! COMPLETAMENTE REFORMADO! Piso en TERCERA PLANTA CON ASCENSOR!  
EXCELENTES CALIDADES DE CONSERVACION. Reforma integral hace 3 años. Cambio de instalaci
",carabanchel
249.900,Piso en Calle de Belzunegui Puerta Bonita,106,3,Planta 7ª exterior con ascensor,/inmueble/108961048/,"
Descubre este espacioso piso de 106 m² en el corazón de Puerta Bonita.
Con 3 dormitorios y 2 baños, esta vivienda es ideal para familias que buscan personalizar su hogar. Aunque requiere reforma, ofrece un potencial increíble con una terraza exterior y armarios empotrados que añaden funcionalidad. La cocina está equi
",carabanchel
365.000,Piso en Calle de Antonio López Comillas,78,3,Planta 10ª interior con ascensor,/inmueble/108685852/,"
Piso de 78 m2 a reformar interior a patio amplio de manzana muy luminoso con vistas panorámicas en finca con ascensor junto a Madrid Río.
La vivienda, que se encuentra para reformar con diferentes opciones de redistribución de estancias debido a su tabiquería, cuenta con una distribución muy funcional con 3 dormitori
",carabanchel
249.000,Piso en Calle de Ancíu Puerta Bonita,110,4,Planta 9ª exterior con ascensor,/inmueble/109215666/,"
 LINKCASA SERVICIOS INMOBILIARIOS VENDE MAGNÍFICO PISO EXTERIOR CON ASCENSOR EN PAN BENDITO
¡Oportunidad única! Piso de 110 m² (según Catastro), completamente exterior, muy luminoso y ubicado a solo 1 minuto andando del metro Pan Bendito (Línea 11) y muy próximo a Avenida de los Poblados.
 DISTRIBUCIÓN:
Hall de e
",carabanchel
269.000,Piso en Calle de la Oca Vista Alegre,59,2,Planta 2ª interior con ascensor,/inmueble/109090814/,"
VOhome Propiedades Carabanchel vende, piso en segunda planta con ascensor en inmejorable ubicación. ubicado en la calle de la Oca, en pleno barrio de Carabanchel, junto al Metro Vista Alegre (Línea 5).
La vivienda se distribuye en: salón-comedor, 2 dormitorios, cocina amueblada y equipada, 1 baño y terraza. Dispone de
",carabanchel
179.000,Piso en Calle del Aguacate Buena Vista,72,2,Planta 1ª exterior sin ascensor,/inmueble/107853690/,"
La empresa DG Real Estate, VENDE EN EXCLUSIVA este magnífico piso en la zona de CARABANCHEL.
La vivienda dispone de 72 m2 distribuidos en:
El SALÓN cuenta con espacio para zona de comedor y de estar, muy luminoso gracias a la buena orientación que tiene y el gran ventanal. Dispone de AIRE ACONDICIONADO con bomba de c
",carabanchel
145.000,Piso en Comillas Madrid,36,1,Entreplanta exterior sin ascensor,/inmueble/109237166/,"
REDPISO COMILLAS VENDE: OPORTUNIDAD DE INVERSIÓN.
Piso compuesto por cuatro estancias: dormitorio independiente, salón, cocina y baño. Dispone de 36m2, vivienda exterior en entreplanta. Finca en buen estado de conservación, tranquila y con pocos vecinos.
Actualmente cuenta con suelos de gres y carpintería exterior de
",carabanchel
