precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
1.275;Piso en Calle de San Buenaventura Palacio;45;2;Bajo interior sin ascensor;/inmueble/107380908/;"
Políticas del Propietario Método de pago: transferencia bancaria, tarjeta de crédito, PayPal, efectivo.
Check-in: en el apartamento.
Check-out: El coste de la limpieza de salida se descontará de la fianza.
Documentos requeridos: DNI / Pasaporte
Para autónomos: Última declaración de la renta
Para estudiantes: Carta de
";centro
1.750;Piso en Calle San Bernardo 83;79;1;Planta 5ª exterior con ascensor;/inmueble/2091917/;"
Piso de 79 m2, reformado, totalmente amueblado. Consta de 1 dormitorio con armarios empotrados y pequeño escritorio, amplio salón comedor. 2 televisores de 40´ (salón) y 19´(dormitorio). Sofá cama de 1,45 x 2,00m, baño y cocina independiente, electrodomésticos (incluido lavavajillas), todo lujo de detalles. No se admit
";centro
2.700;Piso en Calle de Monteleón 10;96;2;Planta 3ª exterior con ascensor;/inmueble/105945141/;"
Disponible 16 Septiembre a Junio 2026
Este espectacular piso de 2 dormitorios y 2 baños en suite, ubicado en la calle Monteleón, es ideal para aquellos que buscan comodidad y estilo en pleno centro de Madrid. La vivienda está completamente amueblada, cuenta con una distribución moderna y funcional: una cocina americana
";centro
4.246;Piso en Calle del Conde de Romanones Lavapiés-Embajadores;189;3;Planta 4ª exterior con ascensor;/inmueble/108424751/;"
¡Consulta disponibilidad! Contacta para más información
¡Ideal para estancias temporales con todas las comodidades incluidas!
Precios ajustables según la duración de la estancia: LOS PRECIOS INDICADOS CORRESPONDEN A ESTANCIAS DE 12 MESES O MÁS Y PUEDEN VARIAR SEGÚN LA TEMPORADA.
Descuento para estancias largas. ¡C
";centro
3.000;Piso en Plaza de Santa Ana Huertas-Cortes;146;3;Planta 3ª exterior con ascensor;/inmueble/93704364/;"
Fantástico piso exterior de 146 metros completamente amueblado con la vista más espectacular de la Plaza de Santa Ana, en pleno corazón del Barrio de las Letras de Madrid.
El inmueble consta de un luminoso y gran salón con dos balcones al mismo centro de la Plaza de Santa Ana, tres dormitorios completamente equipados
";centro
1.250;Piso en CL Montera 45;49;1;Planta 4ª interior con ascensor;/inmueble/109032118/;"
**Piso en Alquiler en el Corazón de Madrid - C/ Montera**
¡Descubre tu nuevo hogar en pleno centro de Madrid! Este encantador piso de 49 m², ubicado en la C/ Montera casi esquina con C/ Gran Vía, te ofrece la combinación perfecta de comodidad y ubicación. A solo unos pasos de la parada de metro Gran Vía, tendrás acces
";centro
3.000;Piso en Calle de San Bartolomé Chueca-Justicia;135;2;Planta 2ª exterior con ascensor;/inmueble/109250592/;"
Home Select alquila piso amueblado, reformado y exterior a escasos metros del Mercado de San Anton!
**DISPONIBLE DESDE EL 21 DE OCTUBRE**
Ubicacion,
Este piso se sitúa en el elegante barrio de Justicia, una de las zonas más demandadas de la ciudad por su modernidad y céntrica localización. Sus calles conservar un inm
";centro
1.499;Piso en Calle de Santa Cruz de Marcenado Malasaña-Universidad;71;1;Planta 6ª exterior con ascensor;/inmueble/108876396/;"
VIDEO DISPONIBLE! Piso exterior y completamente amueblado a estrenar.
Muy bien comunicado, a 4 minutos andando de la estación de Metro “Ventura Rodríguez”
Se distribuye: hall de entrada, salón comedor con acceso a gran terraza cubierta, cocina completamente amueblada y con electrodomésticos a estrenar, un dormitorio do
";centro
1.550;Piso en Cerca de Cente C. de Jesús y María;85;3;Planta 3ª interior con ascensor;/inmueble/109250448/;;centro
1.650;Dúplex en Lavapiés-Embajadores Madrid;95;2;Planta 3ª exterior con ascensor;/inmueble/37918282/;"
DIRECTAMENTE LA PROPIEDAD. ABSTENERSE AGENCIAS. Centro de Madrid. Finca de reciente construcción con ascensor. Un oasis de luz y tranquilidad en el barrio más atractivo de Madrid gracias a su gran oferta cultural.
BONITO Y LUMINOSO DUPLEX AMUEBLADO de 2 dormitorios con vistas a un precioso jardín interior. Gastos de c
";centro
