precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
1.450;Piso en Calle de Antonio Pérez El Viso;55;2;Bajo exterior sin ascensor;/inmueble/109262463/;"
REDPISO PROSPERIDAD - EL VISO ALQUILA VIVIENDA EN CALLE ANTONIO PÉREZ Se alquila estupenda ENTREPLANTA situada en Calle Antonio Pérez, en una excelente zona del distrito de Chamartín (Madrid). Características del inmueble: 2 dormitorios, Salón-comedor amplio y luminoso, Cocina americana equipada, 1 baño completo Ubicad
";chamartin
1.850;Piso en Calle de Henri Dunant Nueva España;75;1;Planta 3ª exterior con ascensor;/inmueble/107090619/;"
Fantástico apartamento exterior en el Distrito de Chamartín.
Nuevo Mundo presenta este formidable piso de un dormitorio, totalmente exterior de 75 m2, localizado en una de las calles más privilegiadas de Madrid.
La vivienda ofrece una magnifica distribución. El hall de entrada, con un gran armario empotrado, da paso a
";chamartin
6.000;Piso en El Viso Madrid;210;4;Planta 14ª exterior con ascensor;/inmueble/39030570/;"
AHOME ofrece espectacular piso, totalmente reformado, en una de las zonas más cotizadas de Madrid; el barrio de El Viso. Destaca por su luminosidad y sus impresionantes vistas. La vivienda cuenta con una superficie de 210m2 distribuidos en un hall de entrada que da paso a un gran salón comedor con grandes ventanales, c
";chamartin
1.250;Ático en Calle Fernández de Oviedo Madrid;78;1;Planta 3ª exterior sin ascensor;/inmueble/84033694/;"
Contactar por WhatsApp con el agente para cita
MODUS HOME PONE A SU DISPOSICIÓN ÁTICO EXTERIOR, REFORMADO A ESTRENAR, ZONA DE PROSPERIDAD Y ALFONSO XIII, CALEFACCIÓN Y AIRE ACONDICIONADO.
ALQUILER TEMPORAL
Se trata de una tercera planta, sin ascensor, de 78 metros construidos y 68 metros útiles. Totalmente reformad
";chamartin
1.700;Piso en Calle de Álvarez de Baena El Viso;49;1;Planta 2ª exterior con ascensor;/inmueble/104371472/;"
En una tercera planta exterior se encuentra este maravilloso piso amueblado de un dormitorio y un baño, situado en una ubicación inmejorable cerca del IE y varios puntos de transporte público, comercios y restaurantes.
Al entrar, el pasillo nos conduce al amplio salón con acceso a una gran terraza que llena el espacio
";chamartin
2.600;Piso en Calle de San Ramón Nonato Castilla;144;3;Planta 9ª exterior con ascensor;/inmueble/109078146/;"
ALQUILER TEMPORAL, ESTUDIANTES, TRES DORMITORIOS, AMUEBLADO, DOS BAÑOS, AMUEBLADO, NOVENA PLANTA CON ASCENSOR, MUY CERCA DE PLAZA CASTILLA, INCLUYE WIFI.
Se trata de una 9ª planta, con ascensor, de 144 metros construidos y 132 metros útiles, piso interior con vistas a patio de manzana con jardín.
A dos calles de Plaz
";chamartin
3.820;Piso en Avenida de Concha Espina Bernabéu-Hispanoamérica;10;2; sin ascensor;/inmueble/109259714/;"
Piso de 2 habitaciones amueblado en alquiler en Madrid.
";chamartin
4.600;Piso en El Viso Madrid;164;2;Planta 3ª exterior con ascensor;/inmueble/107602707/;"
Piso de 2 dormitorios en El Viso
Engel & Völkers presenta este espectacular piso de obra nueva, diseño del famoso arquitecto Joaquín Torres La vivienda se ofrece a estrenar, amueblada y equipada para entrar a vivir. Se trata de un piso exterior, muy luminoso, que se distribuye en hall de entrada, amplio salón comedor,
";chamartin
2.450;Estudio en Bernabéu-Hispanoamérica Madrid;Bajo;68;6 horas;/inmueble/109253625/;"
Activo Singular en Nueva España
- Se alquila local reformado a estrenar (55 m2/útiles), con jardín privado de 700 metros cuadrados aproximadamente.
- La reforma ha sido diseñada para permitir el uso para una vivienda con todas las comodidades, o para que se pueda adaptar como un local diáfano y que se pueda personali
";chamartin
1.450;Piso en El Viso Madrid;66;1;Planta 3ª exterior con ascensor;/inmueble/109242193/;"
Cómodo piso de 1 dormitorio en El Viso
Engel&Völkers presenta este luminoso apartamento de un dormitorio independiente que se ubica en la tercera planta de una finca moderna de 2010, en pleno barrio de El Viso.
La vivienda, con 66 m² construidos, dispone de una cocina totalmente equipada, integrada en un salón funcion
";chamartin
1.450;Estudio en El Viso Madrid;Bajo;53;6 horas;/inmueble/109252103/;"
La Inmobiliaria Internacional CPM tiene el placer de presentar este estupendo y luminoso estudio sin amueblar de 53 m2 y 1 habitación, situado junto al metro de Cruz del Rayo, que se distribuye de la siguiente manera:
Hall de entrada. Una cocina totalmente equipada, con todos los electrodomésticos incluidos. Un amplio
";chamartin
2.750;Piso en Calle del Príncipe de Vergara 211;75;2;Planta 7ª exterior con ascensor;/inmueble/109215434/;"
Alquiler temporal – Piso con terraza en Príncipe de Vergara 211, Madrid
Disponible en alquiler temporal este amplio y luminoso piso situado en una de las zonas más demandadas de Madrid, en la calle Príncipe de Vergara 211.
Distribución: 2 habitaciones dobles, 2 baños completos.
Espacios destacados: salón con salida
";chamartin
1.300;Piso en Calle de Mateo Inurria Nueva España;46;1;Planta 1ª exterior con ascensor;/inmueble/109258045/;"
PRECIOSO PISO, CON PISCINA, JARDIN, TERRAZA, PRECIOSAS VISTAS
Presentamos este precioso, piso, muy luminoso
el cual consta de
una habitación, un baño, salón y cocina totalmente equipada, piso sin amueblar.
cuenta además con Piscina, terraza, aire acondicionado
el piso cuenta con una excelente ubicación y comunicacio
";chamartin
