precio,localidad,tamanio,habitaciones,descripcion,link,descripcion_larga,distrito
1.830.000,Ático en Ciudad Jardín Madrid,189,2,Planta 7ª exterior con ascensor,/inmueble/108911794/,"
DE SALAS LUXURY HOMES Ref. MAV02855, presenta exclusivo ático de lujo con piscina privada en Ciudad Jardín.
MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA. CONSULTE EN NUESTRA PÁGINA WEB DE “De Salas”, PARA VER MÁS VIVIENDAS EN EXCLUSIVA.
Cuenta con un diseño único y funcional, disfrutando de una terraza perimetral con piscina privada e impresionantes vistas panorámicas. Goza de una gran privacidad, siendo la luz su principal protagonista, gracias a su diseño de concepto abierto al exterior.
En planta principal se encuentra un espec
",chamartin
750.000,Piso en Calle del Doctor Fleming Nueva España,74,2,Planta 1ª exterior con ascensor,/inmueble/108746092/,"
Ubicado en el prestigioso barrio de Nueva España, en Chamartín, este piso de 74 m² es una excelente oportunidad. La vivienda está en perfecto estado y lista para entrar a vivir. Cuenta con 2 dormitorios, 2 baños, cocina y un salón exterior que, gracias a su orientación, se inunda de luz natural. La luminosidad y la disposición exterior convierten a este piso en una auténtica joya por descubrir.
El edificio, construido en 1969, se encuentra en impecable estado de conservación y dispone de ascensor, calefacción central y aire acondicionado, gara
",chamartin
1.650.000,Piso en Calle de Triana Nueva España,181,2,Bajo exterior con ascensor,/inmueble/102043012/,"
AMBASSADOR pone a la venta este espectacular bajo con jardín, ubicado en una calle tranquila cercana al Paseo de la Habana.
Es una vivienda totalmente exterior con una reforma de interiorismo impecable y cuidada hasta el último detalle, tanto en domótica como en sus materiales y acabados de lujo.
Tiene muchísima luz, privacidad y vistas despejadas hacia el jardín dando la sensación de estar en un chalet.  
El hall de entrada nos conduce al amplio salón comedor, mas una zona de despacho, todo ello con un gran ventanal de lado a lado de la par
",chamartin
2.150.000,Piso en Calle de Jorge Manrique El Viso,176,1,Bajo exterior con ascensor,/inmueble/108122019/,"
AMBASSADOR ofrece este fantástico bajo con jardín orientado al sur. Situado en la calle Jorge Manrique, una de las mejores zonas de Madrid.
Son dos vecinos por planta; total, diez.
El edificio cuenta con una pequeña piscina, gimnasio y sala de pimpón.  
Apartamento de un dormitorio de 150m2 construidos, en los que se incluye el coqueto y cuidado jardín privado.
Es de diseño de un exquisito gusto y de inmejorables calidades. (se alquila con muebles en 5.800EUR y  sin muebles, 5.000EUR).
Distribución:
Gran salón comedor con acceso al jardín
",chamartin
6.600.000,Casa o chalet independiente en El Viso Madrid,544,5,,/inmueble/104079414/,"
Este magnífico Chalet Independiente se encuentra en la exclusiva zona de El Viso, en el distrito de Chamartín, en Madrid. Con una superficie de 544 m² distribuidos en una parcela de 621 m², esta propiedad ofrece un estilo de vida lujoso y elegante.
El chalet cuenta con 5 dormitorios y 6 baños, lo que lo convierte en el hogar perfecto para familias numerosas. La distribución de la vivienda es la siguiente:
- En la planta sótano, encontramos una piscina cubierta, sauna, gimnasio, zona de servicio y cuarto de plancha. También hay un dormitorio d
",chamartin
2.500.000,Casa o chalet independiente en Bernabéu-Hispanoamérica Madrid,556,8,,/inmueble/108745675/,"
Amplio chalet de 4 plantas en Hispanoamérica.
Se vende magnífico chalet para reforma con unas dimensiones únicas, 556 metros cuadrados, El chalet se divide en 4 plantas dentro de una parcela de 286 m2 y fue construido en el año 1980.
Actualmente cuenta con 8 habitaciones y 6 baños, jardín, trastero y garaje. En la planta baja dispone de una gran zona diáfana en bruto utilizada como almacén-garaje. La planta 0 actuaba como una vivienda familiar completa, cuenta con 3 habitaciones, 2 baños completos, un amplio salón-comedor y una cocina con ampl
",chamartin
796.000,Piso en Prosperidad Madrid,97,3,Planta 5ª exterior con ascensor,/inmueble/109133442/,"
GILMAR tiene el placer de presentarle este exclusivo piso de 97 metros construidos totalmente reformado para entrar a vivir en la zona Prosperidad perteneciente al distrito de Chamartín.
Este magnífico piso está reformado hace solo 5 años, se reformó de manera integral habiéndose cambiado entre otras cosas toda la electricidad, fontanería, cerramientos exteriores, se incorporó aire acondicionado en las estancias, etc. Está distribuido en tres dormitorios y dos baños, cocina independiente y salón comedor. Gracias a su orientación norooeste hace
",chamartin
3.475.000,Dúplex en El Viso Madrid,469,6,Planta 9ª exterior con ascensor,/inmueble/108152823/,"
ÚNICA Inmobiliaria les invita a conocer una vivienda en altura de auténtico lujo y unas impresionantes vistas panorámicas de Madrid.
Hablamos de un duplex con una superficie, sin contar con las zonas comunes, de 189m2 en cada planta con la siguiente distribución:
La primera planta destinada a zona social cuenta con hall de entrada, un enorme salón en varios ambientes con la terraza incorporada, comedor independiente, despacho, aseo de cortesía y cocina con office, dormitorio de servicio con baño y terraza tendedero (con entrada de servicio).
",chamartin
1.550.000,Casa o chalet independiente en Ciudad Jardín Madrid,135,2,,/inmueble/108474927/,"
Chalet Independiente en Ciudad Jardín
Descubre este exclusivo chalet independiente, situado en el corazón de Ciudad Jardín, una de las zonas más codiciadas de Madrid. Este inmueble, con 135 m² construidos sobre una parcela de 160 m², combina elegancia, funcionalidad y un sinfín de posibilidades arquitectónicas. Actualmente, la vivienda cuenta con una sola planta, distribuida en dos amplios dormitorios, un baño, una cocina independiente y un espacioso salón lleno de luz natural. Sin embargo, su auténtico potencial radica en la posibilidad de co
",chamartin
7.000.000,Ático en El Viso Madrid,462,3,Planta 14ª exterior con ascensor,/inmueble/108225264/,"
PROMORA MADRID presenta IMPRESIONANTE, ÚNICO y EXCLUSIVO ÁTICO DÚPLEX en El Viso, reformado de lujo con maravillosa terraza de 170 m² e increíble piscina climatizada, situado en la planta 14 con espectaculares vistas panorámicas 360º a toda la ciudad de Madrid.
Esta propiedad única, con una superficie construida de 462 m² donde predomina la luminosidad y elegancia, está diseñada para ofrecer una experiencia de vida sin igual, combinando amplitud, privacidad, tecnología de vanguardia y un entorno privilegiado. Con orientación a los cuatro punt
",chamartin
