precio,localidad,tamanio,habitaciones,descripcion,link,descripcion_larga,distrito
1.165.000,Piso en Calle de Santa Engracia Trafalgar,108,2,Planta 2ª exterior con ascensor,/inmueble/108635798/,"
En el corazón del prestigioso barrio de Trafalgar, dentro del emblemático distrito de Chamberí, se encuentra esta joya inmobiliaria: un piso exclusivo de 108 m² que combina elegancia, diseño y una ubicación privilegiada. Este inmueble, ubicado en un edificio clásico, destaca por su luminosidad, gracias a su orientación este y a sus tres balcones que ofrecen vistas directas a la calle. Es el lugar perfecto para quienes buscan disfrutar de la vida urbana con estilo y comodidad.
La vivienda dispone de un diseño impecable que incluye dos amplios d
",chamberi
2.050.000,Ático en Calle de Manuel González Longoria Trafalgar,158,3,Planta 8ª exterior con ascensor,/inmueble/108505570/,"
Magnífico ático con garaje junto a Alonso Martínez
Engel & Völkers les ofrece este magnífico ático con terraza y amplia plaza de garaje en finca, ubicado a escasos metros de la Plaza de Alonso Martínez, donde se juntan tres de los barrios más prestigiosos de Madrid; Almagro, Justicia y Trafalgar.
Este elegante espacio, con una superficie de 158 metros cuadrados construidos, está para actualizar y actualmente su distribución es bastante moderna. Construido en 1991 y mantenido en condiciones óptimas, ofrece tres amplias habitaciones y dos baños,
",chamberi
1.350.000,Piso en Calle de Santa Engracia Trafalgar,138,2,Planta 7ª exterior con ascensor,/inmueble/103632538/,"
Oportunidad para invertir en Trafalgar!
Engel & Völkers ofrece una oportunidad única para inversores, en la mejor zona de Chamberí, en la Plaza de Iglesia.
Propiedad dividida en dos apartamentos, ya alquilados, con una rentabilidad muy superior al 3%, con reforma a estrenar.
La vivienda, de casi 140 metros cuadrados, está ubicada en la séptima planta de una finca de esquina, con vistas despejadas e inmejorables, dividida en dos estupendos apartamentos, reformados pensando en cada detalle para tener completa autonomía: cocina absolutamente equi
",chamberi
1.315.000,Piso en Calle de Raimundo Fernández Villaverde Nuevos Ministerios-Ríos Rosas,161,3,Planta 3ª exterior con ascensor,/inmueble/107556123/,"
Bonita propiedad en urbanización Géminis con garaje y trastero
Engel & Völkers se complace en presentar este lindo apartamento ubicado en el corazón de Ríos Rosas, en Chamberí. Situado en la reconocida urbanización Géminis, se encuentra cerca de Raimundo Fernández Villaverde y cerca del Paseo de Castellana. Al ingresar, se accede directamente a un salón-comedor orientado al sur, lo que permite la entrada de luz natural durante todo el día. Este inmueble se encuentra en un tercer piso, ofreciendo vistas a una calle tranquila y poco ruidosa. Disp
",chamberi
790.000,Piso en Calle de Santa Engracia Trafalgar,73,2,Planta 2ª exterior con ascensor,/inmueble/107441428/,"
Exclusivo piso de diseño y balcones en Santa Engracia
Engel & Völkers les presenta este espectacular piso de 73 metros cuadrados ubicado en Trafalgar, Chamberí. Con un diseño moderno y sofisticado, la vivienda cuenta con dos dormitorios dobles, uno de ellos con baño en suite, ofreciendo comodidad y privacidad. Además, la propiedad destaca por su gran luminosidad gracias a sus balcones que dan a la calle, lo que aporta aire fresco y una vista agradable a cada estancia.
El salón-comedor es un espacio acogedor y luminoso, decorado con un estilo c
",chamberi
899.000,Piso en Calle del Monte Esquinza Almagro,75,2,Planta 4ª exterior con ascensor,/inmueble/106549678/,"
Apartamento reformado en Monte Esquinza
Este elegante apartamento de 75 metros cuadrados se encuentra en la cuarta planta de un edificio clásico en una de las calles más prestigiosas de Almagro. Es interior, brindando un ambiente tranquilo, ideal para quienes buscan privacidad y silencio. El edificio cuenta con ascensor y servicio de portería, lo que aporta comodidad y seguridad adicional.
La propiedad ha sido recientemente reformada y está lista para estrenar, con una distribución moderna y funcional que optimiza cada metro cuadrado. Dispone
",chamberi
855.000,Ático en Calle de Alonso Cano Nuevos Ministerios-Ríos Rosas,80,1,Planta 6ª exterior con ascensor,/inmueble/106595801/,"
Ático con reforma de lujo en Chamberí
Engel & Völkers presenta exclusivo ático con reforma integral en altas calidades en una de las zonas más cotizadas de Chamberí.
Por su ubicación, este luminoso sexto piso, disfruta de unas privilegiadas vistas despejadas al skyline madrileño. Además, cuenta con una gran oferta cultural y de ocio, ya que se sitúa a poca distancia de museos, teatros, cines y centros culturales, sin olvidar todas las ventajas que ofrecen los exclusivos barrios de Almagro o Ríos Rosas. Este inmueble no solo ofrece una ubicació
",chamberi
750.000,Ático en Calle de Manuel Silvela Trafalgar,68,1,Planta 6ª exterior con ascensor,/inmueble/108765527/,"
Ático con encanto y vistas despejadas junto a la Plaza de Olavide
Engel & Völkers presenta este exclusivo ático de aproximadamente 75 metros cuadrados junto a la popular Plaza de Olavide, en el corazón de Chamberí.
Este elegante espacio de 60 metros cuadrados y con una terraza de 12 metros, ha sido meticulosamente restaurado hace unos años, conservando su encanto original de 1945.
Con un diseño muy funcional, actualmente dispone de un dormitorio y un baño, cocina independiente y bonito salón con área de trabajo y acceso a la espectacular ter
",chamberi
2.050.000,Piso en Nuevos Ministerios-Ríos Rosas Madrid,249,5,Planta 1ª exterior con ascensor,/inmueble/108611951/,"
Excelente propiedad en un entorno único en calle de Fernández de la Hoz
Engel & Völkers presenta excelente oportunidad de adquirir una propiedad en un entorno incomparable. En una urbanización emblemática, conocida por sus grandes espacios ajardinados y deportivos, de uso exclusivo de los vecinos del inmueble, y una ubicación privilegiada, los residentes disfrutan de la vida con estilo y comodidad.
La vivienda, exterior, se ubica en la primera planta, con altura de segunda, de esta magnífica finca de finales de los años 70. Cuenta con una supe
",chamberi
7.250.000,Piso en Paseo de Eduardo Dato Almagro,485,7,Planta 8ª exterior con ascensor,/inmueble/107983438/,"
DIZA Consultores les presenta señorial piso haciendo esquina con once ventanales al exterior, terraza grande y vistas espectaculares, en edificio representativo de Gutiérrez Soto, en la mejor zona de Almagro.
En la octava planta de un edificio construido a mediados del siglo XX, encontramos este piso de techos altos con 485 metros cuadrados, siete dormitorios, cinco baños y aseo para reformar.
Actualmente el salón se divide en tres estancias, zona de biblioteca, zona de estar y comedor grande, para más de doce personas. Todas las estancias go
",chamberi
