precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
525.000;Piso en San Pascual Madrid;78;1;Planta 1ª exterior con ascensor;/inmueble/108282763/;"
Moderno piso con piscina en Arturo Soria
Descubre esta exclusiva vivienda de un dormitorio ubicada en una finca moderna, en pleno corazón del Barrio de la Concepción, junto a Arturo Soria. Ideal tanto para parejas, profesionales o como inversión con alta rentabilidad.
Características principales: Un dormitorio amplio con armario empotrado, un baño completo moderno, cocina abierta integrada al salón-comedor, en un espacio diáfano y funcional, garaje y trastero incluidos en el precio, calefacción individual y aire acondicionado y excelente orient
";ciudad-lineal
1.600.000;Dúplex en San Juan Bautista Madrid;290;6;Planta 4ª exterior con ascensor;/inmueble/108194346/;"
Presentamos este exclusivo ático a escasos metros del centro comercial Arturo Soria Plaza, en la finca más representativa de toda la zona, en la que destacan todos y cada uno de los servicios que ofrece: Amplios jardines, excelentes piscinas, zona de juegos infantiles, gimnasio, conserjería 24 horas, etc.
La vivienda destaca por una luminosidad sin igual en todas sus estancias. Tiene una distribución perfecta que comienza en su amplio recibidor acristalado, un impresionante salón de unos 60 m² con diferentes ambientes como comedor o zona de le
";ciudad-lineal
2.227.000;Ático en Calle de Celeste Colina;493;4;Planta 4ª exterior con ascensor;/inmueble/107762795/;"
Ático Dúplex de Lujo en Arturo Soria: Elegancia y Confort, Pura Exclusividad
Engel&Völkers pone a su disposición sin honorarios al comprador este exclusivo ático dúplex en el corazón de Arturo Soria, una joya de cuatrocientos noventa y tres metros cuadrados distribuidos en dos plantas, que redefine el lujo urbano. Este elegante hogar, parcialmente rehabilitado en su planta principal, ofrece cuatro amplios dormitorios y tres baños, combinando a la perfección el confort y la sofisticación en cada rincón. Construido en 1981, este espacio ha sido c
";ciudad-lineal
940.000;Piso en Concepción Madrid;234;4;Planta 1ª exterior con ascensor;/inmueble/107655123/;"
Luminoso piso en Arturo Soria
Engel & Völkers presenta este espectacular piso exterior en exclusiva zona residencial SIN COMISIÓN AL COMPRADOR. Con doscientos treinta y cuatro metros cuadrados construidos y una excelente triple orientación (norte, este y oeste), donde puedes disfrutar de luz natural durante todo el día; este amplio y luminoso hogar ofrece: cuatro habitaciones espaciosas, dos baños completos, salón-comedor amplio con vistas despejada, cocina independiente totalmente equipada, dos plazas de garaje incluidas, zonas comunes con pis
";ciudad-lineal
1.980.000;Dúplex en Calle del Condado de Treviño Costillares;299;4;Planta 24ª exterior con ascensor;/inmueble/108797610/;"
Disponemos de una amplia oferta de productos que no tenemos publicados en idealista, visite nuestra web ""The Avenue"" para acceder a nuestra selección completa.
THE AVENUE SELEC REAL ESTATE presenta este impresionante ático dúplex ubicado en la codiciada zona de Costillares, Madrid. Con una superficie total de 299 m², esta propiedad combina elegancia y confort para ofrecerte un estilo de vida inigualable. El inmueble cuenta con cuatro acogedoras habitaciones que se adaptan a tus necesidades familiares o profesionales. Además, dispone de tres b
";ciudad-lineal
2.280.000;Ático en Calle Arturo Soria 161;313;2; exterior con ascensor;/inmueble/105092725/;"
ARTURO SORIA 161 es un nuevo proyecto residencial de Terralpa en el mejor Madrid donde toda la comodidad está a tu alcance.
Cuenta con 6 magníficas viviendas con terraza, 2 áticos de ensueño con amplísimas terrazas y piscina incluida y 2 bajos con un jardín que rodea la vivienda. La localización es inmejorable gracias a la salida directa a la M30, la cercanía al metro Arturo Soria, ubicado a 1 minuto del proyecto, y al centro comercial Arturo Soria Plaza, por no hablar de la amplia oferta de colegios, parques y pequeños comercios que hacen de
";ciudad-lineal
490.000;Piso en Calle de Emilio Ferrari Pueblo Nuevo;118;4;Planta 3ª exterior con ascensor;/inmueble/107425145/;"
¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad.
Clikalia presenta este piso ubicado en el barrio de Pueblo Nuevo, en Madrid.
La vivienda está ubicada en la 3 planta exterior con ascensor. Dispone de una superficie total de 118 m², distribuidos en salón y comedor, cocina abierta equipada, 4 dormitorios y 2 baños.
Además, cuenta con ascensor, cocina amueblada, armarios empotrados y aire acondicionado.
Situado en el barrio de Pueblo Nuevo, en la Calle Emilio Ferrari, cuenta con una ubicación que te p
";ciudad-lineal
860.000;Piso en Quintana Madrid;126;2;Planta 2ª exterior con ascensor;/inmueble/107379110/;"
Suma Inmobiliaria vende exclusivo piso en la prestigiosa zona de Arturo Soria, Madrid.
La vivienda se distribuye de manera funcional y elegante, con un amplio hall de entrada que da paso a dos espaciosos dormitorios y dos modernos baños. La cocina, de estilo semi-abierto, está completamente equipada, mientras que el
";ciudad-lineal
975.000;Ático en Pueblo Nuevo Madrid;99;2;Planta 5ª exterior con ascensor;/inmueble/108984506/;"
Descubre la exclusividad de este impresionante ático situado en plena calle Alcalá, con vistas despejadas, a tan sólo 2 min andando del centro comercial Alcalá Norte, dentro del distrito de Ciudad Lineal, Madrid. Con una reforma integral reciente que incorpora materiales de alta gama y un diseño sofisticado, esta vivie
";ciudad-lineal
860.000;Piso en Quintana Madrid;126;2;Planta 2ª exterior con ascensor;/inmueble/107333884/;"
Piso en Venta en Arturo Soria
Engel & Völkers presenta fantástico piso en zona Arturo Soria - Madrid.
La vivienda se distribuye en un amplio hall de entrada, dos grandes dormitorios, dos baños, cocina individual, semi abierta y un amplio salón comedor. Los techos son especialmente altos, aportando mayor sensación de am
";ciudad-lineal
