precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
895;Piso en Calle del Mar Cantábrico El Puerto;65;1;Bajo exterior sin ascensor;/inmueble/109421688/;"
Magnifica vivienda de 65m2, 1 dormitorio, salón con cocina americana totalmente equipada, 1 baño, exterior, se entrega amueblado. Gastos de comunidad incluidos en el precio. No se aceptan animales.
";coslada-madrid
950;Piso en Calle de la Fuente Valleaguado - La Cañada;82;3;Planta 1ª exterior con ascensor;/inmueble/38427566/;"
Se alquila estupenda vivienda de 82 m2 (75m2 útiles) según catastro, exterior y muy luminoso. Consta de 3 dormitorios, cuarto de baño con plato de ducha, amplio salón comedor, cocina equipada con electrodomésticos y terraza. Puerta blindada, suelos de agradable terrazo, ventanas de aluminio, armarios y se alquila amueb
";coslada-madrid
1.100;Piso en Avenida de la Constitución El Barral Ferial;65;1;Planta 13ª exterior con ascensor;/inmueble/105842211/;"
INMÔÔ te ofrecemos en EXCLUSIVA "" ALEGRIA DE VIVIR "",
Estrenaras, soñaras, reirás, amaras. VIVIRAS EN TU HOGAR, DESCUBRIRAS. ""LA ALEGRIA DE VIVIR""
Disfrutaras de este PISAZO en RESIDENCIAL PRYCONSA COSLADA II, de la comodidad y el confort que te ofrece la mejor calidad de construcción y acabados en una vivienda de ef
";coslada-madrid
1.000;Piso en Avenida de José Hierro 3;89;2;Planta 1ª exterior con ascensor;/inmueble/109102384/;"
Se alquila estupenda vivienda exterior y muy luminosa de 89 m2 (68 m2 útiles según catastro) en una urbanización moderna y tranquila, que cuenta con piscina y zonas comunes ajardinadas. Consta de 2 dormitorios, 2 cuartos de baño completos (uno de ellos en suite), salón comedor, cocina independiente totalmente equipada
";coslada-madrid
995;Piso en Calle de Cuba 6;81;3;Planta 4ª exterior con ascensor;/inmueble/94049644/;"
Se alquila vivienda exterior reformada de 81 m2 (75 m2 útiles) según catastro. Consta de 3 dormitorios, salón, cuarto de baño y cocina independiente equipada con electrodomésticos. Dispone de calefacción individual de gas ciudad, suelos de parquet y aire acondicionado en todos los dormitorios. En el precio se incluye p
";coslada-madrid
1.550;Piso en El Puerto Coslada;117;3;Planta 2ª exterior con ascensor;/inmueble/108766027/;"
La Inmobiliaria Internacional CPM gestiona este magnífico y luminoso piso sin amueblar, ( NO MASCOTAS, NO ESTUDIANTES) de 117 m2 y 3 habitaciones, situado en una urbanización cerrada, con estupendas zonas comunes, próximo al metro Barrio del Puerto, que consta de los siguientes elementos:
Hall de entrada. Una gran coc
";coslada-madrid
950;Piso en Calle de los Teatinos 14;80;3;Planta 3ª exterior sin ascensor;/inmueble/109359670/;"
OPORTUNIDAD ÚNICA
Piso en en zona con muy poca oferta.
El barrio está muy bien comunicado: a menos de 5 minutos andando la estación de renfe de San Fernando y de paradas de autobús (como el L-2, 2 88, N-203, etc. ), además de estar junto a un nudo de autopistas con la A-2, la M-50, M-21.
La vivienda está en buen es
";coslada-madrid
1.275;Piso en Calle de los Conquistadores Coslada Pueblo;68;2;Planta 4ª exterior con ascensor;/inmueble/109354447/;"
Agencia inmobiliaria Tecnocasa Coslada zona Coslada Pueblo, Barrio Del Puerto Tecnocasa Estudio Nuevo Coslada Pueblo
EN ALQUILER: Descubre esta acogedora vivienda con una ubicación inmejorable a pocos minutos de la estación de Renfe de Coslada Central. La vivienda se encuentra en la calle CONQUISTADORES. Ideal para qu
";coslada-madrid
890;Piso en Avenida de Roma 14;54;2;Bajo exterior sin ascensor;/inmueble/109220017/;"
Se alquila estupenda vivienda exterior y muy luminosa en planta baja y recién reformada. Consta de 54m2 distribuidos en 2 dormitorios, 1 cuarto de baño, salón y cocina americana equipada con electrodomésticos. Dispone de puerta blindada, suelos porcelánicos, ventanas climalit y termo eléctrico. Se alquila vacía de mueb
";coslada-madrid
1.200;Piso en Avenida de España Coslada Pueblo;68;2;Bajo exterior sin ascensor;/inmueble/109362208/;"
MADRIDEM presenta este magnífico piso reformado de 68 m2, luminoso ubicado en el Barrio de Coslada Pueblo en Coslada. Se alquila no amueblado con la cocina equipada. Con todas las comodidades y las mejores calidades es un espacio ideal para vivir.
Entre las características destacadas de este piso, se encuentran:
- Un
";coslada-madrid
