precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
1.450.000;Piso en Calle de Julio Palacios La Paz;145;3;Planta 5ª exterior con ascensor;/inmueble/109003703/;"
Este excepcional piso completamente reformado con calidades premium se presenta como una oportunidad única en una de las zonas residenciales más codiciadas del norte de Madrid. Con una superficie de 145 metros cuadrados construidos, esta propiedad ha sido diseñada para ofrecer un estilo de vida de máximo confort y elegancia. La vivienda destaca por su luminosidad y sus espacios amplios, creando un ambiente acogedor y moderno. Su distribución, perfectamente pensada, maximiza cada rincón para garantizar una experiencia de vida superior.
Cada det
";fuencarral
1.599.000;Chalet adosado en Peñagrande Madrid;543;7;;/inmueble/107306908/;"
Te presentamos este impresionante chalet adosado de 7 dormitorios y 6 baños, con amplios y luminosos espacios que ofrecen una comodidad inigualable. Ubicado en una de las mejores zonas de Peñagrande, esta propiedad destaca por su gran jardín privado con piscina y zona de barbacoa, ideal para disfrutar de momentos al aire libre. La casa cuenta con una parcela exclusiva y muy amplia, con una excelente orientación que garantiza una gran luminosidad en todas sus estancias. Además, dispone de un ascensor que conecta todas las plantas, brindando un a
";fuencarral
1.380.000;Chalet adosado en Peñagrande Madrid;275;4;;/inmueble/108815964/;"
De Salas Luxury Homes, les ofrece este magnífico chalet adosado muy luminoso y con agradable jardín ubicado en un entorno ideal y muy tranquilo.
La vivienda cuenta con 275 m2 distribuidos en cuatro plantas con ascensor que comunica el garaje con la planta principal y la primera planta.
La planta principal distribuida en salón con chimenea, amplia cocina y aseo de cortesía. Cuenta con un agradable porche con acceso al jardín con piscina y rodeado de una cuidada vegetación.
En la primera planta se encuentran dos dormitorios con posibilidad de t
";fuencarral
1.465.000;Chalet adosado en Calle de Arnedillo Montecarmelo;209;3;;/inmueble/108099354/;"
Casa adosada moderna y luminosa con piscina en Mirasierra – Lista para entrar a vivir.
Descubre esta magnífica casa adosada de obra nueva (2022) con 209 m² construidos, ubicada en una tranquila zona residencial. Con solo un único propietario desde su construcción, la vivienda se encuentra en estado impecable y ofrece un entorno moderno, cómodo y acogedor.
Distribuida en varias plantas, dispone de 3 amplios dormitorios y 2 baños completamente equipados, ideales para el confort diario de toda la familia. La cocina, moderna y totalmente equipada
";fuencarral
599.000;Piso en CL Fermin Caballero La Paz;123;4;Planta 9ª exterior con ascensor;/inmueble/108630878/;"
De Salas Luxury Homes les muestra esta luminosa vivienda, una novena planta con doble orientación sur y norte, ofrece amplias vistas despejadas y una excelente distribución interior. Con una superficie de 123 m² construidos según catastro, destaca por su comodidad, funcionalidad y gran potencial para adaptarse a las ne
";fuencarral
3.000.000;Casa o chalet independiente en Calle Siguero Fuentelarreina;881;5;;/inmueble/102823965/;"
(Referencia MIV01968) De Salas Luxury Homes les presenta en venta esta exclusiva propiedad en Fuentelarreina, con grandes espacios, todo tipo de detalles y una magnífica orientación.
Se encuentra en un entorno exclusivo perteneciente a Puerta de Hierro, un chalet independiente de estilo clásico con 881 metros cuadrado
";fuencarral
1.475.000;Casa o chalet independiente en Tres Olivos - Valverde Madrid;290;5;;/inmueble/108033410/;"
Gilmar Mirasierra & Puerta de Hierro tiene el placer de presentarles este exclusivo chalet independiente en la prestigiosa zona de Tres Olivos, en Madrid. Con una ubicación privilegiada y una gran demanda en el mercado actual, esta propiedad de 241 m2 es sin duda una oportunidad única para aquellos que buscan lo mejor
";fuencarral
626.000;Piso en Mirasierra Madrid;93;3;Planta 1ª exterior con ascensor;/inmueble/109012983/;"
Piso 3 dorm. con AEROTERMIA
GILMAR MIRASIERRA & PUERTA DE HIERRO presenta una oportunidad única en Mirasierra: un hogar donde la eficiencia energética y el confort se unen para ofrecerle una experiencia de vida inigualable.
Este espectacular piso de 93 m² se encuentra en una de las zonas más exclusivas y tranquilas de
";fuencarral
1.595.000;Dúplex en Fuentelarreina Madrid;464;6;Planta 4ª exterior con ascensor;/inmueble/108686933/;"
En el exclusivo barrio de Fuentelarreina, se encuentra esta magnífica propiedad de 464 m² distribuidos en dos plantas. Este piso para reformar ofrece una oportunidad única de crear un hogar a medida en una de las zonas más tranquilas y verdes de Madrid. Con una orientación principal al sur, disfruta de una luminosidad
";fuencarral
1.225.000;Piso en Fuentelarreina Madrid;254;5;Planta 2ª exterior con ascensor;/inmueble/108394271/;"
Laura Pérez-Hernandez de GV | PUERTA DE HIERRO comercializa el siguiente inmueble:
Magnífico dúplex de 254 metros cuadrados construidos, situado dentro de una señorial urbanización privada con zonas verdes ajardinadas y piscina, en un entorno tranquilo y residencial en Fuentelarreyna.
Para reformar, cuenta con una m
";fuencarral
1.600.000;Chalet pareado en Peñagrande Madrid;442;11;;/inmueble/107793367/;"
Laura Pérez-Hernandez de GV | PUERTA DE HIERRO comercializa el siguiente inmueble:
Magnífica OPORTUNIDAD para Inversores.
Pareado en 3 plantas de 442 metros cuadrados, configurado como:
- ESPACIO IDEAL PARA CO-LIVING
-EDIFICIO DE OFICINAS PARA EMPRESAS
-CHALET RESIDENCIAL
Situado en Peñagrande, barrio residencial y c
";fuencarral
1.895.000;Dúplex en Mirasierra Madrid;450;4;Planta 8ª exterior con ascensor;/inmueble/103964968/;"
GILMAR MIRASIERRA & PUERTA DE HIERRO presenta este singular Ático-Dúplex en Mirasierra completamente reformado con climatización sostenible mediante AEROTERMIA y espectaculares vistas 360º tanto de las 4 Torres como de la sierra de Madrid.
Distribución:
En la planta baja la espaciosa zona de recibir abre directamente a
";fuencarral
850.000;Piso en Peñagrande Madrid;162;3;Planta 3ª exterior con ascensor;/inmueble/108378046/;"
GILMAR MIRASIERRA & PUERTA DE HIERRO ofrece en exclusiva este amplio piso en la zona residencial de Peñagrande, límite con Arroyo Fresno y Fuentelarreina, una de las áreas más tranquilas y bien comunicadas del norte de Madrid. La vivienda cuenta con una superficie construida de 162 m² y destaca por su excelente luminos
";fuencarral
1.200.000;Chalet adosado en Peñagrande Madrid;412;6;;/inmueble/107496455/;"
GILMAR MIRASIERRA & PUERTA DE HIERRO presenta esta singular oportunidad.
Este amplio chalet adosado de 412m² es una oportunidad única como VIVIENDA para quienes buscan amplitud, comodidad y una distribución versátil en un entorno tranquilo.
La vivienda cuenta con 412m² construidos sobre una parcela de 252m², y destaca
";fuencarral
1.990.000;Casa o chalet independiente en Peñagrande Madrid;505;5;;/inmueble/105521323/;"
GILMAR MIRASIERRA & PUERTA DE HIERRO presente este magnífico chalet independiente con una cómoda distribución, diseñado para ofrecer el máximo confort. Con una superficie construida de 505 m² y emplazado en una parcela de casi 700 m², este hogar es perfecto para quienes buscan espacio, privacidad y una distribución fun
";fuencarral
1.895.000;Chalet pareado en Peñagrande Madrid;557;6;;/inmueble/108429036/;"
GILMAR MIRASIERRA & PUERTA DE HIERRO les presenta, en la zona residencial junto a la codiciada zona de Puerta de Hierro, este elegante chalet pareado de lujo, de 557 m² construidos sobre una cuidada parcela de 382 m², donde cada rincón ha sido concebido para ofrecer bienestar, privacidad y una experiencia de vida sin c
";fuencarral
1.240.000;Casa o chalet independiente en Peñagrande Madrid;601;9;;/inmueble/96164743/;"
De Salas Luxury Homes les ofrece en EXCLUSIVA este fantástico chalet independiente en Peñagrande.
MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA. CONSULTE EN NUESTRA PÁGINA WEB DE “De Salas”, PARA VER MÁS VIVIENDAS EN EXCLUSIVA.
Construido en los años ‘80, este chalet independiente tiene 601 m² construidos,
";fuencarral
1.599.000;Chalet pareado en Peñagrande Madrid;600;7;;/inmueble/94329037/;"
De Salas Luxury Homes (Ref. MIV02047). Fantástica oportunidad para disfrutar de este chalet pareado en una de las mejores zonas de Peñagrande.
MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA. CONSULTE EN NUESTRA PÁGINA WEB DE “De Salas”, PARA VER MÁS VIVIENDAS EN EXCLUSIVA.
Construido en 1995 y con continuas
";fuencarral
1.990.000;Casa o chalet independiente en Peñagrande Madrid;505;5;;/inmueble/105538472/;"
Referencia MIV02037. De Salas Luxury Homes les presenta esta fantástica oportunidad para disfrutar de un chalet independiente en una de las mejores zonas de Peñagrande.
Construido en 1997 y con reciente actualización de espacios, dispone de una superficie construida de 505 m², distribuidos en 3 plantas, sobre una parc
";fuencarral
2.075.000;Ático en Mirasierra Madrid;284;4;Planta 6ª exterior con ascensor;/inmueble/102233469/;"
De Salas Luxury Homes, (Referencia MIV01957) tiene el placer de poder ofrecerle este imponente ATICO DÚPLEX en Mirasierra. Con una superficie de 284 m², cuenta con un diseño único e impresionante terraza de 126m², con piscina privada e inigualables vistas panorámicas.
La vivienda cuenta con un cuidado diseño de interi
";fuencarral
899.000;Ático en Las Tablas Madrid;124;2;Planta 5ª exterior con ascensor;/inmueble/107779871/;"
ÁTICO EXCLUSIVO Y REFORMADO CON TERRAZA DE 124 M² EN URBANIZACIÓN
Descubre este espectacular ático en una de las mejores urbanizaciones de Las Tablas, completamente reformado hace dos años con materiales de alta calidad. Diseñado para quienes buscan amplitud, privacidad y el máximo confort.
Ubicada en la última plant
";fuencarral
1.550.000;Chalet adosado en Mirasierra Madrid;274;4;;/inmueble/108668678/;"
De Salas Luxury Homes, les ofrece esta magnifica vivienda adosada en Mirasierra con 274 m² distribuidos en tres plantas ubicada en parcela de 231 m². Cuenta con una distribución muy funcional pensada para el confort del día a día.
Se accede a la vivienda por un hall de entrada que da acceso al salón comedor con chimen
";fuencarral
670.000;Piso en Camino de Ganapanes Peñagrande;97;2;Bajo interior con ascensor;/inmueble/107288961/;"
Gilmar Consulting Inmobiliario Castellana-Orense ( ) vende estupendo piso en Peñagrande, en urbanización cerrada, con piscina, pista de pádel y gimnasio, plaza de garaje y trastero, ambos incluidos en el precio, dos dormitorios, uno en suite, salón - comedor, cocina independiente, tendedero, dos baños y terraza de 20 m
";fuencarral
720.000;Piso en Calle de Ramón Gómez de la Serna Peñagrande;160;4;Planta 1ª exterior con ascensor;/inmueble/109221797/;"
Fuentelarreina: 4 Dormitorios, muy cerca del Golf de la federación, urbanización con zonas ajardinadas.
Este piso goza de una buena vista gracias a la cota elevada del edificio.
Cocina independiente con comedor de diario
4 dormitorios con 2 baños
Distribución muy cuadrada
Portero físico
Calefacción central
Gastos de c
";fuencarral
1.575.000;Chalet adosado en Mirasierra Madrid;220;5;;/inmueble/108580646/;"
CONTACTAR CON EXTENSIÓN Nº4
BAFRE CASTELLANA presenta este fantástico chalet adosado ubicado en el exclusivo barrio residencial de Mirasierra, una de las zonas más tranquilas y demandadas del norte de Madrid. Con 220 m² construidos sobre una parcela de 311 m² consolidada, esta vivienda destaca por su distribución func
";fuencarral
649.000;Piso en Calle de la Costa Brava Mirasierra;109;2;Planta 4ª exterior con ascensor;/inmueble/107031278/;"
Ref. MIV02058. De Salas Luxury Homes le invita a descubrir este acogedor piso de 109 m² situado en una de las zonas más relevantes de Mirasierra. La vivienda dispone de un amplio salón comedor que se convierte en el corazón del hogar. Cuenta con dos dormitorios, siendo el principal en suite con su baño completo, y un s
";fuencarral
469.903;Piso en Calle Cantalejo 19;60;1;Planta 1ª exterior con ascensor;/inmueble/108829101/;"
NUEVO PROYECTO JUNTO A PUERTA DE HIERRO
Residencial Zenith es un proyecto de 117 exclusivas viviendas de 1, 2 y 3 dormitorios con amplias y variadas zonas comunes.
Precio desde 450.067€ con plaza de garaje y trastero incluido.
ARQUITECTURA DE AUTOR
El diseño arquitectónico de Zenith se caracteriza por un diseño esc
";fuencarral
596.240;Piso en Calle Cantalejo 19;78;2;Planta 2ª exterior con ascensor;/inmueble/108829412/;"
NUEVO PROYECTO JUNTO A PUERTA DE HIERRO
Residencial Zenith es un proyecto de 117 exclusivas viviendas de 1, 2 y 3 dormitorios con amplias y variadas zonas comunes.
Precio desde 450.067€ con plaza de garaje y trastero incluido.
ARQUITECTURA DE AUTOR
El diseño arquitectónico de Zenith se caracteriza por un diseño esc
";fuencarral
927.000;Piso en Calle Doctor Guiu 57;134;3;Planta 2ª exterior con ascensor;/inmueble/106500339/;"
Evergreen es un proyecto de 19 viviendas conectados con el exterior, con la naturaleza, con vistas panorámicas del entorno y a poca distancia del centro de Madrid.
Evergreen, ubicado en la calle Doctor Guiu 57 junto a la Avenida del cardenal Herrera Oria. Es un edificio moderno, que ocupa un emplazamiento excepcional
";fuencarral
900.000;Piso en Calle Doctor Guiu 57;130;3;Planta 1ª exterior con ascensor;/inmueble/106500314/;"
Evergreen es un proyecto de 19 viviendas conectados con el exterior, con la naturaleza, con vistas panorámicas del entorno y a poca distancia del centro de Madrid.
Evergreen, ubicado en la calle Doctor Guiu 57 junto a la Avenida del cardenal Herrera Oria. Es un edificio moderno, que ocupa un emplazamiento excepcional
";fuencarral
927.000;Piso en Calle Doctor Guiu 57;134;3;Planta 2ª exterior con ascensor;/inmueble/106500339/;"
Evergreen es un proyecto de 19 viviendas conectados con el exterior, con la naturaleza, con vistas panorámicas del entorno y a poca distancia del centro de Madrid.
Evergreen, ubicado en la calle Doctor Guiu 57 junto a la Avenida del cardenal Herrera Oria. Es un edificio moderno, que ocupa un emplazamiento excepcional
";fuencarral
900.000;Piso en Calle Doctor Guiu 57;118;3;Planta 3ª exterior con ascensor;/inmueble/106500341/;"
Evergreen es un proyecto de 19 viviendas conectados con el exterior, con la naturaleza, con vistas panorámicas del entorno y a poca distancia del centro de Madrid.
Evergreen, ubicado en la calle Doctor Guiu 57 junto a la Avenida del cardenal Herrera Oria. Es un edificio moderno, que ocupa un emplazamiento excepcional
";fuencarral
988.000;Ático en Peñagrande Madrid;119;3;Planta 4ª exterior con ascensor;/inmueble/103509175/;"
¡Últimas 6 viviendas disponibles en Peñagrande, Madrid! 
Descubre esta exclusiva promoción en uno de los barrios menos densamente poblados de Madrid. Viviendas amplias y luminosas de 3 y 4 dormitorios, diseñadas para ofrecer el máximo confort y calidad de vida. Entre las últimas unidades disponibles se encuentra un e
";fuencarral
