precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
443.000;Piso en Getafe norte Getafe;100;4;Planta 1ª exterior con ascensor;/inmueble/109072878/;"
C. R. HOMES INMOBILIARIA vende piso de 100 M2, con 4 DORMITORIOS, 2 BAÑOS, ASCENSOR, PLAZA DE GARAJE, en URBANIZACIÓN CON PISCINA y ZONAS COMUNES en Getafe-Norte.
Magnífica vivienda de precio libre en urbanización privada en edificio CON ASCENSOR. Consta de 4 DORMITORIOS con armarios empotrados, 2 BAÑOS completos con b
";getafe-madrid
495.000;Piso en Calle Joan Font El Rosón - Kelvinator;135;4;Planta 2ª exterior con ascensor;/inmueble/109119620/;"
PISO DE 135m2, con 4 habitaciones, 2 baños, 2 plazas de garaje y trastero, en la zona del Rosón-Kelvinator de GETAFE.
VIVAHOME PONE A LA VENTA EN EXCLUSIVA esta luminosa y cómoda vivienda, en una ubicación inmejorable, ya que salón y habitaciones dan al Paseo de la Estación, arteria principal, en donde encontrarás to
";getafe-madrid
586.000;Chalet adosado en Calle Unicef Perales del Rio;225;4;;/inmueble/107947058/;"
INMOBILIARIA PROLUCISA VENDE CHALET CON RECINTO CERRADO EN GETAFE PERALES DEL RIO
Este hermoso chalet adosado en venta se encuentra ubicado en un complejo residencial privado de la zona de Perales del Río, perteneciente al municipio de Getafe.
Dispone de una superficie total de 225 m² distribuidos en cuatro plantas
";getafe-madrid
425.000;Piso en Plaza Benjamín Palencia Getafe Centro;127;2;Bajo exterior con ascensor;/inmueble/109303727/;"
CONTACTAR CON EXTENSIÓN Nº1
Piso bajo con patio, garaje y piscina en Plaza Benjamín Palencia
Magnífica vivienda en planta baja situada en una finca moderna del año 2008, que destaca por su amplitud, luminosidad y un extraordinario patio privado de 41 m² de uso y disfrute exclusivo.
La propiedad cuenta con 86 m² cons
";getafe-madrid
450.000;Piso en Calle Daoiz Universidad;153;3;Planta 1ª exterior con ascensor;/inmueble/109216774/;"
¡EMPIRE REAL ESTATE PROPERTIES VENDE MARAVILLOSA VIVIENDA EN ZONA UNIVERSIDAD DE GETAFE!
Elegante vivienda en planta alta en la zona Universidad de Getafe – Amplia, reformada y luminosa.
Ubicada en una de las zonas más demandadas de Getafe, concretamente en la zona Universidad, se presenta esta magnífica vivienda que
";getafe-madrid
219.990;Piso en Calle Orense El Bercial;61;3;Planta 2ª exterior sin ascensor;/inmueble/108979643/;"
¡EMPIRE REAL ESTATE PROPERTIES VENDE ATRACTIVA VIVIENDA SITUADA EN UNA DE LAS ZONAS MAS DEMANDADAS DE GETAFE, EL BERCIAL!
Esta excelente propiedad destaca por su cuidada distribución y la luminosidad que inunda cada uno de sus espacios, proporcionando un ambiente acogedor y funcional para toda la familia.
Al acceder
";getafe-madrid
179.000;Piso en Universidad Getafe;65;3;Planta 2ª exterior sin ascensor;/inmueble/109302709/;"
C. R. HOMES INMOBILIARIA vende piso en SEGUNDA PLANTA, de 3 DORMITORIOS y BAÑO en ZONA UNIVERSIDAD-JUAN DE LA CIERVA de GETAFE.
¡IDEAL PARA INVERSORES!
Vivienda PARA REFORMAR TOTALMENTE de 65 m2 distribuidos en hall-recibidor que da paso a cocina, salón-comedor, distribuidor que da acceso a los TRES DORMITORIOS y BAÑ
";getafe-madrid
239.990;Piso en Universidad Getafe;66;3;Bajo exterior sin ascensor;/inmueble/109393061/;"
PISO BAJO DE ESQUINA, GALAXIA Inmobiliaria, OFRECE en GETAFE – LAS MARGARITAS - UNIVERSIDAD""
DESCRIPCIÓN: 66 m2 Catastrales, divididos en; Recibidor, Salón Comedor, Cocina con Terraza Tendedero, 3 Dormitorios y 1 Baño.
Edificio con la Fachada y la Cubierta recientemente Rehabilitadas, con Certificado Energético: Consum
";getafe-madrid
210.000;Piso en Getafe Centro Getafe;50;2;Bajo exterior sin ascensor;/inmueble/109252854/;"
C. R. HOMES INMOBILIARIA vende piso REFORMADO de 50 m2, con 2 DORMITORIOS y 2 BAÑOS EN Getafe.
Se trata de una vivienda REFORMADA de 50 M2 totalmente reformada, se distribuye en salón-comedor con cocina americana, con ENCIMERA de GRANITO, distribuidor que da paso a DOS DORMITORIOS, el principal cuenta con ARMARIO EMPO
";getafe-madrid
250.000;Piso en Getafe Centro Getafe;70;3;Planta 2ª exterior con ascensor;/inmueble/108899290/;"
100% home red inmobiliaria vende piso en getafe, zona centro. Vivienda con salón, cocina, tres habitaciones y un baño. Dispone de terraza, calefacción con gas natural y aire acondicionado. Finca con ascensor. Con una ubicación privilegiada en pleno centro de la ciudad, este inmueble ofrece un acceso inmediato a todo ti
";getafe-madrid
263.000;Piso en Calle Madrid Getafe Centro;65;3;Planta 3ª exterior con ascensor;/inmueble/108903888/;"
 ¡VENTA GARANTIZADA! VIVIENDA EN EXCLUSIVA EN LA CALLE MADRID DE GETAFE – 3 DORMITORIOS, EXTERIOR Y LUMINOSA
¡Oportunidad única en pleno centro de Getafe! Alquiler Protegido – Real Estate ofrece en exclusiva esta amplia y luminosa vivienda exterior ubicada en la misma calle Madrid, en la zona de Getafe Central, a esca
";getafe-madrid
193.000;Piso en Calle Geranio Universidad;63;3;Planta 3ª exterior sin ascensor;/inmueble/108993235/;"
Descubre este encantador piso en Las Margaritas, ideal para quienes buscan comodidad y funcionalidad.
Con 63 m², este hogar bien distribuido ofrece tres acogedoras habitaciones y un baño en buen estado. La cocina está completamente equipada, perfecta para los amantes de la gastronomía. Además.
El piso cuenta con ca
";getafe-madrid
205.000;Piso en Avenida de los Ángeles Juan de la Cierva;67;3;Planta 2ª exterior sin ascensor;/inmueble/108919154/;"
¡ Oportunidad! Piso de 67 m² para actualizar a la venta en el municipio de Getafe, Madrid. La vivienda está distribuida en salón-comedor, tres dormitorios, cocina independiente, cuarto de baño y vestíbulo. Cuenta con suelos de terrazo, ventanas de aluminio.. . Precisa reforma en la cocina y pequeñas actualizaciones, pe
";getafe-madrid
730.000;Chalet adosado en Getafe norte Getafe;269;4;;/inmueble/108707685/;"
Descubre este magnífico chalet adosado situado en el barrio de Getafe Norte, una de las zonas más demandadas de Getafe, dentro del área metropolitana de Madrid. Este inmueble, construido en 1998, combina comodidad, funcionalidad y un diseño atemporal en sus 269 m² construidos sobre una parcela de 138 m². Con una orient
";getafe-madrid
140.000;Piso en Calle Cataluña Universidad;65;3;Planta 4ª exterior sin ascensor;/inmueble/101651630/;"
******* LEER ANUNCIO*******
******PISO OCUPADO ILEGALMENTE******
Descubre esta encantadora propiedad ubicada en la calle Cataluña de Getafe. Este luminoso piso exterior se encuentra en la cuarta planta del edificio, brindando tranquilidad y vistas despejadas.
Con una distribución funcional, la vivienda cuenta con tres
";getafe-madrid
189.500;Piso en Calle Fuenlabrada San Isidro;83;3;Planta 3ª exterior sin ascensor;/inmueble/109334231/;"
"" Tu nuevo hogar con terraza en plana ciudad ""
Se vende piso luminoso de 3 habitaciones con terraza exterior.
- La vivienda se distribuye en: . Salón- comedor con acceso a la terraza. Cocina independiente. 3 habitaciones. 1 baño completo con plato de ducha
¡ GRAN oportunidad de INVERSION! Piso con potencial para sa
";getafe-madrid
485.000;Ático en Plaza Benjamín Palencia Getafe Centro;111;2;Planta 6ª exterior con ascensor;/inmueble/108872791/;"
¡SIN COMISIONES AL COMPRADOR! Ático en ubicación privilegiada en Getafe, en el Residencial Cónsul, con una ubicación idónea para entrar y salir de la ciudad sin callejear. Incluye en el precio DOS PLAZAS DE GARAJE. El piso tiene doble orientación, y es completamente exterior, dando tanto al norte como al sur, así que n
";getafe-madrid
303.000;Piso en Calle Castellón de la Plana Juan de la Cierva;101;3;Planta 3ª exterior con ascensor;/inmueble/108963544/;"
***Piso en Venta en Getafe ¡TU NUEVO HOGAR TE ESPERA! ***
Descubre este encantador piso de 95 m² construidos, ideal para quienes buscan comodidad y luminosidad. Ubicado en la tercera planta de un edificio con ascensor, este hogar destaca por su diseño totalmente exterior, que permite disfrutar de luz natural durante to
";getafe-madrid
219.000;Piso en Calle Maestro Turina La Alhóndiga;82;3;Planta 3ª exterior sin ascensor;/inmueble/108580373/;"
LINKCASA PASEO EXTREMADURA VENDE un piso de 3 dormitorios en la calle Maestro Turina (barrio de La Alhóndiga - Getafe). La vivienda consta de 3 habitaciones (2 de ellas dobles) con armario empotrado, salón-comedor, cocina amueblada y equipada, baño completo con plato de ducha y terraza acristalada. El inmueble es exter
";getafe-madrid
219.000;Piso en Calle Maestro Turina La Alhóndiga;82;3;Planta 3ª exterior sin ascensor;/inmueble/108580387/;"
LINKCASA PASEO EXTREMADURA VENDE un piso de 3 dormitorios en la calle Maestro Turina (barrio de La Alhóndiga - Getafe). La vivienda consta de 3 habitaciones (2 de ellas dobles) con armario empotrado, salón-comedor, cocina amueblada y equipada, baño completo con plato de ducha y terraza acristalada. El inmueble es exter
";getafe-madrid
328.000;Piso en Calle Madrid Getafe Centro;101;2;Planta 1ª exterior con ascensor;/inmueble/109317435/;"
Se vende luminosa vivienda en plena Calle Madrid de Getafe, en una primera planta con ascensor, con una superficie construida de 101 m².
La vivienda cuenta con dos amplios dormitorios, un salón con salida a terraza con agradables vistas a la propia Calle Madrid, y una gran cocina independiente, que además dispone de a
";getafe-madrid
409.999;Chalet adosado en Calle del Caminante s/n;140;4;;/inmueble/109201593/;"
GRUPO INMOBILIARIO TIZONA GETAFE vende en EXCLUSIVA CHALET en Perales del Río, en una de las zonas más tranquilas y demandadas de la ciudad, en plena naturaleza, ideal para los amantes de hacer rutas en bicicleta y senderismo. Muy bien comunicado, con transporte público que enlazan con Madrid y Getafe. Salidas a M-45,
";getafe-madrid
205.000;Piso en San Isidro Getafe;83;2;Planta 3ª exterior sin ascensor;/inmueble/109238382/;"
¿Buscas un hogar con AMPLITUD, LUZ NATURAL y espacio exterior""
Se vende estupendo piso en el barrio de SAN ISIDRO de 2 habitaciones anteriormente 3 habitaciones,
. El piso cuenta con un Recibidor de bienvenida y distribuye de forma práctica las estancias, aportan independencia al salón y a las habitaciones.
. 2 Hab
";getafe-madrid
295.000;Piso en Calle Barco Getafe Centro;92;2;Planta 1ª exterior con ascensor;/inmueble/108849499/;"
Vive en el corazón de Getafe!
Piso en calle Barco, una oportunidad única para disfrutar de confort, servicios y excelente comunicación con Madrid.
Ubicado en una tranquila zona residencial de Getafe, este piso se encuentra rodeado de todos los servicios necesarios para una vida cómoda y práctica. A pocos minutos a p
";getafe-madrid
266.000;Piso en Calle San Eugenio Getafe Centro;91;2;Planta 1ª exterior sin ascensor;/inmueble/108511113/;"
¡Descubre tu nuevo hogar en este espectacular piso en venta!
Situado en una ubicación inmejorable, a solo 5 minutos a pie de la estación de MetroSur (L12 - Getafe Central) y de la estación de Cercanías C4, este inmueble es perfecto para quienes buscan comodidad y accesibilidad. Con un amplio salón que cuenta con un g
";getafe-madrid
285.000;Piso en Getafe norte Getafe;70;2;Planta 4ª exterior con ascensor;/inmueble/109337462/;"
Redpiso Los Molinos vende en EXCLUSIVA en Getafe Norte luminoso piso de 2 dormitorios con terraza, garaje y excelente ubicación.
Se vende estupendo piso ubicado en una cuarta planta con orientación este-oeste, lo que proporciona luz natural durante todo el día y una agradable ventilación cruzada.
La vivienda dispone
";getafe-madrid
230.000;Piso en La Alhóndiga Getafe;55;1;Bajo exterior con ascensor;/inmueble/109262554/;"
**Piso Reformado en el Corazón de Getafe**
¡Descubre tu nuevo hogar! Este encantador piso reformado en 2022, con una superficie útil de 52 m², es ideal para quienes buscan comodidad y estilo. Con un luminoso salón de 18 m², perfecto para disfrutar de momentos en familia o con amigos, y una cocina totalmente equipada d
";getafe-madrid
150.000;Piso en Calle Camelias Universidad;51;1;Planta 5ª exterior sin ascensor;/inmueble/109279388/;"
LINKCASA EMBAJADORES vende piso para reformar ideal para inversor, el piso cuenta con 51 m² según catastro y está dotada con dos habitaciones, un baño completo, un salón comedor. Se encuentra situada en una quinta planta en la privilegiada zona de Getafe, a pocos minutos andando de las cercanías, centro comercial, come
";getafe-madrid
138.600;Piso en Plaza Obispo Felipe Scio Riaza Getafe Centro;87;1;Planta 2ª exterior con ascensor;/inmueble/109249283/;"
IDEAL PARA INVERSORES: VENTA DE NUDA PROPIEDAD.
NUDA PROPIEDAD. Grupo Retiro gestiona la venta de la nuda propiedad de una vivienda y trastero valorados en 275.000 euros a cambio de un Pago Único de Capital de 138.600 €. El usufructuario, hombre de 65 años, continuará utilizando el inmueble y el trastero hasta su fall
";getafe-madrid
258.000;Piso en Calle Nardo 12;70;4;Bajo exterior sin ascensor;/inmueble/109361778/;"
El Mueble Esta Ideal Para Invertir.
Se vende piso completamente reformado en 2024 fin de año octubre.
La vivienda se encuentra a 100 ml de la universidad.
La reforma incluye.
Ventanas nuevas de PVC con cristal anti robo climatizaré.
Armarios en cada habitación.
Tarima de PVC de alta gama.
Escritorio y cama en cada habi
";getafe-madrid
425.000;Chalet adosado en Calle Saeta Perales del Rio;150;3;;/inmueble/106507006/;"
**¡Bienvenido a tu nuevo hogar! Casa Adosada Reformada con Jardín y Garaje**
Te presentamos esta encantadora casa adosada de 150 m², construida en 1986 y recién reformada, que combina comodidad y estilo en un entorno luminoso y acogedor. Con 3 amplios dormitorios y 2 baños, esta propiedad es ideal para familias que bu
";getafe-madrid
188.000;Piso en San Isidro Getafe;78;3;Planta 1ª exterior sin ascensor;/inmueble/107334596/;"
¡Fantástica oportunidad en San Isidro, Getafe!
Se vende amplio y luminoso piso en primera planta, ideal para inversores, ya que actualmente está alquilado con una renta mensual de 900 €, asegurando rentabilidad desde el primer día.
Características de la vivienda:
Superficie bien distribuida: Espacios amplios y fun
";getafe-madrid
190.000;Piso en San Isidro Getafe;79;3;Entreplanta exterior con ascensor;/inmueble/109049865/;"
Si buscas una vivienda con muchísimas posibilidades sin salir de tu zona, ¡este es tu momento!
La entrada cuenta con un amplio hall que distribuye la casa:
Cocina independiente, con acceso a una terraza interior y a un patio de uso privativo.
Salón comedor de 21 m², muy luminoso gracias a su gran ventanal exterior, con
";getafe-madrid
550.000;Chalet adosado en Sector 3 Getafe;240;3;;/inmueble/108601766/;"
Redpiso Getafe Sector 3 vende estupendo chalet adosado en Sector 3.
Dispone de 240 m2 de superficie construida, distribuidos en 4 plantas.
En planta principal encontramos un amplio salón independiente con salida a patio trasero de 42 m2, cocina reformada con office, baño con plato de ducha y amplio garaje de 23 m2.
L
";getafe-madrid
172.000;Piso en Getafe Centro Getafe;63;2;Planta 4ª exterior sin ascensor;/inmueble/108501803/;"
No es la primera vez que os presentamos una vivienda de similares características, es una oportunidad única a un precio muy competitivo.
Ubicación inmejorable, en una pequeña calle muy tranquila cerca de calles principales de Getafe como la calle Madrid y la calle General Palacios, además está a 7 minutos andando de la
";getafe-madrid
250.000;Piso en Calle Torrejón de Velasco San Isidro;70;3;Planta 3ª exterior con ascensor;/inmueble/108912025/;"
¡SIN COMISIONES AL COMPRADOR! En portal CON ASCENSOR instalado.
Piso de 3 dormitorios y un cuarto de baño en el barrio de San Isidro de Getafe, muy bien comunicado y cerca del centro y de las zonas más comerciales de Getafe. Con todos los servicios necesarios a mano. El piso cuenta con cocina, salón independiente con
";getafe-madrid
