precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
2.750;Piso en Gran Vía de Hortaleza Canillas;105;2;Planta 4ª exterior con ascensor;/inmueble/109262075/;"
¡VIVE EL VERDADERO LUJO EN MADRID! Este espectacular piso amueblado lo tiene todo para ofrecerte confort, estilo y exclusividad.
Publicasa te presenta esta vivienda de GRAN LUJO completamente amueblada, ubicada en una urbanización cerrada de alto nivel, con todas las comodidades que puedas imaginar.
El piso cuenta co
";hortaleza
2.400;Ático en Valdebebas - Valdefuentes Madrid;202;3;Planta 4ª exterior con ascensor;/inmueble/109264071/;"
Si sueñas con vivir en un espacio lleno de luz, amplitud y aire libre, este ático es para ti. Situado en Valdebebas, uno de los barrios más modernos, sostenibles y mejor comunicados de Madrid, esta vivienda combina diseño, comodidad y calidad de vida.
Su terraza en forma de L de 75 m² es el verdadero corazón de la casa
";hortaleza
1.000;Dúplex en Calle Manuel Pombo Angulo Sanchinarro;70;1;Planta 1ª exterior con ascensor;/inmueble/1398873/;"
Se alquila apartamento tipo LOFT, muy luminoso, en zona nueva y muy tranquila en el barrio de Sanchinarro, con un dormitorio con armario empotrado, salón, cocina equipada con muebles y electrodomésticos y baño.
Incluye DOS PLAZAS DE GARAJE dentro de la misma finca, agua caliente y climatización central con contadores
";hortaleza
7.500;Chalet adosado en Canillas Madrid;480;6;;/inmueble/40043599/;"
Fantástico chalet con piscina privada en la zona de Arturo Soría, a 10 mn andando del liceo francés, a 5 mn del metro Arturo Soria y varios autobuses.
- Planta baja: salón muy amplio con una chimenea central con salida a la terraza de 40 m2 y al jardín, garaje para 2 coches, bodega en el sótano y trastero.
- Planta p
";hortaleza
2.150;Piso en Calle de Esteban Palacios 1;130;2;Planta 3ª exterior con ascensor;/inmueble/109260196/;"
¡Descubre tu nuevo hogar en esta espectacular urbanización de lujo! Este gran piso de 130 m² cuenta con dos amplios dormitorios, ideal para disfrutar de la comodidad y el espacio que mereces. Al entrar, te recibe un recibidor muy amplio que te da acceso a un luminoso salón, perfecto para relajarte o recibir visitas. La
";hortaleza
1.390;Estudio en Camino de Montoro Valdebebas - Valdefuentes;Planta;43;;/inmueble/108832051/;"
Estudio con todo incluido en Bext Valdebebas!
Ofrecemos estancias flexibles —desde unos días hasta un año— completamente amueblado y equipado, listo para entrar a vivir. Una solución ideal para turistas, profesionales en movilidad, expatriados, estudiantes internacionales, empresas o particulares que valoran la comodi
";hortaleza
1.900;Piso en Avenida de los Arces Palomas;115;3;Planta 2ª exterior con ascensor;/inmueble/30488552/;"
LISTO PARA ENTRAR, en perfecto estado, RECIEN PINTADO Y ACUCHILLADO, ARMARIOS INTERIOR VESTIDOS A ESTRENAR, Acondicionado, calefacción individual gas natural. La cocina esta totalmente reformada con muebles de primera calidad, salón comedor muy luminoso con mirador, hall de entrada con 2 armarios empotrados, 3 dormitor
";hortaleza
1.450;Piso en Camino de Montoro Valdebebas - Valdefuentes;54;1;Planta 1ª exterior con ascensor;/inmueble/108841835/;"
Vivienda de 1 dormitorio con todo incluido en Bext Valdebebas!
Ofrecemos estancias flexibles —desde unos días hasta un año— completamente amueblado y equipado, listo para entrar a vivir. Una solución ideal para turistas, profesionales en movilidad, expatriados, estudiantes internacionales, empresas o particulares que
";hortaleza
1.344;Piso en Avenida de Francisco Pi y Margall Sanchinarro;68;2;Planta 8ª exterior con ascensor;/inmueble/109258887/;"
¡Descubre tu nuevo hogar en el corazón de Sanchinarro, Madrid! Este espectacular piso en alquiler, ubicado en la moderna urbanización Atrium, cuenta con 68m² distribuidos en 2 amplios dormitorios y 1 baño. La vivienda, en perfecto estado, ofrece una luminosidad excepcional gracias a sus grandes ventanales y su diseño i
";hortaleza
1.895;Piso en Camino de Montoro Valdebebas - Valdefuentes;80;2;Planta 1ª interior con ascensor;/inmueble/108844361/;"
Vivienda de 2 dormitorios con todo incluido en Bext Valdebebas!
Ofrecemos estancias flexibles —desde unos días hasta un año— completamente amueblado y equipado, listo para entrar a vivir. Una solución ideal para turistas, profesionales en movilidad, expatriados, estudiantes internacionales, empresas o particulares que
";hortaleza
