precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
1.290;Piso en Calle Clara Janés Leganés norte;85;3;Planta 4ª exterior con ascensor;/inmueble/109418979/;"
Vivienda en Leganés Norte, con plaza de garaje y trastero incluidos en en el precio, compuesta por 3 amplias habitaciones con armarios empotrados, gran salón independiente, cocina amueblada y equipada con electrodomésticos, 1 baño completo, armarios empotrados, calefacción Individual de gas natural y aire acondicionado
";leganes-madrid
1.200;Piso en Avenida Rey Juan Carlos I 73;62;2;Planta 2ª exterior con ascensor;/inmueble/109152923/;"
Alquiler de loft/piso en Leganés – Avenida Juan Carlos I, 73
Loft completamente nuevo de 62 m², sin amueblar, solo con cocina equipada con electrodomésticos nuevos, ideal como vivienda.
•2 habitaciones amplias
•Cocina equipada con electrodomésticos nuevos
•Baño completo
•PRIMER PISO con ascensor
Contrato: 11 meses re
";leganes-madrid
1.150;Estudio en duero Batallas;Bajo;53;;/inmueble/109304378/;"
¡HOGARES INMOBILIARIA ALQUILA!
Descubre este encantador piso en planta baja, actualizado y listo para entrar a vivir, ubicado en el barrio de San Nicasio.
Con una superficie de 60 m², este hogar cuenta con un amplio dormitorio que ofrece el espacio perfecto para descansar y disfrutar.
La vivienda cuenta con un ampl
";leganes-madrid
850;Piso en Calle de Sevilla Las Dehesillas-Vereda de los Estudiantes;50;1;Bajo exterior con ascensor;/inmueble/109362408/;"
Vivienda de 50m2 compuesta por 1 amplia habitación, gran salón comedor de paso con cocina americana, amueblada y equipada con electrodomésticos, 1 baño completo con plato de ducha, armarios empotrados, calefacción Individual de gas natural y aire acondicionado. Vivienda completamente exterior con suelos de tarima y amu
";leganes-madrid
1.000;Piso en Calle Juan Muñoz Casco Antiguo;65;1;Planta 3ª exterior con ascensor;/inmueble/109333040/;"
Vivienda exterior de obra nueva de 65 m², ubicada en una finca con ascensor. La propiedad se distribuye en un amplio salón independiente, 1 dormitorio, 1 baño completo y cocina americana totalmente amueblada y equipada con electrodomésticos.
La vivienda cuenta con ventanas tipo Climalit, aerotermia y armarios empotrad
";leganes-madrid
850;Estudio en Calle del Tulipán Casco Antiguo;Bajo;35;;/inmueble/109174951/;"
******LEER LA DESCRIPCION COMPLERTA! ******
La casa de tus sueños pone a su disposicion este bonito estudio nuevo a estrenar en alquiler.
Situado en el corazón de Leganés, junto al metro de ""casa del reloj"" con todos los servicios, comercios y medios de transporte a su disposición.
Es un estudio que se compone de salón
";leganes-madrid
1.245;Piso en Santos Leganés;63;3;Planta 2ª exterior con ascensor;/inmueble/109197431/;"
¡ALTA DE SUMINISTROS GRATIS!
Excelente vivienda de tres dormitorios y un baño. Se encuentra en la 2ª planta de un edificio residencial. Dispone de ascensor. Situado en CENTRO DE LEGANES en el distrito de Norte.
La vivienda se distribuye en tres dormitorios y, armarios empotrados, salón-comedor con acceso a terraza, c
";leganes-madrid
1.250;Piso en Calle de la Rioja Zarzaquemada;75;2;Planta 4ª exterior con ascensor;/inmueble/109370100/;"
Descubre este luminoso piso de 75 m², ideal para quienes buscan comodidad y diseño.
La vivienda cuenta con un amplio salón de estilo moderno, con gran ventanal que asegura luz natural y equipado con ventilador de techo. La cocina, abierta al salón, destaca por su isla central y electrodomésticos de alta gama, incluye
";leganes-madrid
1.200;Piso en Calle Río Manzanares 9;128;4;Planta 1ª exterior sin ascensor;/inmueble/109318502/;"
Se alquila estupenda vivienda exterior y muy luminosa de 128 m2 (115 de vivienda) según catastro. Consta de 4 dormitorios, 1 cuarto de baño, salón y cocina independiente equipada con electrodomésticos y salida a patio privado con zona de lavadero. Dispone de puerta blindada, suelos de gres, ventanas cliamlit, armarios,
";leganes-madrid
900;Estudio en Calle el Charco Casco Antiguo;Planta;22;25 sep ;/inmueble/109378490/;"
Se alquila piso reformado en Leganés, Madrid. Ideal para una persona que busque comodidad, modernidad y buena conexión con el centro de la ciudad.
La vivienda cuenta con 22 m² construidos, un baño completo con radiador toallero, una terraza privada y un salón con cocina. Se entrega totalmente amueblado y con electrodo
";leganes-madrid
1.200;Piso en Calle Coslada Valdepelayo-Montepinos-Arroyo Culebro;116;2;Bajo exterior con ascensor;/inmueble/109255115/;"
¡Hogares inmobiliaria alquila en Arroyo Culebro!
SOLO FUNCIONARIOS
Esta planta baja amplia en alquiler, ofrece un espacio ideal para disfrutar de la comodidad y la tranquilidad.
Cuenta con un luminoso salón comedor y una cocina independiente totalmente equipada.
Además, dispone de una terraza de 27 m2 perfecta p
";leganes-madrid
1.250;Piso en Ciudad Real 2;110;3;Planta 3ª exterior con ascensor;/inmueble/93537919/;"
Se ALQUILA piso AMUEBLADO de 3 habitaciones, 2 baños, cocina, salón con aire acondicionado, trastero, 2 plazas de garaje, portero/vigilante, parque infantil, zonas ajardinadas y Piscina.
Zona tranquila y bien comunicada con A-42, M-45 y M-50, colegio, escuela infantil, parques infantiles, supermercados, farmacia,.. .
N
";leganes-madrid
1.000;Estudio en Avenida de Vicente Aleixandre Casco Antiguo;Planta;40;;/inmueble/108811269/;"
Se alquila precioso estudio totalmente amueblado, consta de zona de cocina, zona de dormitorio, salón y baño con ducha, el estudio dispone de grandes ventanales por lo que la luz es muy buena, también tiene una terraza para disfrutar de los momentos de descanso.
En cuanto a la ubicación es inmejorable cerca del metro
";leganes-madrid
1.550;Piso en Avenida Vicente Ferrer Poza del Agua;114;3;Planta 4ª exterior con ascensor;/inmueble/108312742/;"
Caolves alquila estupendo piso, situado en una de las mejores zonas, cuenta con múltiples servicios a pie de calle, bien comunicado, estado impecable, urbanización con piscina de adultos e infantil, conserje y zonas ajardinadas.
vivienda distribuida en salón comedor, cocina totalmente equipada con electrodomésticos de
";leganes-madrid
1.200;Piso en Calle de las Alpujarras 40;67;3;Entreplanta exterior con ascensor;/inmueble/109377338/;"
En buen estado. Consta de tres habitaciones, salón, baño y cocina totalmente equipada.
";leganes-madrid
1.100;Piso en Calle Río Segura San Nicasio;75;2;Planta 1ª exterior sin ascensor;/inmueble/109354303/;"
¡ATENCIÓN! Piso amplio en alquiler junto a RENFE Leganés Central y la Universidad Carlos III
 ¡Tu nuevo hogar te espera!
Se alquila espectacular piso de 75 m², con 2 dormitorios, una cocina enorme equipada, y todas las comodidades que necesitas para vivir a gusto.
¡Ubicación TOP! A solo unos pasos de Renfe Leganés
";leganes-madrid
890;Piso en Flores Leganés;55;2;Planta 4ª exterior con ascensor;/inmueble/108502766/;"
Vivienda reformada y recién pintada de 55m2, distribuidos en 2 dormitorios, 1 baño con plato de ducha, salón con acceso a terraza y cocina amueblada y equipada.
Dispone de calefacción individual, aire acondicionado, suelos de gres, armarios, ventanas Climalit, es exterior muy luminoso y está sin amueblar.
Finca con a
";leganes-madrid
950;Estudio en Las Dehesillas-Vereda de los Estudiantes Leganés;Planta;44;;/inmueble/102235238/;"
Inmobiliaria Burdecor comercializa en regimen de alquiler este precioso apartamento, ubicado en la localidad de Leganés, barrio El Candil.
Apartamento de un dormitorio, baño con bañera, salón unido a cocina.
A/A de frio y de calor.
Armario empotrado en el dormitorio.
Carpintería exterior con rotura de puente térmico
";leganes-madrid
1.250;Dúplex en La Fortuna Leganés;76;2;Planta 3ª exterior con ascensor;/inmueble/109361176/;"
Inmobiliarias Encuentro ALQUILA en exclusiva vivienda EXTERIOR EN EL BARRIO DE LA FORTUNA LEGANÉS Y PLAZA DE GARAJE INCLUIDA EN PRECIO.
Con una superficie de 70M2. Planta baja salón, cocina y baño completo. En primera planta cuenta con dos dormitorios con armarios empotrados y con una excelente luz natural. , baño com
";leganes-madrid
