precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
299.900;Piso en Casco Antiguo Leganés;81;3;Planta 2ª interior con ascensor;/inmueble/109155206/;"
HOGARES LEGANÉS
VENDE EN EXCLUSIVA
OPORTUNIDAD!
Maravilloso piso reformado en la mejor zona de Leganés, se compone de;
Hall de entrada, tres dormitorios amplios, dos baños con plato de ducha y mampara; un GRAN SALÓN con salida a terraza abierta; cocina amplia muy luminosa con salida a tendedero.
Cuenta con suelo d
";leganes-madrid
365.000;Piso en Av Portugal El Carrascal;102;3;Planta 1ª exterior con ascensor;/inmueble/108946056/;"
**Piso en Venta en Ubicación Privilegiada - ¡Tu Nuevo Hogar Te Espera! **
Descubre este espectacular piso exterior situado en la primera planta con ascensor. Con 102 m² de construcción, este hogar ofrece una luminosidad excepcional gracias a su orientación norte-sur, que permite disfrutar de luz natural durante todo e
";leganes-madrid
235.000;Piso en Santos Leganés;73;2;Planta 2ª exterior con ascensor;/inmueble/108467798/;"
MISTERPISO VENDE EXCELENTE PISO EN LEGANES.
A 5 minutos de la universidad!
Acogedora vivienda en segunda planta con ascensor, la vivienda cuenta con dos habitaciones amplias, ( antes 3) un baño completo con plato de ducha y ventana, cocina amueblada con tendedero, este se ha utilizado también para parte de la cocina y
";leganes-madrid
288.900;Piso en Calle del Ampurdán Zarzaquemada;79;3;Planta 4ª exterior con ascensor;/inmueble/108880468/;"
HOGARES LEGANÉS pone a la venta en exclusiva este luminoso piso en una cuarta planta de siete pisos en el bloque, con excelentes vistas, ubicado en el barrio consolidado de Zarzaquemada (Leganés).
La vivienda destaca por su luz natural, su buen estado de conservación y una distribución cómoda y funcional.
Cuenta con
";leganes-madrid
122.000;Piso en Calle de la Bureba Zarzaquemada;40;2;Bajo exterior con ascensor;/inmueble/104778245/;"
HOGARES LEGANÉS pone a la venta en exclusiva este FANTÁSTICO LOCAL EXTERIOR de 2 dormitorios REFORMADO.
Local de 40 M2 para realizar el cambio de uso. Cuenta con 2 habitaciones, un cuarto de baño y cocina abierta al salón. Destacar la luminosidad durante todo el día gracias a su disposición completamente exterior.
Si
";leganes-madrid
589.990;Chalet adosado en Calle de Aveiro La Fortuna;245;3;;/inmueble/108191973/;"
HOGARES LEGANÉS pone a la venta en exclusiva este espectacular Chalet Adosado de Cuatro Plantas con Terraza y Buhardilla.
Amplio y luminoso chalet adosado de 245 m² distribuidos en cuatro plantas, ideal para familias que buscan confort y amplitud. La vivienda cuenta con tres dormitorios con armarios empotrados, dos ba
";leganes-madrid
186.000;Piso en Batallas Leganés;61;2;Bajo exterior con ascensor;/inmueble/109149410/;"
Piso en en planta baja!
Este luminoso inmueble cuenta con 2 dormitorios exteriores (antes 3 dormitorios), 1 baño amplio con plato de ducha y mampara, cocina amueblada con con office ideal para los amantes de comer en la cocina.
Suelos de tarima, calefacción por calor azul, puertas en roble, ventanas doble en alumini
";leganes-madrid
425.000;Piso en Plaza Salvador Casco Antiguo;178;4;Planta 3ª exterior con ascensor;/inmueble/107801953/;"
LÍNEA 12 PROYECTOS INMOBILIARIOS VENDE:
GRAN VIVIENDA en planta tercera con ascensor y TRASTERO en pleno casco antiguo de Leganés en zona de tránsito rodado solo para residentes.
La vivienda se distribuye en hall de entrada, cocina, despensa, salón, cuatro dormitorios (Uno de ellos en suite) y vestidor, dos cuartos d
";leganes-madrid
184.900;Piso en Batallas Leganés;64;2;Bajo exterior con ascensor;/inmueble/108910521/;"
HOGARES CENTRO
VENDE EN EXCLUSIVA MARAVILLOSO PISO EN LEGANÉS
La vivienda consta de; Hall de entrada, una increíble cocina totalmente equipada, 2 habitaciones de las cuales, una habitación individual con armario empotrado y una habitación principal, un salón con muy buena iluminación, un baño muy cómodo y espacioso.
";leganes-madrid
355.000;Piso en Carrascal El Carrascal;106;3;Planta 7ª exterior con ascensor;/inmueble/109420992/;"
HOGARES LEGANÉS pone a la venta en exclusiva esta fantástica vivienda situada en una séptima planta de un edificio con ascensor en la localidad de Leganés, con una superficie construida de 106 m².
Esta propiedad destaca por su excelente estado de conservación, ya que ha sido reformada recientemente, lo que la conviert
";leganes-madrid
365.000;Piso en San Nicasio Leganés;113;3;Bajo exterior con ascensor;/inmueble/108220091/;"
**Piso en Venta en el Barrio de San Nicasio, Leganés**
Descubre este amplio y luminoso piso en el corazón del Barrio de San Nicasio, Leganés. Con una excelente ubicación, a tan solo 5 minutos de la estación de Leganés Central (Metro y Renfe), este hogar es ideal para quienes buscan comodidad y accesibilidad. El inmueb
";leganes-madrid
295.000;Piso en Casco Antiguo Leganés;98;3;Planta 3ª exterior sin ascensor;/inmueble/108424293/;"
Piso junto a la Iglesia del Salvador!
Te presentamos esta espaciosa vivienda perfectamente situada en el casco histórico de Leganés, junto a una de las arterias principales de la ciudad.
¡Es más que un hogar, es una mejora de estilo de vida en una de las zonas más vibrantes y conectadas a Madrid!
Consta de 3 habitac
";leganes-madrid
360.000;Piso en Casco Antiguo Leganés;101;3;Planta 2ª exterior con ascensor;/inmueble/108846227/;"
¡Oportunidad única en el corazón de Leganés!
Este amplio piso de 101m² Construidos, se encuentra en el encantador casco antiguo, a un paso de la Universidad Carlos III y rodeado de todas las comodidades que ofrece una zona céntrica y tranquila.
A pocos minutos de Plaza España y Plaza Fuente Honda, y con excelente co
";leganes-madrid
620.000;Dúplex en Calle Amsterdam Solagua;179;4;Planta 4ª exterior con ascensor;/inmueble/108086725/;"
ÚNICO EN SOLAGUA: ÁTICO DÚPLEX CON TERRAZA DE 44 m², 2 PLAZAS DE GARAJE Y CONSERJE
Te presentamos una vivienda exclusiva en una de las zonas más demandadas de Leganés: un ático dúplex con dos plantas, amplio, luminoso y pensado para disfrutar tanto en familia como para quienes buscan un hogar cómodo donde teletrabaja
";leganes-madrid
179.900;Piso en Batallas Leganés;67;3;Bajo exterior con ascensor;/inmueble/109420242/;"
HOGARES LEGANES CENTRO
VENDE EN EXCLUSIVA MARAVILLOSO PISO EN EL CENTRO DE LEGANÉS
Descubre este encantador piso de 65m², ideal para disfrutar de la vida en familia. Al entrar, te recibe un hall de entrada. El piso cuenta con un amplio salón lleno de luz natural, perfecto para relajarse o recibir visitas. La cocina,
";leganes-madrid
289.900;Piso en Calle del Priorato Zarzaquemada;81;3;Planta 4ª exterior con ascensor;/inmueble/109418169/;"
URBAN VENDE! Descubre tu nuevo hogar en este luminoso piso exterior totalmente reformado! Ubicado a menos de 200 metros de la estación de tren Zarzaquemada, este silencioso inmueble ofrece la combinación perfecta de comodidad y tranquilidad, con 81 m².
La vivienda cuenta con un amplio salón, con un despacho contiguo,
";leganes-madrid
390.000;Piso en Campo de Tiro Leganés;151;4;Planta 1ª exterior con ascensor;/inmueble/109325677/;"
 Vivienda en exclusiva en Leganés – Zona Campo de Tiro
URBAMAR pone a la venta, en exclusiva, una fantástica vivienda ubicada en la zona Campo de Tiro de Leganés, a solo 1 minuto andando del Metro San Nicasio.
La vivienda se distribuye en:
4 amplios dormitorios con armarios empotrados.
Luminoso salón-comedor indep
";leganes-madrid
284.823;Piso en Calle Santa Lucia 6;70;2;Bajo exterior con ascensor;/inmueble/107008793/;"
Descubre Residencial Santa Lucía, un exclusivo desarrollo en la zona de La Fortuna, Leganés, que te ofrece la oportunidad de vivir en un entorno privilegiado.
Este proyecto consta de 8 viviendas de 1, 2 y 3 dormitorios, perfectas para adaptarse a diferentes necesidades familiares.
Características principales:
6 viv
";leganes-madrid
328.660;Dúplex en Calle Santa Lucia 6;65;2;Planta 2ª exterior con ascensor;/inmueble/107008924/;"
Descubre Residencial Santa Lucía, un exclusivo desarrollo en la zona de La Fortuna, Leganés, que te ofrece la oportunidad de vivir en un entorno privilegiado.
Este proyecto consta de 8 viviendas de 1, 2 y 3 dormitorios, perfectas para adaptarse a diferentes necesidades familiares.
Características principales:
6 viv
";leganes-madrid
179.900;Piso en Calle Río Tajo San Nicasio;74;3;Planta 1ª exterior con ascensor;/inmueble/109155792/;"
¡HOGARES LEGANES SAN NICASIO VENDE!
Fantástica PRIMERA planta en el barrio de San Nicasio. A tan solo 4 minutos del Metro San Nicasio y a 7 minutos de Renfe Leganés Central.
Con una superficie de 74m2, esta vivienda cuenta con un hall de entrada, un amplio salón comedor, una cocina, tres dormitorios, un baño y terraz
";leganes-madrid
229.900;Piso en Avenida Doctor Mendiguchía Carriche San Nicasio;80;2;Planta 1ª exterior sin ascensor;/inmueble/109393408/;"
¡HOGARES LEGANES SAN NICASIO VENDE!
PRIMERA PLANTA COMPLETAMENTE REFORMADA en el barrio de San Nicasio. A tan solo 3 minutos del Metro San Nicasio y a 7 minutos de Renfe Leganés Central.
Con una superficie de 80m2, esta vivienda cuenta con un hall de entrada, un amplio salón comedor, dos dormitorios (antes de la refo
";leganes-madrid
220.000;Piso en Casco Antiguo Leganés;60;2;Bajo interior con ascensor;/inmueble/109368070/;"
¡Increíble oportunidad de adquirir un acogedor piso en el corazón de Leganés!
Este luminoso inmueble cuenta con 2 dormitorios, un baño completo y una cocina totalmente equipada con electrodomésticos.
Con una excelente ubicación cerca de transporte público, zonas comerciales, universidades, restaurantes, hospitales
";leganes-madrid
177.000;Piso en Calle Río Manzanares San Nicasio;70;3;Bajo exterior sin ascensor;/inmueble/109213421/;"
INMOBILIARIA EN SAN NICASIO - TECNOCASA ESTUDIO RÍO DUERO S. L
¡PLANTA BAJA, EN SAN NICASIO! Esta situado en muy buena zona, cerca de Metrosur San Nicasio, Renfe Leganés-Central, universidad Carlos III y centro de Leganés.
El piso consta de entrada, salón, cocina, baño y 3 dormitorios.
Está situado en muy buena zona
";leganes-madrid
183.000;Piso en San Nicasio Leganés;57;2;Planta 4ª exterior con ascensor;/inmueble/109063043/;"
Identificación del inmueble: ID0379
Se vende este acogedor piso en ultima planta con ascensor, ubicado en una zona céntrica con todos los servicios a tu alcance, junto a la Universidad Carlos III y a tan solo 350 metros de Santa Rosa-Estación Leganés Central.
La vivienda cuenta con una distribución funcional y luminos
";leganes-madrid
199.900;Piso en Calle Río Tajo San Nicasio;72;3;Planta 3ª exterior sin ascensor;/inmueble/108888789/;"
¡HOGARES LEGANES SAN NICASIO VENDE!
TERCERA planta con PLAZA DE GARAJE en el barrio de San Nicasio. A tan solo 5 minutos del Metro San Nicasio y a 7 minutos de Renfe Leganés Central.
Con una superficie de 72m2, esta vivienda cuenta con un hall de entrada, un amplio salón comedor, una cocina, tres dormitorios, un bañ
";leganes-madrid
274.900;Piso en Calle del Ampurdán Zarzaquemada;69;2;Planta 3ª exterior con ascensor;/inmueble/109305067/;"
HOGARES LEGANÉS pone a la venta en exclusiva este luminoso piso en una tercera planta de diez pisos en el bloque, con excelentes vistas, ubicado en el barrio consolidado de Zarzaquemada (Leganés).
La vivienda destaca por su luz natural, su buen estado de conservación y una distribución cómoda y funcional.
Cuenta con
";leganes-madrid
180.000;Piso en carmen La Fortuna;72;3;Planta 1ª exterior sin ascensor;/inmueble/109191653/;"
HOGARES LEGANÉS LA FORTUNA pone a la venta en exclusiva este estupendo piso exterior de 72 m², en muy buen estado y listo para entrar a vivir, ubicado en el barrio de La Fortuna, una zona tranquila y familiar de Leganés.
La vivienda ofrece una distribución cómoda y funcional, dispone de tres dormitorios amplios y lumi
";leganes-madrid
365.000;Piso en Avenida de Francia El Carrascal;111;4;Planta 1ª exterior con ascensor;/inmueble/107600380/;"
HOGARES LEGANÉS pone a la venta en exclusiva esta FANTÁSTICA VIVIENDA en una de las mejores zonas del barrio de El Carrascal. Ubicado en una primera planta, considerada 2ª.
La vivienda de 111 M2 dispone de un hall recibidor, que distribuye a todas las estancias de la vivienda.
Su salón independiente con doble ventana
";leganes-madrid
