precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
1.335.000;Piso en Calle del Carril de los Caleros Aravaca;157;3;Planta 2ª exterior con ascensor;/inmueble/106702840/;"
Impecable piso de 157 m² con terraza de 130 m² en venta en urbanización cerrada con piscina. En buenísima ubicación por cercanía a zona comercial y de ocio, servicios y bien comunicada por transporte público y principales carreteras. Distribución:
· Amplio hall de recibo.
· Aseo de visitas.
· Armario gabanero.
· Cocina office con tendedero y salida a terraza.
· Salón comedor con salida a terraza.
· Dos dormitorios.
· Baño completo.
· Dormitorio principal con vestidor y baño completo.
Puedes ver más inmuebles en nuestra página web.
Entre el M
";moncloa
9.000.000;Casa o chalet independiente en Calle Eibar El Plantío;1.674;9;;/inmueble/106751275/;"
Impresionante independiente de 1.600 m² sobre una parcela de 2.890 m² ubicado en un exclusivo recinto privado con vistas al Monte de El Pardo en La Florida.
Si hay una ubicación privilegiada para vivir en un entorno natural sin igual y a la vez estar a menos de 10 minutos del centro es la prestigiosa urbanización de La Florida, una de las urbanizaciones más exclusivas de Madrid presidida por el Monte de El Pardo.
Esta exclusiva vivienda se encuentra a su vez situada en un recinto privado para un selecto número de vecinos permitiendo disfruta
";moncloa
1.335.000;Piso en Calle del Carril de los Caleros Aravaca;195;3;Planta 2ª exterior con ascensor;/inmueble/106611139/;"
Bonito piso con terraza en Aravaca
Engel&Völkers presenta esta espectacular vivienda en segunda planta, con una impresionante terraza perimetral de más de 130 metros, uno de los mayores atractivos de la casa. Este generoso espacio exterior, que rodea la propiedad, le ofrece a los nuevos propietarios la posibilidad de personalizarla a su gusto.
Con una distribución pensada para aprovechar al máximo cada metro cuadrado, la casa cuenta con 3 dormitorios: la habitación principal cuenta con un amplio vestidor y baño en suite, y dos habitaciones adic
";moncloa
9.000.000;Casa o chalet independiente en Calle Eibar s/n;1.674;9;;/inmueble/107346813/;"
La Florida, increíbles VISTAS a EL PARDO. Dentro de calle PRIVADA con garita de seguridad.
Gran proyecto de arquitectura con las 1º calidades del mercado.
28 placas solares
SPA
Paddle
Suelo radiante
Ascensor
Fachada de piedra caliza
Madera de Iroco
Gran altura de techos
La propiedad está distribuida de la siguiente manera:
Planta de acceso:
Gran hall con gran altura de techos.
Gran salón en 2 ambientes con chimenea y salida al jardín.
Comedor con doble altura de techos y salida al jardín.
Cocina perfectamente equipada, con comedor de diario
";moncloa
2.500.000;Casa o chalet independiente en Calle del Valle de Toranzo Valdemarín;761;11;;/inmueble/96292622/;"
Excelente propiedad en ubicación inmejorable en Valdemarín.
La propiedad consta de 3 viviendas en una fabulosa parcela llana y despejada, alejada de ruidos en Valdemarín.
3 viviendas unifamiliares con un total 761 m² en parcela de 2.517 m².
Normativa 8.1. a
La 1º vivienda se distribuye en salón independiente, cocina, 5 habitaciones y 5 cuartos de baño.
La 2º vivienda cuenta con salón independiente, cocina, 3 habitaciones y 3 cuartos de baño.
La 3º vivienda dispone de salón independiente, cocina, 2 habitaciones y 2 cuartos de baño.
Pued
";moncloa
2.200.000;Casa o chalet independiente en Avenida de Fuentelarreina Ciudad Universitaria;510;5;;/inmueble/103342470/;"
Chalet Independiente en PUERTA DE HIERRO - FUENTELARREYNA, sobre parcela de 1.280m2. Con una vivienda de 510m2 en 3 plantas de estilo Norte Europeo.
La parcela es muy plana y la casa está distribuida de la siguiente manera:
Planta 0:
Hall de entrada
Gran salón en 3 ambientes con chimenea
Gran comedor
Sala de estar tipo ""TV Room""
Aseo de cortesía
Gran Cocina con Office
Zona de lavandería
Planta 1:
4 grandes dormitorios en suite, cada uno con su baño completo incorporado. El dormitorio principal que es uno de estos 4, tiene un vestidor.
Plant
";moncloa
1.195.000;Piso en Calle de Evaristo San Miguel Argüelles;87;2;Planta 4ª exterior con ascensor;/inmueble/108856132/;"
Diza Consultores Inmobiliarios presenta este espectacular piso de obra nueva en la prestigiosa promoción Debod Homes, en la calle Evaristo San Miguel, a escasos pasos del Parque del Oeste y el Templo de Debod.
Se trata de una cuarta planta exterior con 87m² construidos, que destaca por su luminosidad, su diseño moderno y su excelente ubicación. La vivienda cuenta con dos dormitorios, dos baños completos y un amplio espacio diáfano que integra el salón-comedor con la cocina abierta, completamente equipada con electrodomésticos de alta gama.
La
";moncloa
4.500.000;Casa o chalet independiente en Calle Peguerinos Ciudad Universitaria;730;5;;/inmueble/103478338/;"
Colonia de Puerta de Hierro, chalet independiente, salón con techos de doble altura, grandes ventanales con gran entrada de luz distribuida de la siguiente manera:
Planta de acceso: Salón comedor con techos altos, despacho junto a la entrada, sala multiusos (Playing Room), Cocina con office y electrodomésticos Miele y Siemens.
1º Planta: Suite principal con 2 baños, 2 vestidores y terraza. 3 dormitorios con sus 3 baños y terrazas.
2º Planta: 2 salas multiusos.
Sótano: 2 dormitorios de servicio, cuarto de plancha, despensa, 1 baño completo,
";moncloa
4.500.000;Casa o chalet independiente en Aravaca Madrid;545;5;;/inmueble/107514241/;"
DIZA Consultores presenta espectacular chalet independiente de obra nueva en Aravaca, con las mejores calidades, jardín, piscina y espacios amplios.
Se trata de una vivienda con una combinación de lujo, privacidad y confort, ideal para aquellos que buscan un estilo de vida sin igual, con acceso a un sinfín de comodidades. Perfecta para familias o personas que valoren la amplitud y el diseño.
La casa se distribuye en tres plantas, con una superficie de 545 metros cuadrados construidos sobre una parcela de casi 1.000 que destaca por su excelen
";moncloa
2.890.000;Casa o chalet independiente en Ciudad Universitaria Madrid;604;6;;/inmueble/108565052/;"
Puerta de Hierro - Fuentalarreina: Colonia de chalets muy cerca del Monte de El Pardo.
Propiedad de estilo clásico, en parcela de 1.050m2, con un bonito jardín en parcela plana. Además de este jardín, este conjunto de 7 chalets adosados goza de una explanada cerrada a modo de zonas comunes para que los niños jueguen en un entorno de seguridad.
Con una alta eficiencia energética, debido a las placas solares y la climatización por aerotermia hacen que los gastos de consumo y mantenimiento sean bajos.
La distribución es la siguiente:
Planta de
";moncloa
