precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
920;Piso en Calle de San Claudio Palomeras sureste;65;2;Planta 2ª exterior sin ascensor;/inmueble/109262877/;"
REF 703912 Estupendo piso exterior de 65m2 con reforma integral, con dos habitaciones, un baño con ducha y columna hidromasaje, armarios empotrados, cocina amueblada y equipada con electrodomésticos a estrenar, tendedero, calefacción individual eléctrica, aire acondicionado en salón y habitación principal, suelo de tar
";puente-de-vallecas
850;Piso en Calle de Callejo San Diego;32;1;Bajo interior sin ascensor;/inmueble/108779352/;"
Precioso piso de 1 dormitorios y un baño. La vivienda está situada en una planta en planta baja sin ascensor.
Dicha vivienda dotaría de 1 dormitorio, salón comedor, baño independiente y cocina (cocina amueblada y equipada con LAVADORA, FRIGORIFICO, HORNO, VITRO Y CAMPANA). La vivienda cuenta con suelos de gres en tod
";puente-de-vallecas
1.000;Estudio en Calle de González Soto 6;;40;5 horas;/inmueble/102237081/;"
DISPONIBLE A PARTIR DEL 1 DE ENERO 2026.
Alquiler por mes: 1000€ gastos incluidos si es para solo un mes
Para mas meses serían 1000€ mas gasto de luz (agua incluida) y wifi (15€ al mes en el caso de que se quiera)
Piso en alquiler completamente amueblado con electrodomésticos nuevos, incluye: nevera, lavadora, secad
";puente-de-vallecas
850;Piso en Calle tomás esteban San Diego;35;2;Planta 4ª interior sin ascensor;/inmueble/34095959/;"
Magnifico piso de dos dormitorios muy próximo a la calle Martinez de la Riva, distribuido en:
*Salón comedor sin amueblar.
*Cocina abierta, amueblada con muebles en color blanco y equipada con frigorífico, lavadora y vitrocerámica.
*Dos dormitorios sin amueblar.
*Baño completo con plato de ducha y ventanal.
En cuanto
";puente-de-vallecas
1.800;Piso en Ronda del Sur Entrevías;70;3;Planta 2ª exterior sin ascensor;/inmueble/109260258/;"
PISO PREMIUM EN ALQUILER - ENTREVÍAS (MADRID).
Vivienda exclusiva, totalmente reformada con calidades superiores, ubicada en una zona de entrevías y bien comunicada. Una combinación perfecta entre diseño contemporáneo, confort y funcionalidad.
 CARACTERÍSTICAS DESTACADAS DE LUJO
Diseño interior de autor, con acabado
";puente-de-vallecas
1.850;Piso en Calle de los Andaluces Palomeras sureste;130;3;Planta 4ª exterior con ascensor;/inmueble/109219034/;"
Piso HIVE con TODO INCLUIDO.
SIN COMISIÓN DE AGENCIA!
Vivienda reformada con muebles nuevos a estrenar en una de las mejores zonas residenciales de Madrid, justo enfrente del Parque del Cerro del Tío Pío, con vistas espectaculares y una ubicación inmejorable.
La vivienda cuenta con un amplio y luminoso salón con gra
";puente-de-vallecas
1.190;Piso en Calle de la Maquinilla Palomeras sureste;70;2;Planta 6ª exterior con ascensor;/inmueble/109259847/;"
Estupendo piso reformado distribuido en 2 habitaciones, salón independiente, cocina completamente equipada, 2 cuartos de baño completos, armarios empotrados, aire acondicionado bomba de frio y calor. La vivienda es exterior, se entrega sin amueblar, la finca cuenta con ascensor, jardines, piscina, instalaciones deporti
";puente-de-vallecas
1.560;Piso en Calle de la Diligencia 10;73;2;Planta 4ª exterior con ascensor;/inmueble/106011972/;"
¡NO ESPERES A QUE LO ALQUILEN! HAZ TU PRERESERVA POR 500€ Y GANA PRIORIDAD.
REALIZAMOS VISITAS VIRTUALES PARA QUE PUEDAS VER CIENTOS DE PROPIEDADES A DISTANCIA, ¡LO QUE AHORRARA TIEMPO Y DINERO!
YOUHOMEY es una plataforma de alquiler en línea que permite a los inquilinos reservar propiedades de forma instantánea y se
";puente-de-vallecas
1.200;Ático en Calle del Doctor Lozano 15;93;2;Planta 3ª exterior con ascensor;/inmueble/109259211/;"
Se alquila estupenda vivienda tipo Ático dúplex con terraza de 93 m2 (80 m2 útiles según catastro) exterior y muy luminosa en finca con ascensor.
Plaza de garaje incluida en el precio.
Está distribuida de la siguiente manera:
Planta 1: Cocina equipada con electrodomésticos, 1 dormitorio y cuarto d baño.
Planta 2: Ampl
";puente-de-vallecas
1.065;Piso en Calle del Puerto de Suebe 17;45;1;Planta 1ª exterior con ascensor;/inmueble/104870282/;"
¡NO ESPERES A QUE LO ALQUILEN! HAZ TU PRERESERVA POR 500€ Y GANA PRIORIDAD.
REALIZAMOS VISITAS VIRTUALES PARA QUE PUEDAS VER CIENTOS DE PROPIEDADES A DISTANCIA, ¡LO QUE AHORRARA TIEMPO Y DINERO!
YOUHOMEY es una plataforma de alquiler en línea que permite a los inquilinos reservar propiedades de forma instantánea y se
";puente-de-vallecas
