precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
2.300;Piso en Calle del Alcalde Sainz de Baranda Ibiza;125;3;Planta 7ª interior con ascensor;/inmueble/109263838/;"
Vivienda totalmente reformada de 125m2, distribuida en 3 dormitorios dobles, amplio salón-comedor, cocina amueblada y equipada y 2 baños completos, calefacción individual de gas natural, AA/CC con bomba de frío y calor, armarios empotrados, ventanas climalit oscilobatientes con rotura de puente térmico, puerta acorazad
";retiro
2.000;Piso en Calle de Ibiza Ibiza;83;2;Planta 3ª interior con ascensor;/inmueble/109008175/;"
REMAX Fidelity alquila un acogedor piso de dos dormitorios en el corazón
del Barrio de Retiro a escasos metros del parque y de la parada de metro de Ibiza.
Ubicado en la tercera planta del edificio es un piso interior acogedor, silencioso y con buena iluminación al tener una gran ventana a un gran patio.
La propiedad
";retiro
1.500;Piso en Calle de Narváez Ibiza;40;2;Planta 1ª interior con ascensor;/inmueble/104225368/;"
NUEVO A ESTRENAR alquiler en RETIRO-IBIZA!
Este apartamento a estrenar te espera con los brazos abiertos. Ubicado en una finca construida en 1934, cuenta con ascensor y se encuentra en la primera planta, lo que te garantiza comodidad y accesibilidad.
Con una superficie de 42 m2, este acogedor piso ha sido recienteme
";retiro
1.200;Piso en Calle de Luis Peidró Adelfas;55;1;Planta 1ª exterior con ascensor;/inmueble/108894587/;"
PISO EXTERIOR, AMUEBLADO, UN DORMITORIO, UN BAÑO, TRASTERO Y ZONAS COMUNES CON JARDINES, GIMNASIO Y PISCINA.
Se trata de una 1ª planta de 55 metros construidos y 50 metros útiles.
Distribución:
- Salón- Cocina
- Un dormitorio.
- Baño.
- Trastero
Todas las estancias independientes.
Se encuentra situado en Pacífico
";retiro
2.600;Piso en CL Alfonso XII 52;107;2;Semi-sótano exterior con ascensor;/inmueble/109262693/;"
piso sobre calle Alfonso XII, frente al parque del Retiro, barrio Gerónimos, muy próximo a estación de Atocha, museo Del Prado, Jardín Botánico, ubicación privilegiada, ubicado en planta semisotano, con ascensor, ventanas exteriores a la calle Alfonso XII e interiores con vistas a jardín botánico, por el frente con alt
";retiro
1.600;Piso en Calle de Játiva 7;97;2;Planta 2ª exterior con ascensor;/inmueble/104113344/;"
Excelente vivienda de dos habitaciones recién reformada lista para entrar a vivir, la urbanización cuenta con zonas ajardinadas, columpios, padel, piscina, trastero y plaza de garaje, situada en el barrio del retiro, una de las mejores zonas de Madrid, con orientación noroeste.
Se encuentra en la planta 2 del edificio
";retiro
1.600;Piso en Calle de Ibiza Ibiza;38;2;Planta 1ª interior con ascensor;/inmueble/109262421/;"
¡Descubre tu nuevo hogar en el corazón del Retiro! Este encantador apartamento reformado y amueblado combina un estilo moderno con la comodidad de una ubicación estratégica. Con 38 m², cuenta con dos acogedores dormitorios y un baño, ideal para estudiantes y profesionales que buscan un espacio funcional y atractivo.
";retiro
3.800;Piso en Calle de Juan de Urbieta Niño Jesús;245;4;Planta 3ª exterior con ascensor;/inmueble/106854344/;"
HALFEN Real Estate alquila vivienda completamente REFORMADA y AMUEBLADA, con acabados de lujo.
La ubicación es inmejorable, a solo unos minutos del icónico Parque del Retiro, permitiendo disfrutar de uno de los pulmones verdes más importantes de Madrid.
Esta vivienda es la combinación perfecta entre diseño, funcio
";retiro
969;Estudio en Avenida de Menéndez Pelayo Pacífico;Entreplanta;30;4 horas;/inmueble/109260088/;"
**Estudio en Alquiler en el Corazón de Madrid**
Descubre este encantador estudio de 30 m², ideal para quienes buscan comodidad y estilo en la capital. Totalmente reformado, este espacio cuenta con un salón acogedor y un dormitorio que ofrece la tranquilidad necesaria para descansar. La cocina, amueblada y equipada con
";retiro
2.200;Piso en Ibiza Madrid;75;2; interior con ascensor;/inmueble/107475448/;"
Divino. Al lado del parque del retiro
piso alto y luminoso de dos dormitorios y dos baños, uno en suite, reformado y totalmente amueblado. Calefacción central y aire acondicionado todos los servicios incluidos en elprecio wifi tambien
disponible a partir de 1 de julio
alquiler de temporada
mínimo 3 meses max. 11
";retiro
2.800;Piso en Avenida de la Ciudad de Barcelona Pacífico;150;3;Planta 3ª exterior con ascensor;/inmueble/109257408/;"
Exclusivo piso reformado con acabados de lujo en el distrito de Retiro
Ubicado a menos de diez minutos a pie del emblemático Parque del Retiro y de la Estación de Atocha, este magnífico piso ha sido totalmente reformado con materiales y acabados de primera calidad.
La vivienda cuenta con una cocina de diseño equipada
";retiro
1.800;Ático en Adelfas Madrid;75;2; exterior;/inmueble/109174165/;"
Everystreet alquila
, ATICO en zona de Retiro, cerca de
plaza conde de casal y metro pacifico
Calefaccion central y agua caliente central
- Muy luminoso.
- 7º planta (última), orientado al sur.
- plaza de garaje pequeña (incluido en el precio)
ascensor
- portero físico
- completamente amueblado y cocina totalmen
";retiro
1.500;Piso en Paseo de la Infanta Isabel Jerónimos;90;2;Planta 1ª interior con ascensor;/inmueble/103695669/;"
VILLA GESTIONES INMOBILIARIAS gestiona en EXCLUSIVA el alquiler de este piso totalmente reformado ubicado a tan sólo 350 metros de la ESTACIÓN MADRID-PUERTA DE ATOCHA.
SIN AMUEBLAR y equipado con electrodomésticos.
Dispone de: 2 dormitorios muy amplios, uno de ellos con armario empotrado, amplio salón, cocina totalmen
";retiro
2.100;Piso en Calle del Alcalde Sainz de Baranda Ibiza;95;3;Planta 4ª exterior con ascensor;/inmueble/105893061/;"
¡Estupendo piso exterior muy luminoso en el corazón del Retiro!
DISPONIBLE A PARTIR DEL 1 DE OCTUBRE PERO SE PUEDE VISITAR YA!
Descubre este magnífico piso de 95 m² situado en la cuarta planta de un edificio con ascensor, en una de las zonas más cotizadas de Madrid, a tan solo dos minutos a pie del emblemático Parque
";retiro
1.250;Piso en Paseo de la Reina Cristina Jerónimos;50;1;Planta 2ª exterior con ascensor;/inmueble/109255648/;"
¡espectacular estudio en jerónimos! .
***** condiciones económicas de entrada*****
disponibilidad INMEDIATA!
mes en curso+ 1 mes de fianza+ 1 mes de garantía adicional+ 1 mensualidad de personal shopper+iva.
Interesados contactar telefónicamente O al WhatsApp (CRISTINA-666_88_35_36)
****Estudio reformado y amueblado
";retiro
1.700;Piso en Avenida de la Ciudad de Barcelona 31 -41;90;3;Planta 2ª exterior con ascensor;/inmueble/100498578/;"
ALQUILER DE PISO EN LA AVENIDA CIUDAD DE BARCELONA, METRO MENENDEZ PELAYO, Barrio de PACÍFICO, MADRID. Piso exterior, planta segunda, totalmente reformado, planta 2ª con ascensor, portero físico, calefacción central y agua incluidos en la cuota mensual, aire acondicionado por conductos en toda la vivienda. Agua calient
";retiro
2.200;Piso en Calle del Pez Volador Estrella;155;4;Planta 1ª exterior con ascensor;/inmueble/109239503/;"
GRAN PISO EXTERIOR EN RETIRO CON TERRAZA, GARAJE Y TRASTERO
Se trata de una vivienda de esquina, muy luminosa, amueblada y decorada con estilo moderno y funcional, en una primera planta rodeada de jardines con vistas al parque de Roma.
Tiene una inmejorable distribución, ya que por un lado está la zona de descanso y
";retiro
3.100;Piso en Calle de Ibiza Ibiza;120;4;Planta 4ª exterior con ascensor;/inmueble/105273814/;"
Piso HIVE con TODO INCLUIDO. IDEAL COMPARTIR
Este espacioso piso cuenta con un amplio salón, cuatro habitaciones dobles, una cocina totalmente equipada y dos baños completos. Es ideal para estudiantes o trabajadores jóvenes que deseen compartir. Ubicado junto al parque del Retiro, ofrece un ambiente animado y dinámico
";retiro
1.600;Piso en Calle de Granada 40;60;2;Planta -1 interior sin ascensor;/inmueble/109254604/;"
Piso reformado a estrenar de 60 m² en Pacífico/Retiro.
Dispone de salón luminoso, 2 habitaciones interiores, cocina equipada con electrodomésticos nuevos, 1 baño completo y 1 aseo. Incluye patio de uso privativo de 8 m² y aire acondicionado con bomba frío/calor.
Precio: 1.600 €/mes con agua y WiFi incluidos (luz aparte
";retiro
3.600;Piso en Calle de Fernán González 44;125;3;Planta 1ª interior con ascensor;/inmueble/108597731/;"
Abstenerse estudiantes
¡Sin comisión de agencia!
Alquiler Larga temporada
Magnifico piso en Barrio Ibiza entre el Hospital Materno y el Parque del Retiro. Interior con mucho encanto y magnifica luz natural. Se encuentra amueblado y dispone de tres dormitorios grande, dos baños (uno de ellos en suite incorporado al dorm
";retiro
1.650;Piso en Avenida del Mediterráneo Pacífico;80;3;Planta 2ª interior con ascensor;/inmueble/109254586/;"
¡CLICKHAUS ALQUILA EN EXCLUSIVA!
Excepcional vivienda de tres habitaciones reformada en el barrio de Pacífico.
Le presentamos esta magnífica propiedad que destaca por su cuidada actualización, su confort moderno y una ubicación inmejorable en una de las zonas más consolidadas y valoradas de Madrid.
Características d
";retiro
2.600;Piso en Calle de Sirio Estrella;164;5;Planta 6ª exterior con ascensor;/inmueble/108713005/;"
DIZA Consultores presenta en alquiler Amplio Piso Exterior con Garaje en Estrella – 5 Dormitorios y 3 Baños
Se alquila luminoso y espacioso piso en la zona de Estrella, con una superficie de 164 m² distribuidos de forma funcional y cómoda. La vivienda cuenta con 4 dormitorios principales, una habitación de servicio y
";retiro
1.190;Piso en Calle del Alcalde Sainz de Baranda Ibiza;57;1;Planta 7ª interior con ascensor;/inmueble/109254040/;"
Alquiler temporal – Hasta 11 meses, solo estudiante
Luminoso piso interior en planta alta, ubicado en una séptima planta con vistas a un amplio y tranquilo patio de manzana.
Cuenta con una superficie construida de 57 m² y 45 m² útiles.
Distribución del inmueble:
Hall de entrada.
Amplio salón-comedor con excelente
";retiro
