precio,localidad,tamanio,habitaciones,descripcion,link,descripcion_larga,distrito
760.000,Ático en Calle de Luis Mitjans Adelfas,95,2,Planta 4ª exterior con ascensor,/inmueble/108336058/,"
Exclusivo ático con piscina y terraza en Retiro
Bienvenido a un exclusivo ático en el corazón de Madrid, donde el lujo y la comodidad se encuentran en perfecta armonía. Con una superficie total de 95 metros cuadrados, este elegante hogar ofrece un espacio habitable de 73 metros cuadrados, cuidadosamente diseñado para brindar una experiencia de vida sofisticada. Construido en el año 2000 y mantenido en excelentes condiciones, este apartamento cuenta con dos amplios dormitorios y dos baños, lo que lo convierte en el refugio ideal para quienes bus
",retiro
770.000,Piso en Calle de Valderribas Pacífico,134,4,Planta 5ª exterior con ascensor,/inmueble/108721036/,"
Piso exterior en Pacífico, con terraza
Engel & Völkers presenta este fantástico piso exterior ubicado en Pacífico, cerca del Parque del Retiro. Con 134 m2 construidos, la propiedad ofrece un gran potencial de reforma, permitiéndote crear el hogar de tus sueños.
Ubicado en una 5ª planta, el inmueble cuenta con un amplio salón-comedor, ideal para reuniones familiares o momentos de relajación, y un recibidor que conecta los espacios de manera armoniosa.
La cocina independiente con área de comedor destaca por su funcionalidad y acceso a una zona
",retiro
4.800.000,Piso en Calle de Antonio Maura Jerónimos,291,4,Planta 3ª exterior con ascensor,/inmueble/108698077/,"
Jerónimos: A ESTRENAR, con TERRAZA y PLAZA de GARAJE, en edificio representativo de la zona.
Reformado con calidades premium, este piso con grandes estancias está distribuido de la siguiente manera:
Buena zona de recibo
Cocina con isla y electrodomésticos MIELE.
Comedor
Aseo de cortesia.
Salón en 3 ambientes
Terraza con salón exterior
3 dormitorios para cama de matrimonio, en suite, cada uno con su baño completo.
Adicionalmente hay otro dormitorio para cama individual con baño completo, que puede ser de servicio ó de invitados.
En Jaime Val
",retiro
1.075.000,Piso en Calle del Alcalde Sainz de Baranda Niño Jesús,91,2,Planta 5ª exterior con ascensor,/inmueble/108496313/,"
Le presentamos un piso de 91 m² construidos en la quinta planta de una finca regia de 1950 en la cotizada zona de Ibiza, en Madrid. El edificio, con ascensores y servicio de conserjería, ofrece un entorno de gran comodidad y seguridad. La propiedad destaca por su funcional distribución y la abundante luz natural que recibe gracias a su orientación sur, creando un ambiente acogedor y cálido durante todo el día.
El piso se entregará a estrenar, totalmente reformado y completamente amueblado. La vivienda dispone de un amplio y luminoso salón-come
",retiro
2.500.000,Piso en Calle de Alberto Bosch Jerónimos,227,3,Planta 1ª exterior con ascensor,/inmueble/103839118/,"
DIZA Consultores les presenta excepcional piso de lujo, en exclusiva para sus clientes en edificio representativo en Jerónimos.
En la primera planta de un edificio construido a principios del siglo XX, encontramos este magnífico piso de techos altos de 227 metros cuadrados.
El acceso a la vivienda da a un amplio hall que la distribuye. Desde éste, se puede acceder a la amplia zona de recibo con un luminoso salón con amplios ventanales con orientación sur.
La zona de descanso se compone de tres dormitorios dobles, todos en suite, el principal
",retiro
1.090.000,Piso en Calle del Doctor Esquerdo Adelfas,140,4,Planta 1ª exterior con ascensor,/inmueble/108893922/,"
CONTACTAR CON EXTENSIÓN Nº3
Se vende magnífica vivienda situada en la zona de Conde de Casal, dentro del distrito de Retiro.
Ubicado en una urbanización privada con excelentes servicios. Este piso ofrece comodidad, amplitud y seguridad para toda la familia.
La vivienda tiene 4 dormitorios amplios, dos baños completos (uno de ellos en suite), una gran terraza, trastero y plaza de garaje con acceso directo incluida en el precio y todo lo necesario para disfrutar del día a día con la máxima calidad de vida.
La última reforma se realizó en el añ
",retiro
2.400.000,Ático en Estrella Madrid,280,3,Planta 14ª exterior con ascensor,/inmueble/108081497/,"
Descubre la joya del distrito Retiro, un ático espectacular que redefine el concepto de lujo y exclusividad en pleno corazón de Madrid. Este inmueble de alta gama, con una impresionante superficie construida de 280 m², ofrece un diseño moderno y funcional, ideal para quienes buscan un estilo de vida sofisticado. Con tres dormitorios principales y dos baños, cada rincón de esta vivienda ha sido concebido para proporcionar el máximo confort y elegancia.
El ático destaca por su luminosidad excepcional, gracias a sus grandes ventanales que permite
",retiro
1.050.000,Piso en Ibiza Madrid,117,3,Planta 4ª exterior con ascensor,/inmueble/108228487/,"
Descubre este magnífico piso ubicado en el codiciado barrio de Ibiza, dentro del distrito de Retiro en Madrid, una de las zonas más prestigiosas y demandadas de la capital. Este inmueble, con una superficie construida de 117 m², ofrece un espacio ideal para quienes buscan una vivienda luminosa, con orientación sur y un diseño impecable. Cuenta con tres amplios dormitorios, dos baños, una cocina funcional y una distribución exterior que garantiza la entrada de luz natural durante todo el día.
Entre las características destacadas del piso, enco
",retiro
2.790.000,Piso en Ibiza Madrid,145,2,Planta 5ª exterior con ascensor,/inmueble/108633478/,"
DIZA Consultores presenta en exclusiva para sus clientes piso en Menéndez Pelayo con terraza con vistas al Retiro.
En la quinta planta de un edificio con fachada clásica construido a principios del siglo XX, se encuentra este luminoso piso de 145 metros cuadrados, incluyendo la terraza.
El piso tiene un amplio salón con mucha luz gracias a los dos balcones de suelo a techo con vistas inmejorables al Parque del Retiro. Desde ambos balcones se puede acceder a la terraza corrida donde cabe una mesa redonda para dos personas.
El comedor está i
",retiro
1.150.000,Piso en Ibiza Madrid,120,3,Planta 1ª interior con ascensor,/inmueble/108458803/,"
PISO DE TRES HABITACIONES REFORMADO Y AMUEBLADO EN IBIZA
aProperties pone a la venta este maravilloso piso de 120m2 según catastro, ubicado en la primera planta de una bonita finca clásica del castizo barrio de Ibiza, distrito Retiro.
La vivienda ha sido totalmente reformada contando con amplio salón comedor con una magnífica cocina con electrodomésticos de alta gama y una magnífica cocina que hará las delicias de los amantes culinarios. la zona se inunda de una impresionante luz a pesar de estar en planta interior. La vivienda cuenta con tre
",retiro
