precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
1.800;Dúplex en Calle Esperanza Sánchez Carrascosa 60;85;2;Planta 3ª exterior con ascensor;/inmueble/1877653/;"
Ático-duplex muy luminoso y silencioso con fantástica terraza, en urbanización cerrada. Plaza de garaje, trastero y gastos de comunidad incluidos en el precio. Distribuido en dos plantas con aire acondicionado y bomba de calor en salón y habitaciones. Planta Principal: salón con acceso directo a terraza muy soleada y c
";tetuan
2.000;Piso en Calle de la Infanta Mercedes Cuzco-Castillejos;64;1;Planta 3ª exterior con ascensor;/inmueble/109168862/;"
aREa Koa presenta este exclusivo piso en alquiler en la calle Infanta Mercedes, situado en una planta alta de un edificio moderno con excelente ubicación en una de las zonas más dinámicas del norte de Madrid, a pocos minutos de Plaza Castilla.
Esta luminosa vivienda exterior de 70 m², completamente amueblada con muebl
";tetuan
1.300;Piso en Calle de Juan de Olías 1;70;2;Planta 4ª exterior con ascensor;/inmueble/109263270/;"
Apartamento amplio, luminoso, coqueto, limpio y acogedor. 70 m2 divididos en recibidor, salón, cocina, dos habitaciones y dos cuartos de baño completos. Wi-fi, TV por cable, aire acondicionado y calefacción. Edificio con portero, dos ascensores y camaras de seguridad. A 5 minutos del Bernabeu, muy bien comunicado con u
";tetuan
3.530;Piso en Paseo de la Dirección 163;93;3;Planta 18ª exterior con ascensor;/inmueble/106462166/;"
Vive Skyline al máximo! Reserva y disfruta de 1 MES GRATIS!
No dejes pasar la oportunidad de estrenar hogar con una oferta única, solo por tiempo limitado. ¡Haz tu mudanza más fácil y ahorra desde el primer día!
¡Bext Skyline, la revolución del alquiler!
ÚLTIMAS VIVIENDAS!
Exclusivo edificio de diseño para alquiler,
";tetuan
1.750;Piso en Calle del Poeta Joan Maragall Cuzco-Castillejos;88;3;Planta 15ª interior sin ascensor;/inmueble/109263339/;"
• Ideal Para Parejas / Familia / Trabajadores
• Disponibilidad inmediata, Septiembre.
• Distribuido en: Salón, Comedor, 3 dormitorios, 2 estándar y 1 grande, 1 dormitorio con armario empotrado, un baño completo con bañera mas un aseo con plato de ducha.
• La estación de metro Valdeacederas (L1) a 3 min andando y Plaza
";tetuan
3.455;Piso en Paseo de la Dirección 163;93;3;Planta 23ª exterior con ascensor;/inmueble/106528841/;"
¡Vive Skyline al máximo! ¡Reserva y disfruta de 1 MES GRATIS!
No dejes pasar la oportunidad de estrenar hogar con una oferta única, solo por tiempo limitado. ¡Haz tu mudanza más fácil y ahorra desde el primer día!
¡Bext Skyline, la revolución del alquiler!
ÚLTIMAS VIVIENDAS!
Exclusivo edificio de diseño para alquil
";tetuan
1.300;Estudio en Berruguete Madrid;Planta;35;2 horas;/inmueble/109262724/;"
GLOBALPISO - TETUÁN alquila estudio para temporada. Se encuentra en una 1ª planta exterior con ascensor. Consta de 35m2 distribuidos en amplio salón con cocina integrada, equipada y totalmente amueblada y baño con plato de ducha. Calefacción eléctrica y aire acondicionado frio y calor por conducto. Termo de agua calien
";tetuan
1.814;Piso en Paseo de la Dirección 163;51;1;Planta 24ª exterior con ascensor;/inmueble/106790393/;"
¡Vive Skyline al máximo! Reserva y disfruta de 1 MES GRATIS!
No dejes pasar la oportunidad de estrenar hogar con una oferta única, solo por tiempo limitado. ¡Haz tu mudanza más fácil y ahorra desde el primer día!
¡Bext Skyline, la revolución del alquiler!
ÚLTIMAS VIVIENDAS!
Exclusivo edificio de diseño para alquile
";tetuan
1.300;Piso en Berruguete Madrid;35;1;Planta 1ª interior con ascensor;/inmueble/109262722/;"
GLOBALPISO - TETUÁN alquila piso para temporada. Se encuentra en una 1ª planta, con ascensor. Consta de 35m2 distribuidos en amplio dormitorio, salón con cocina integrada, equipada y totalmente amueblada y baño con plato de ducha. Calefacción eléctrica y Aire acondicionado frio y calor por conducto. Termo de agua calie
";tetuan
2.295;Piso en Paseo de la Dirección 163;73;2;Planta 18ª exterior con ascensor;/inmueble/106462092/;"
¡Vive Skyline al máximo! Reserva y disfruta de 1 MES GRATIS!
No dejes pasar la oportunidad de estrenar hogar con una oferta única, solo por tiempo limitado. ¡Haz tu mudanza más fácil y ahorra desde el primer día!
¡Bext Skyline, la revolución del alquiler!
ÚLTIMAS VIVIENDAS!
Exclusivo edificio de diseño para alquile
";tetuan
1.300;Piso en Calle José María de Castro 1;46;1;Planta 1ª exterior sin ascensor;/inmueble/36190967/;"
Magnífico piso reformado. Muy luminoso. Con ventanas en doble fachada que crean corriente de aire.
1 salón con chimenea decorativa y balcón
1 habitación con cama grande de 150x200
Cocina abierta y apartada con gran armario despensa
1 baño con jacuzzi
Muy gran armario ropero (5 cuerpos). Aire acondicionado y bomba de ca
";tetuan
2.700;Piso en Calle de la Infanta Mercedes Cuzco-Castillejos;110;2;Planta 4ª exterior con ascensor;/inmueble/109169091/;"
aREa Koa presenta este exclusivo piso nuevo a estrenar en alquiler en la calle Infanta Mercedes, una de las zonas más cotizadas del norte de Madrid, a tan solo unos pasos de Plaza Castilla. Ubicado en la última planta alta de un edificio moderno y nuevo, esta vivienda destaca por su elegante diseño, su excelente lumino
";tetuan
1.750;Piso en Calle de Salamanca 22;58;1;Planta 2ª exterior con ascensor;/inmueble/105032380/;"
Para mas viviendas como esta visite nuestra pagina web bepremiumrealestate. net (enlace al final de este anuncio).
BE Premium Real Estate ofrece en alquiler magnifico piso amueblado y con piscina en pleno corazón de Madrid.
El piso se distribuye en hall de entrada amplio y luminoso salón comedor con cocina independie
";tetuan
1.690;Piso en Paseo de la Dirección 163;42;1;Planta 11ª exterior con ascensor;/inmueble/106528789/;"
¡Vive Skyline al máximo! ¡Reserva y disfruta de 1 MES GRATIS!
No dejes pasar la oportunidad de estrenar hogar con una oferta única, solo por tiempo limitado. ¡Haz tu mudanza más fácil y ahorra desde el primer día!
¡Bext Skyline, la revolución del alquiler!
ÚLTIMAS VIVIENDAS!
Exclusivo edificio de diseño para alquile
";tetuan
1.700;Dúplex en Calle de los Hermanos de Andrés 10;120;2;Planta 3ª exterior con ascensor;/inmueble/109255851/;"
Precioso ático-duplex. SIN AMUEBLAR. DISPONIBLE EN NOVIEMBRE. SÓLO LARGA ESTANCIA. Muy luminoso. Con vistas a las 4 Torres y a la Plaza de Castilla. A 5 minutos del intercambiador y de las 4 Torres. Zona súper-tranquila, comunidad pequeña de sólo 8 vecinos. Amplia Terraza con toldo para disfrutar de cenas al aire libre
";tetuan
1.100;Estudio en Calle de Lérida Cuatro Caminos;Planta;24;;/inmueble/108555828/;"
Disponible Ya
Alquiler de temporada exclusivo para estudiantes. MINIMO 10 MESES.
Internet y limpieza incluidos.
Este encantador estudio amueblado se encuentra ubicado en el vibrante barrio de Cuatro Caminos, una zona popular entre estudiantes extranjeros en Madrid. Con sus 24 metros cuadrados, este espacio ofrece una
";tetuan
1.450;Piso en Cuatro Caminos Madrid;60;1;Planta 10ª exterior con ascensor;/inmueble/31983337/;"
Look and Find CASTELLANA te presenta la oportunidad de alquilar un amplio y luminoso apartamento en la planta alta, con vistas panorámicas al estadio de SANTIAGO BERNABEU, a la icónica zona del Paseo de la Castellana y la avenida del General Perón. Este piso ofrece un estilo de vida exclusivo en uno de los lugares más
";tetuan
2.401;Piso en Paseo de la Dirección 163;72;2;Planta 19ª exterior con ascensor;/inmueble/106528844/;"
¡Vive Skyline al máximo! ¡Reserva y disfruta de 1 MES GRATIS!
No dejes pasar la oportunidad de estrenar hogar con una oferta única, solo por tiempo limitado. ¡Haz tu mudanza más fácil y ahorra desde el primer día!
¡Bext Skyline, la revolución del alquiler!
ÚLTIMAS VIVIENDAS!
Exclusivo edificio de diseño para alquil
";tetuan
1.200;Estudio en Paseo de la Castellana Ventilla-Almenara;Planta;34;5 horas;/inmueble/103823025/;"
*** Disponible en Octubre *** Alquiler temporal, no larga duración **
*** Disponible en Octubre *** Alquiler temporal, no larga duración **
*** Disponible en Octubre *** Alquiler temporal, no larga duración **
iRent Madrid ofrece estudio en Paseo de la Castellana entre entre Plaza Castilla y las Cuatro Torres y el Ins
";tetuan
1.380;Piso en Paseo de la Dirección 163;42;1;Planta 10ª exterior con ascensor;/inmueble/108248194/;"
CAMPAÑA INCIO DE CURSO: ULTIMOS PRECIOS AJUSTADOS (solo para unidades anunciadas)
¡Bext Skyline, la revolución del alquiler!
ÚLTIMAS VIVIENDAS!
Exclusivo edificio de diseño para alquiler, con viviendas de 1, 2 o 3 dormitorios, modernas y muy luminosas con espectaculares vistas de Madrid desde sus amplias terrazas y g
";tetuan
1.650;Piso en Calle Santa Eulalia Berruguete;100;2; sin ascensor;/inmueble/109259759/;"
Bienvenido a este apartamento de 2 dormitorios completamente amueblado en Berruguete, Madrid. Esta propiedad cuenta con cocina equipada con horno y lavavajillas, aire acondicionado centralizado con calefacción eléctrica y balcón o terraza privados para su disfrute. Con todos los gastos incluidos (agua, luz, gas y wifi)
";tetuan
1.650;Piso en Calle de Orense Cuzco-Castillejos;95;2;Planta 5ª exterior con ascensor;/inmueble/94435738/;"
EXCLUSIVA VIVIENDA EN ALQUILER CON 2 TERRAZAS – CASTILLEJOS
Ref. AR2237
Arrenda presenta esta fantástica vivienda exterior, muy luminosa y con dos terrazas, ubicada en una quinta planta con ascensor dentro de una finca elegante con servicio de conserjería, en una de las zonas más demandadas de Madrid: Castillejos.
L
";tetuan
4.474;Piso en Paseo de la Castellana Cuzco-Castillejos;118;2; con ascensor;/inmueble/109259736/;"
Descubra la comodidad de este apartamento de 2 dormitorios situado en el animado barrio de Castillejos. Totalmente amueblado para su comodidad, esta propiedad cuenta con calefacción central y aire acondicionado para un control óptimo de la temperatura. La cocina está equipada con electrodomésticos esenciales, como lava
";tetuan
1.950;Piso en Calle de Orense 44;58;2;Planta 4ª exterior con ascensor;/inmueble/109227451/;"
Para más viviendas como está, visita nuestra pagina web bepremiumrealestate. net (enlace al final de este anuncio).
DISPONIBLE DESDE EL 4 DE OCTUBRE
BE Premium Real Estate ofrece piso en alquiler luminosa vivienda en fabuloso barrio de Cuzco.
La vivienda se distribuye en amplio salón comedor con zona de sofa y tv, c
";tetuan
1.650;Piso en Calle de Rosario Romero 3;79;3;Planta 1ª exterior con ascensor;/inmueble/109256956/;"
Se alquila piso luminoso, prácticamente nuevo, en una zona tranquila y muy bien comunicada. Muy cerca del metro Valdeacederas (línea 1), Ventilla (línea 9) y a 10 minutos a pie de Plaza Castilla.
La vivienda cuenta con:
-Salón
-Cocina
-Baño
-Dormitorio Principal en suite con armario empotrado, vestidor y baño incorpora
";tetuan
