precio,localidad,tamanio,habitaciones,descripcion,link,descripcion_larga,distrito
2.350.000,Piso en Avenida del General Perón Cuatro Caminos,360,5,Planta 6ª exterior con ascensor,/inmueble/103963452/,"
Walter Haus presenta este excepcional piso exterior, a reformar, y que ocupa una posición privilegiada en la Avenida de General Perón. Ubicado en la sexta planta, este impresionante inmueble ofrece un diseño cuidadosamente distribuido que comprende cinco habitaciones, cuatro baños, una amplia cocina equipada con abundante espacio de almacenamiento, y un inmenso salón independiente que se llena de luz natural.
Con varios armarios empotrados, así como plaza de garaje y trastero, esta vivienda asegura un almacenamiento conveniente y práctico para
",tetuan
2.350.000,Piso en Avenida del General Perón Cuatro Caminos,360,5,Planta 6ª exterior con ascensor,/inmueble/107636973/,"
Maravilloso piso al lado del Paseo de la Castellana
Engel & Völkers, inmobiliaria de lujo de Madrid, ofrece este maravilloso piso al lado del Paseo de la Castellana, en la Avenida General Perón, en una de las mejores zonas de la capital, rodeada de todo tipo de servicios.
El piso se encuentra en una sexta planta con grandes ventanales en el salón comedor lo que aporta gran luminosidad a la vivienda y la posibilidad de volver a recupera la terraza de aproximadamente 10 m2 con estupendas vistas despejadas.
En la zona de descanso cuenta con cinco
",tetuan
1.200.000,Piso en Cuatro Caminos Madrid,124,3,Planta 8ª exterior con ascensor,/inmueble/108693436/,"
Atico con reforma a estrenar en Cuatro Caminos
Engel & Völkers, inmobiliaria de lujo, comercializa este elegante ático reformado con calidades premium, situado en la octava planta de un edificio representativo en una de las arterias más valoradas de la zona AZCA – Cuatro Caminos.
La vivienda, completamente exterior, se distingue por su luminosidad excepcional durante todo el día gracias a su orientación sur y su ubicación en la última planta, lo que permite disfrutar de vistas despejadas y mucha luz incluso en las habitaciones interiores
Cuen
",tetuan
910.000,Piso en Cuatro Caminos Madrid,103,2,Planta 3ª exterior con ascensor,/inmueble/108833101/,"
Este luminoso piso, totalmente renovado, ofrece 100 m² de elegante espacio interior y un balcón de 8 m² con vistas despejadas a un tranquilo parque, perfecto para relajarse o disfrutar del ocio. Con una ubicación ideal en el barrio de Cuatro Caminos, a pocos pasos de la Avenida del General Perón y del distrito financiero de AZCA, y a solo 10 minutos a pie del Estadio Santiago Bernabéu. Este amplio piso de dos habitaciones, cuidadosamente diseñado para la comodidad y la funcionalidad, cuenta con dos amplias habitaciones, dos elegantes baños y un
",tetuan
15.000.000,Dúplex en Calle de Raimundo Fernández Villaverde Cuatro Caminos,1.200,6,Planta 10ª exterior con ascensor,/inmueble/108728527/,"
Ático-Dúplex de Superlujo en Castellana-Orense: Exclusividad y Elegancia a Estrenar
Presentamos una propiedad única y superexclusiva en el corazón de Madrid, en la prestigiosa zona de Castellana-Orense, distrito de Tetuán. Este ático-dúplex de 500 m² construidos redefine el concepto de lujo en vivienda urbana. Con una distribución impecable, cuenta con 6 dormitorios (5 principales y 1 secundario), 7 baños (5 principales, 1 secundario y 1 aseo) y acabados de altísima calidad que incluyen suelos de mármol y una luminosidad excepcional en cada ri
",tetuan
3.495.000,Ático en Paseo de la Castellana Cuzco-Castillejos,400,4,Planta 11ª exterior con ascensor,/inmueble/106910454/,"
Ático de esquina en el Paseo de la Castellana, Madrid, con diseño exclusivo y ubicación privilegiada con dos plazas de garaje y un trastero.
Con 400 m², esta vivienda combina lujo, confort y funcionalidad. Dispone de 4 dormitorios en suite, amplio recibidor de 30 m² con chimenea, salón-comedor, sala de TV, cocina independiente totalmente equipada, aseo de cortesía, lavadero y terraza privada en el dormitorio principal. Jardineras decorativas exteriores rodean el piso, aportando frescura y elegancia.
El dormitorio principal incluye un vestidor
",tetuan
1.575.000,Piso en Paseo de la Castellana Cuzco-Castillejos,220,4,Planta 2ª exterior con ascensor,/inmueble/108400860/,"
INMOLUX API Agente de la Propiedad Inmobiliaria COL.1044 Presenta:
Exclusiva vivienda señorial en Paseo de la Castellana
Ubicada en una distinguida finca señorial en el Paseo de la Castellana, una de las avenidas más emblemáticas de Madrid, esta impresionante propiedad de aproximadamente 200 m² ofrece una oportunidad única tanto por su amplitud como por su ubicación privilegiada.
Originalmente destinada a uso de oficina, actualmente está registrada y habilitada como vivienda.
Distribución y espacios
La vivienda se compone de:
Cuatro amplios dor
",tetuan
230.000,Piso en Calle de Aníbal Cuzco-Castillejos,31,1,Bajo exterior sin ascensor,/inmueble/108842154/,"
Disponible para 08 de Septiembre 2025
Distrito Tetuán, Barrio de Cuzco-Castillejos, 31m², estudio exterior muy luminoso, calefacción individual eléctrica y ACS termo eléctrico. Cocina amueblada con electrodomésticos, resto de la vivienda completamente amueblada.
El estado de la vivienda recién reformada. Ventanas doble cristal oscilobatientes y persianas eléctricas de seguridad.
Se distribuye en salón-comedor con cocina integrada, distribuidor, baño independiente con plato de ducha y mampara de cristal, Dormitorio separado del salón por biom
",tetuan
495.000,Piso en CL Amalia Cuzco-Castillejos,143,2,Bajo exterior sin ascensor,/inmueble/108471307/,"
Gilmar Consulting Inmobiliario Castellana-Orense, vende estupendo piso en zona de Castillejos, totalmente reformado, de dos dormitorios, el principal en suite, dos baños, terraza y garaje.
La vivienda es prácticamente diáfana y cuenta con 143m2. Se ha dividido en tres zonas perfectamente definidas y muy funcionales to
",tetuan
1.450.000,Ático en CL Lerida Cuatro Caminos,221,4,Planta 3ª exterior con ascensor,/inmueble/108711934/,"
Gilmar Consulting Inmobiliario Castellana-Orense en la zona de Cuatro Caminos vende espectacular Ático - Duplex en urbanización cerrada con piscina, gimnasio, sala de eventos y fiestas y parking privado, trastero y dos plazas de garaje incluidos en el precio, situado en una tercera planta exterior, con ascensor, de cua
",tetuan
1.100.000,Piso en Paseo de la Castellana Ventilla-Almenara,160,3,Planta 3ª exterior con ascensor,/inmueble/108145439/,"
Exclusiva vivienda reformada en Paseo de la Castellana
Ubicada en una tercera planta de un edificio representativo en el Paseo de la Castellana, esta espectacular vivienda de 160 m² ha sido completamente reformada con materiales de primerísima calidad y diseñada para ofrecer el máximo confort.
Destaca su impresionant
",tetuan
360.000,Piso en Calle de Porfirio Berruguete,72,1,Planta 2ª exterior con ascensor,/inmueble/108760755/,"
Gilmar presenta en este magnífico piso exterior, ubicado en una finca moderna de 2002 en la tranquila calle Porfirio, muy próximo a Marqués de Viana y Bravo Murillo, en el corazón del barrio de Berruguete. Una zona residencial consolidada, con excelente comunicación por transporte público (Metro Tetuán L1 y varias líne
",tetuan
325.000,Piso en Calle de las Orquídeas Valdeacederas,74,1,Bajo exterior con ascensor,/inmueble/108307077/,"
Gilmar Castellana-Orense presenta este fantástico piso con un agradable patio donde disfrutar del buen tiempo. Próximo a colegios, zonas comerciales y de ocio.
Presentamos un piso de un dormitorio, salón con salida al patio, cocina independiente, habitación y baño.
Se accede a un recibidor que es a la vez distribuidor
",tetuan
2.690.000,Ático en Cuzco-Castillejos Madrid,394,9,Planta 9ª exterior con ascensor,/inmueble/108703820/,"
Espectacular ático dúplex con gran terraza
Engel & Völkers Inmobiliaria de Lujo presenta esta impresionante propiedad ubicada en pleno Paseo de la Castellana. Se trata de un ático dúplex para reforma integral, con todas las orientaciones y una amplia terraza de más de 30 m² con orientación oeste. La propiedad represent
",tetuan
560.000,Piso en Bellas Vistas Madrid,102,3,Planta 2ª exterior sin ascensor,/inmueble/108111231/,"
Estupendo piso en pleno corazon de Bellas Vistas
Engel & Völkers comercializa este encantador piso en pleno corazon de Bellas Vistas en exelentes condiciones, ubicado en la codiciada zona de Tetuán. Con un total de 100 m², . Es una 2 planta, este hogar consta de 3 dormitorios y 2 baños, los armarios empotrados, una sal
",tetuan
1.800.000,Piso en Cuatro Caminos Madrid,175,3,Planta 2ª exterior con ascensor,/inmueble/106776608/,"
Sí estas buscando tu nueva propiedad en Madrid, te queremos enseñar esta espléndida vivienda de 175 metros cuadrados reformada parcialmente, situada en la en la segunda planta alta que tiene altura de tercero, en un magnífico edificio de 1956. Ubicado en un punto estratégico de la ciudad, con vistas a la torre Europa y
",tetuan
