precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
950;Piso en Avenida de Córdoba Almendrales;45;1;Planta 6ª interior con ascensor;/inmueble/109260131/;"
Inmobiliaria David Maqueda presenta este encantador piso de alquiler, completamente amueblado, ideal para quienes buscan confort, estilo y una excelente ubicación en Madrid.
La vivienda, de un dormitorio, destaca por su diseño único de inspiración mozárabe, con acabados en madera que aportan calidez y un carácter muy
";usera
1.100;Estudio en Calle de Hermenegildo Bielsa Moscardó;Bajo;75;;/inmueble/105432452/;"
ALQUILER TEMPORAL – LOFT CERCA DE LEGAZPI (4 MESES)
Se alquila loft moderno y funcional en un barrio tranquilo y bien ubicado, disponible **por 4 meses**. Este espacio cuenta con un diseño acogedor, una cocina totalmente equipada, un baño amplio y una luminosa sala de estar con grandes ventanales que permiten la entr
";usera
1.500;Piso en Almendrales Madrid;77;2;Planta 4ª exterior con ascensor;/inmueble/109251464/;"
Magnifica Vivienda a estrenar muy luminosa. Alta calidad en los materiales y acabados. Dos habitaciones (1 suite) con baños completos. Cocina totalmente equipada. Persianas motorizadas en toda la vivienda. Sistema de climatización mediante Aerotermia con termostatos individuales. Terrazas en salón y habitación principa
";usera
1.160;Piso en Paseo de Santa María de la Cabeza Moscardó;60;2;Bajo exterior con ascensor;/inmueble/107902412/;"
**DISPONIBLE 01 SEPTIEMBRE**ALQUILER TEMPORAL **
VISITA Ó RESERVA ONLINE NO TE QUEDES SIN LA OPORTUNIDAD DE ESTE AMPLIO Y LUMINOSO PISO.
Este magnífico apartamento completamente amueblado y equipado está listo para que entres a vivir. Con una decoración preciosa que invita a quedarse en casa.
El piso de 55m² está to
";usera
1.400;Dúplex en Calle Torrox San Fermín;140;2;Planta 7ª exterior con ascensor;/inmueble/109251462/;"
ESTUDIO SALAMANCA OFRECE DUPLEX ATICO EXTERIOR CON TERRAZA
ENTRADA INMEDIATA!
CONDICIONES: MES EN CURSO, MES DE FIANZA Y MES DE PERSONAL SHOPPER + IVA.
Estudio Salamanca pone a disposición esta elegante y luminosa vivienda situada en una séptima planta exterior con ascensor, dentro de una finca moderna ubicada en un
";usera
1.300;Chalet adosado en Calle Rochapea San Fermín;70;2;;/inmueble/106158854/;"
SERVICHECK ALQUILA INCREIBLE CHALET ALQUILER TEMPORAL DESDE EL 17 DE NOVIEMBRE 2025
Esta es una acogedora casa de 70 metros cuadrados, situada en la zona de San Fermín. Cuenta con dos dormitorios, perfectos para compartir con amigos. El baño es funcional y moderno, con acabados elegantes. La vivienda ofrece dos patios
";usera
1.295;Casa o chalet independiente en Calle Ibarra Orcasitas;100;3;Publicado ayer ;/inmueble/109250073/;"
Mágnifica vivienda en Orcasitas. Se compone de 2 plantas. 1º planta cocina completamente amueblada y equipada, aseo, salón-comedor con acceso a patio privado de 40m2. 2º planta, 3 dormitorios con armarios empotrados y cuarto de baño completo con plato de ducha.
No se admiten mascotas. Se alquila sin amueblar. Próximo a
";usera
850;Piso en Calle de José Bielsa Pradolongo;30;1;Bajo interior sin ascensor;/inmueble/103496736/;"
Para mas información y visitas contactar con Esther al 602_250_276 (también atiende por WhatsApp)
¡Aprovecha esta oportunidad única!
Acogedor piso de una habitación en el distrito Usera.
Este inmueble, amueblado y con cocina equipada, ofrece comodidades como baño con plato de ducha, ventana en todas las estancias, c
";usera
1.500;Piso en Calle de Carabelos 31;64;3;Planta 3ª exterior con ascensor;/inmueble/106821513/;"
Luminoso Piso Exterior en Alquiler a 5 Minutos del Hospital 12 de Octubre
Dirección: En una ubicación estratégica a tan solo 5 minutos a pie del Hospital 12 de Octubre, con excelente conexión al transporte público y rodeado de servicios esenciales.
Descripción del Piso:
Este piso exterior de 64 m², lleno de luz y tra
";usera
1.420;Ático en Avenida de Córdoba Almendrales;55;1;Planta 10ª exterior con ascensor;/inmueble/102129756/;"
Obtén MEDIO MES gratuito firmando el contrato antes del 30/09/25. *Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble.
Estupendo ático de 1 dormitorio CON TERRAZA. Y además, ¡con garaje y trastero incluidos!
*Es condición esencial permanecer en la vivienda al menos 12 meses, de no ser as
";usera
