precio,localidad,tamanio,habitaciones,descripcion,link,descripcion_larga,distrito
335.000,Piso en Calle del Simca Orcasitas,137,3,Planta 5ª exterior con ascensor,/inmueble/108730511/,"
CONTACTAR CON EXTENSIÓN Nº1
Esta excepcional vivienda en perfecto estado de conservación, destaca por sus acabados de alta calidad. Se encuentra en una quinta planta, gran luminosidad en todas sus estancias.
Tiene 91 m² de vivienda y se distribuye en:
-Amplio salón con hall de entrada armario empotrado. (AIRE ACONDI
",usera
332.000,Piso en Calle San Antonio de Padua Almendrales,102,3,Planta 3ª exterior sin ascensor,/inmueble/109054839/,"
CONTACTAR CON EXTENSIÓN Nº1
Piso en venta en la zona de Almendrales, perteneciente al distrito de Usera.
La vivienda se localiza en la tercera planta del edificio y cuenta con ITE favorable.
El inmueble destaca por buena iluminación y buena distribución.
Dispone de 96metros cuadrados construidos, distribuidos en:
",usera
399.000,Chalet pareado en Orcasitas Madrid,95,3,,/inmueble/108806504/,"
Chalet Pareado en Orcasitas de 95 m2 repartido en planta. Descubre la elegancia y el confort en este magnífico chalet pareado ubicado en la exclusiva zona de Orcasitas, dentro del distrito de Usera, Madrid. Este inmueble, con una superficie construida de 95 m² distribuidos en dos plantas, más buhardilla ofrece un espac
",usera
449.000,Piso en Pradolongo Madrid,148,4,Planta 2ª exterior sin ascensor,/inmueble/108813058/,"
Gilmar Madrid Rio vende en el corazón del barrio de Pradolongo, en el distrito de Usera, esta excelente oportunidad de inversión. Este piso de 148 m² construidos está diseñado para maximizar la rentabilidad, ofreciendo cuatro habitaciones con baño en suite, ideales para alquileres individuales, y una zona común que inc
",usera
280.000,Piso en Plaza Movimiento Ciudadano Orcasitas,107,3,Planta 2ª exterior sin ascensor,/inmueble/108506168/,"
CONTACTAR CON EXTENSIÓN Nº1
Se vende piso de grandes dimensiones en el Poblado de Orcasitas. A diez minutos a pie del polideportivo de Orcasitas. A siete minutos a pie del Mercadona y las paradas de autobuses. Muy próximo a farmacias, gasolineras y al centro de salud.
La vivienda se localiza en la segunda planta sin
",usera
283.000,Piso en Calle Luis de la Torre Pradolongo,62,3,Planta 2ª exterior sin ascensor,/inmueble/109242309/,"
CONTACTAR CON EXTENSIÓN Nº1
Descubre este acogedor piso en venta en plena capital, ubicado en el dinámico barrio de Usera, una zona con todos los servicios al alcance de la mano.
La vivienda se encuentra en la segunda planta de un edificio con ITE favorable y cuenta con 62 m² muy bien aprovechados, perfectos para dis
",usera
345.000,Piso en Calle Maíz Zofío,138,3,Planta 1ª exterior con ascensor,/inmueble/109251821/,"
CONTACTAR CON EXTENSIÓN Nº1
¡Oportunidad en Usera! Piso en venta con garaje y trastero
Se vende amplio piso en Usera, situado en la primera planta de un edificio con ascensor construido en 1996.
La vivienda cuenta con 138 m² construidos, bien distribuidos en:
- 3 dormitorios
- 2 baños completos
- Salón amplio y muy
",usera
265.000,Piso en Calle Maracena 12 de Octubre-Orcasur,124,4,Planta 4ª exterior sin ascensor,/inmueble/108697491/,"
CONTACTAR CON EXTENSIÓN Nº1
Se vende amplio dúplex ubicado en la calle Maracena 11, en una cuarta planta sin ascensor.
Con posibilidad de instalar ascensor, en otras fincas de la comunidad ya están aprobadas.
La vivienda cuenta con una superficie construida de 124 metros cuadrados, distribuidos en dos plantas.
Disp
",usera
240.000,Piso en Calle de la Marquesa de Silvela Moscardó,43,2,Planta 3ª exterior con ascensor,/inmueble/109042946/,"
CONTACTAR CON EXTENSIÓN Nº1
El edificio fue construido en 1955 y cuenta con la ITE (Inspección Técnica del Edificio) favorable.
La vivienda está en buen estado y lista para entrar a vivir.
Características principales del inmueble:
-Salón con aire acondicionado.
- Dos dormitoritos, armario empotrado en la habitación
",usera
305.000,Piso en Calle de Marcelo Usera Zofío,88,3,Planta 1ª exterior con ascensor,/inmueble/108580595/,"
CONTACTAR CON EXTENSIÓN Nº2
Oportunidad en Plaza Elíptica: piso exterior con ventilación cruzada y excelente ubicación
Se vende fantástico piso en la Calle Marcelo Usera, próximo al metro de Plaza Elíptica, en una de las zonas más dinámicas y bien comunicadas de Madrid. La vivienda cuenta con una superficie construid
",usera
