precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
1.300;Piso en Calle Ferenc Puskas El Cañaveral;91;2;Planta 2ª exterior con ascensor;/inmueble/99753751/;"
Axial Homes es un conjunto residencial de obra nueva de 105 viviendas de 1 y 2 dormitorios, en un moderno edificio, distribuido en planta baja más seis alturas, que dispone de atractivas zonas comunes para disfrute de sus vecinos. El proyecto se ubica en el sureste de Madrid, en El Cañaveral.
Viviendas de nueva constr
";vicalvaro
1.700;Piso en Calle de la Casa de Tilly 31;85;2;Planta 8ª exterior con ascensor;/inmueble/109028174/;"
Si buscas estrenar un piso de obra nueva, con todas las comodidades y espacios pensados para tu bienestar, esta es tu oportunidad.
Urbantec Realty te presenta una fantástica vivienda de 2 dormitorios, 2 cuartos de baño y terraza, disponible para alquiler de temporada a partir de septiembre, con la posibilidad de entre
";vicalvaro
1.590;Piso en Avenida Provisional Gran Vía De Vicálvaro 17;84;2;Planta 2ª exterior con ascensor;/inmueble/109251890/;"
Se alquila espectacular piso de 2 dormitorios y 2 baños, con trastero, plaza de garaje, piscina, gimnasio y domótica de última generación. Vivienda nueva, acabados de calidad premium y suelo radiante refrescante/calefactable (aerotermia) para máximo confort durante todo el año.
Ubicado en una urbanización pequeña y m
";vicalvaro
3.100;Chalet adosado en El Cañaveral Madrid;273;4;;/inmueble/105498791/;"
La Inmobiliaria Internacional CPM gestiona este amplio y luminoso chalet adosado, nuevo y a estrenar de 273 m2, 4 habitaciones, terraza y jardín, situado en urbanización cerrada, con magnificas zonas comunes, que consta de los siguientes elementos:
Planta de entrada: Un amplio hall de entrada. Una cocina con office, t
";vicalvaro
1.250;Piso en Calle de Calahorra 12;72;3;Planta 3ª exterior sin ascensor;/inmueble/84533325/;"
Se atiende mejor WhatsApp que llamadas para primer contacto.
Abstenerse agencias.
Se alquila fantástico piso, luminoso, recien reformado integralmente con las mejores calidades y electrodomésticos
72 m2, 3 habitaciones, 1 baño.
Totalmente exterior, todas las habitaciones luminosas y con vistas a la calle.
Aire ac
";vicalvaro
1.382;Piso en Calle del Cerro del Monte 19;124;4;Planta 4ª exterior con ascensor;/inmueble/104357562/;"
¡ALQUILA AHORA Y LLÉVATE EL PRIMER MES GRATIS!
¡SIN COMISIONES DE AGENCIA!
Te presentamos esta magnífica urbanización en El Cañaveral, el nuevo desarrollo urbano de Madrid, en una ubicación privilegiada, conectando con el centro de Madrid a menos de 15 minutos y a 3 kilómetros de Coslada. Un barrio moderno, de fácil a
";vicalvaro
950;Piso en Ambroz Madrid;70;3;Planta 2ª exterior con ascensor;/inmueble/109158598/;"
Piso en segunda planta con ascensor en la calle Villacarlos.
Tres habitaciones, un baño y terraza.
Cocina con electrodomésticos (vitrocerámica, campana extractora, horno, frigorífico y termo eléctrico). Bomba de calor/frío en el comedor.
Semiamueblado.
Se pide un mes de garantía, un mes de fianza y el mes en curso
";vicalvaro
1.845;Piso en Calle Anna Frank 19;90;2;Planta 3ª exterior con ascensor;/inmueble/109242217/;"
ALQUILER FLEXIBLE DE 1 A 11 MESES TODOS LOS SUMINISTROS INCLUIDOS, ¡SIN COMISIONES DE AGENCIA!
Vivienda de reciente construcción, amueblada y equipada, con suministros incluidos en el precio (incl. wifi), sin comisiones adicionales.
Alquiler flexible para un estilo de vida moderno y sin compromisos. Este apartament
";vicalvaro
695;Estudio en Casco Histórico de Vicálvaro Madrid;Planta;29;10 sep ;/inmueble/109241500/;"
FANTASTICO ESTUDIO - EXCELENTE UBICACION!
Metro Madrid-San Cipriano.
Totalmente reformado y amueblado + Smart tv + aire acondicionado.
NO DUDES EN CONCERTAR UNA VISITA AHORA!
Todo tipo de comercio en la zona, supermercados, restaurantes, farmacias, tiendas de alimentación, parques y varias paradas de autobús a menos
";vicalvaro
3.000;Chalet adosado en Calle del Cerro del Monte 62;305;4;10 sep ;/inmueble/109238362/;"
Se alquila espectacular chalet unifamiliar en El Cañaveral, un espacio, a tu alcance, para disfrutar de una gran calidad de vida, en una vivienda de altas prestaciones, y sin renunciar a todas las ventajas de vivir en Madrid.
La propiedad ofrece el disfrute de casi 500 m2 de uso privativo, en un espacio de diseño mod
";vicalvaro
