precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
348.900;Piso en Avenida Mayorazgo 34;96;2;Planta 5ª exterior con ascensor;/inmueble/109243956/;"
Terraza de 8,08 m2.
Atención en la oficina de ventas con cita previa.
Obra nueva con entrega finales del 2028
¡Empieza la venta de Residencial Lyra en Valdecarros!
Descubre Residencial Lyra, la primera promoción de renta libre en Valdecarros, el nuevo eje de crecimiento del sureste de Madrid. Ubicada en la Etapa 1 y
";villa-de-vallecas
279.900;Piso en Calle de Entrepeñas 5;55;1;Planta 5ª exterior con ascensor;/inmueble/109244717/;"
Exclusiva vivienda en venta en Calle Entrepeñas, 5 – Ensanche de Vallecas (La Gavia), Madrid
Presentamos esta magnífica propiedad situada en la quinta planta de una finca de gran calidad en una de las zonas más demandadas del Ensanche de Vallecas, La Gavia, un enclave moderno, bien comunicado y rodeado de todos los se
";villa-de-vallecas
229.000;Piso en Calle de Sierra Gádor 30;48;2;Bajo exterior con ascensor;/inmueble/107886661/;"
VENTA DIRECTA PROPIEDAD.
Se vende magnifica vivienda, con posibilidad de uso turístico VUT, completamente a estrenar (se corresponde con la vivienda C en el plano). Cuenta con dos dormitorios, y baño espacioso con plato de ducha.
Con espacioso salón - comedor diseñado para el aprovechamiento de luz natural al máximo. L
";villa-de-vallecas
279.900;Piso en Calle de Puentelarra Santa Eugenia;82;3;Planta 4ª exterior con ascensor;/inmueble/107333453/;"
Luminoso y acogedor piso en Santa Eugenia, Villa de Vallecas, Madrid, ideal para quien busca tranquilidad, comodidad y calidad de vida.
Su ubicación es inmejorable, a pocos minutos del Hospital Infanta Leonor y con excelentes conexiones de metro y autobús para desplazarse fácilmente por la ciudad. La vivienda destaca
";villa-de-vallecas
260.000;Piso en Avenida del Ensanche de Vallecas Ensanche de Vallecas - La Gavia;87;1;Planta 4ª exterior con ascensor;/inmueble/107780564/;"
CONTACTAR CON LA EXTENSIÓN Nº 1
Precioso apartamento en venta en la plena avenida Ensanche de Vallecas.
La vivienda se localiza en la planta 4 del edificio, que dispone de ascensor, data del año 2007. La finca dispone de PLAZA DE GARAJE junto al ascensor. ZONAS COMUNES (como piscinas en azotea, zonas de solárium, zo
";villa-de-vallecas
309.000;Piso en Avenida del Ensanche de Vallecas Ensanche de Vallecas - La Gavia;70;2;Bajo exterior con ascensor;/inmueble/108928125/;"
Inmobiliaria VOhome Propiedades La Gavia vende piso en el Ensanche de Vallecas
Presentamos esta estupenda vivienda de 2 dormitorios y 2 baños, uno de ellos en suite y reformado, ubicada en una de las zonas más demandadas del Ensanche de Vallecas.
El piso incluye plaza de garaje y trastero, todo ello incluido en el pr
";villa-de-vallecas
269.900;Piso en Calle de Sierra Gádor Casco Histórico de Vallecas;90;3;Planta 2ª exterior sin ascensor;/inmueble/108962937/;"
TengoTuCasa presenta esta estupenda vivienda en venta en la calle Sierra de Gádor, en el barrio de Vallecas. El piso cuenta con salón comedor, tres dormitorios, un baño completo, cocina independiente y dos terrazas que aportan luz natural y ventilación cruzada a toda la vivienda. Se encuentra en muy buen estado por lo
";villa-de-vallecas
370.000;Piso en Calle de Zazuar Santa Eugenia;88;3;Planta 2ª exterior con ascensor;/inmueble/109077875/;"
Inmobiliaria Santa Eugenia VOhome VENDE
Vivienda completamente reformada en el barrio de Santa Eugenia con orientación suroreste y calefacción individual a gas.
Plaza de Garaje opcional no incluida en el precio.
Se compone de 3 dormitorios, amplio salón con aire acondicionado y acceso a terraza cubierta. Cuenta con
";villa-de-vallecas
539.000;Piso en Calle Rozas de Puerto Real Ensanche de Vallecas - La Gavia;110;3;Bajo exterior con ascensor;/inmueble/108561148/;"
Inmobiliaria VOhome propiedades La Gavia vende piso con dos patios.
Preciosa y amplia vivienda de 92m² con dos grandes patios privados de 93m²
Esta luminosa vivienda de reciente construcción (año 2018) destaca por su excelente distribución y cuidadoso mantenimiento. Cuenta con 3 dormitorios, amplio salón, cocina inde
";villa-de-vallecas
335.000;Piso en Calle de Fuentespina Santa Eugenia;89;3;Planta 9ª exterior con ascensor;/inmueble/108821153/;"
Piso en Venta en Fuentespina
Inmobiliaria Santa Eugenia VOhome Vende:
Vivienda con orientación noroeste de 3 dormitorios con armarios empotrados, salón con acceso a terraza cubierta de gran tamaño, cocina, 2 baños completos.
Cuenta con calefacción individual, suelos de tarima, puertas blancas, paredes lisas.
Esta vi
";villa-de-vallecas
330.000;Ático en Ensanche de Vallecas - La Gavia Madrid;67;1;Planta 7ª exterior con ascensor;/inmueble/108845012/;"
Servicheck vende precioso ático de una habitación en Ensanche de Vallecas, Madrid
Para mas consultas ponerse en contacto con Pablo Centomo al 602_25_10_37 ( también se atiende por whatsapp).
Se vende en rentabilidad, la vivienda se encuentra alquilada.
Presentamos este exclusivo ático ubicado en una de las zonas co
";villa-de-vallecas
229.900;Piso en Ensanche de Vallecas - La Gavia Madrid;51;1;Planta 6ª exterior con ascensor;/inmueble/109203139/;"
Excelente oportunidad de inversión en Ensanche de Vallecas – Avenida Ensanche de Vallecas, 108
Presentamos esta magnífica vivienda en sexta planta, exterior y muy luminosa, con 50 m², ubicada en una de las urbanizaciones más completas del Ensanche de Vallecas.
 Características de la vivienda:
Superficie: 50 m² cons
";villa-de-vallecas
249.500;Piso en Avenida del Ensanche de Vallecas Ensanche de Vallecas - La Gavia;48;1;Planta 3ª exterior con ascensor;/inmueble/108372257/;"
Inmobiliaria VOhome Propiedades La Gavia vende acogedor piso en el Ensanche de Vallecas.
La vivienda cuenta con 1 dormitorio independiente con puerta corredera, un luminoso salón con cocina americana, vestidor y un baño completo. En el precio se incluye una plaza de garaje.
Además, dispone de un altillo de aproximada
";villa-de-vallecas
