Distrito,Habitaciones,Operacion,Precio,Tamano,Garaje,Trastero,Piscina,Terraza,Planta,Exterior,Ascensor,Ano_construccion,Ano_reforma,Tipo_vivienda,Banos,Cluster_KMeans,Cluster_GMM,Cluster_HDBSCAN,Cluster_DP_GMM
CENTRO,2,0,1275,45.0,0,0,0,0,0.0,0,0,,,0,1,3,3,3,8
CENTRO,1,0,1750,79.0,0,0,0,0,5.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,2700,96.0,0,0,0,0,3.0,1,1,1910.0,,0,2,1,13,-1,13
CENTRO,3,0,4246,189.0,0,0,0,0,4.0,1,1,,,0,1,1,8,2,0
CENTRO,3,0,3000,146.0,0,0,0,0,3.0,1,1,1940.0,,0,1,1,0,2,0
CENTRO,1,0,1250,49.0,0,0,0,0,4.0,0,1,1880.0,,0,1,1,15,1,6
CENTRO,2,0,3000,135.0,0,0,0,0,2.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1499,71.0,0,0,0,1,6.0,1,1,,,0,1,1,8,2,0
CENTRO,3,0,1550,85.0,0,0,0,0,3.0,0,1,,,0,1,1,15,1,6
CENTRO,2,0,1650,95.0,0,0,0,0,3.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1100,46.0,0,0,0,0,1.0,1,0,1980.0,,0,1,3,16,1,15
CENTRO,1,0,1050,51.0,0,0,0,0,0.0,0,0,,1920.0,0,1,3,3,3,8
CENTRO,1,0,925,32.0,0,0,0,0,3.0,0,0,,,3,1,2,5,0,17
CENTRO,1,0,3000,42.0,0,0,0,1,4.0,1,1,,,3,1,4,5,0,3
CENTRO,1,0,1250,46.0,0,0,0,0,2.0,1,0,,2012.0,0,1,3,16,1,15
CENTRO,2,0,2700,92.0,0,0,0,0,5.0,1,1,,,7,1,4,4,0,3
CENTRO,2,0,1970,84.0,0,0,0,0,1.0,0,1,,,0,1,1,15,1,6
CENTRO,6,0,11000,557.0,0,0,0,0,2.0,1,1,,,0,5,1,12,-1,9
CENTRO,2,0,1800,50.0,0,0,0,0,2.963552021206097,0,0,,,0,1,3,3,3,8
CENTRO,3,0,3300,180.0,0,0,0,0,2.0,1,1,,,3,1,4,5,0,3
CENTRO,2,0,1250,40.0,0,0,0,0,0.0,1,0,,,0,1,3,16,1,15
CENTRO,2,0,2300,120.0,0,0,0,0,4.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,3200,90.0,0,0,0,0,2.963552021206097,0,1,,,0,1,1,15,1,6
CENTRO,3,0,3000,168.0,0,0,0,0,3.0,1,1,,,0,1,1,8,2,0
CENTRO,1,0,2610,60.0,0,0,0,1,2.963552021206097,0,1,,,0,1,1,15,1,6
CENTRO,1,0,1300,45.0,0,0,0,1,4.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1650,57.0,0,0,0,1,5.0,0,1,,,2,1,4,12,0,9
CENTRO,1,0,1150,38.0,0,0,0,0,3.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,2000,73.0,0,0,0,1,3.0,1,1,,,0,1,1,0,2,0
CENTRO,3,0,2300,75.0,0,0,0,0,3.0,0,1,,,0,1,1,15,1,6
CENTRO,1,0,3300,45.0,0,0,0,1,2.963552021206097,0,1,,,0,1,1,15,1,6
CENTRO,3,0,3500,150.0,0,0,0,0,6.0,1,1,,,7,1,4,4,0,3
CENTRO,1,0,3000,10.0,0,0,0,1,2.963552021206097,0,1,,,0,1,1,15,1,6
CENTRO,2,0,1300,60.0,0,0,0,0,5.0,1,0,,,7,1,4,5,0,17
CENTRO,1,0,3200,37.0,0,0,0,0,2.963552021206097,0,1,,,0,1,1,15,1,6
CENTRO,1,0,1500,56.0,0,0,0,0,0.0,0,0,,,2,1,2,5,0,17
CENTRO,1,0,2850,35.0,0,0,0,0,2.963552021206097,0,1,,,0,1,1,15,1,6
CENTRO,4,0,3100,150.0,0,0,0,0,3.0,0,0,,,0,1,3,19,3,7
CENTRO,2,0,2950,100.0,0,0,0,1,2.963552021206097,0,1,,,0,1,1,15,1,6
CENTRO,1,0,1000,38.0,0,0,0,0,0.0,1,0,,,0,1,3,16,1,15
CENTRO,2,0,2000,112.0,0,0,0,0,0.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,1200,35.0,0,0,0,0,4.0,1,0,,,0,1,3,16,1,15
CENTRO,2,0,1350,42.0,0,0,0,0,5.0,0,1,,,7,1,4,5,0,17
CENTRO,1,0,1499,60.0,0,0,0,0,4.0,0,0,,,2,1,4,5,0,17
CENTRO,2,0,2500,127.0,0,0,0,0,2.0,1,0,,,0,1,3,19,1,15
CENTRO,1,0,1150,60.0,0,0,0,0,0.0,0,1,,,0,1,1,15,1,6
CENTRO,1,0,1200,45.0,0,0,0,0,5.0,0,1,,,0,1,1,15,1,6
CENTRO,2,0,3100,130.0,0,0,0,0,1.0,1,1,1890.0,,0,1,1,0,2,0
CENTRO,1,0,1300,66.0,0,0,0,0,1.0,0,1,,,0,1,1,15,1,6
CENTRO,2,0,1400,46.0,0,0,0,0,3.0,1,0,,,0,1,3,16,1,15
CENTRO,1,0,1500,65.0,0,0,0,0,2.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1100,47.0,0,0,0,0,3.0,0,0,,,0,1,3,3,3,8
CENTRO,1,0,1000,38.0,0,0,0,0,4.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1350,51.0,0,0,0,0,3.0,1,0,,,0,1,3,16,1,15
CENTRO,3,0,3000,75.0,0,0,0,0,1.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,1450,78.0,0,0,0,0,3.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1350,46.0,0,0,0,0,2.0,1,0,,,0,1,3,16,1,15
CENTRO,3,0,10000,205.0,0,0,0,0,4.0,1,0,,,0,1,3,19,1,7
CENTRO,1,0,1750,60.0,0,0,0,0,4.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1100,48.0,0,0,0,0,3.0,0,0,,,0,1,3,3,3,8
CENTRO,3,0,3320,150.0,0,0,0,0,1.0,1,0,,,0,1,3,19,1,15
CENTRO,1,0,1000,55.0,0,0,0,0,2.0,0,1,,,0,1,1,15,1,6
CENTRO,1,0,3235,121.0,0,0,0,0,2.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1700,40.0,0,0,0,0,6.0,0,1,,,0,1,1,15,1,6
CENTRO,2,0,3180,120.0,0,0,0,0,1.0,1,1,,,0,1,1,0,2,0
CENTRO,6,0,11000,557.0,0,0,0,0,2.0,1,1,,,0,1,1,12,2,7
CENTRO,2,0,3150,86.0,0,0,0,0,5.0,1,1,,,0,2,1,13,-1,13
CENTRO,1,0,1450,78.0,0,1,0,0,3.0,0,1,,,0,1,5,18,0,12
CENTRO,2,0,4750,85.0,0,0,1,1,20.0,1,1,,,0,2,1,12,-1,9
CENTRO,1,0,1600,65.0,0,0,0,1,3.0,1,1,,,2,1,4,4,0,3
CENTRO,1,0,950,45.0,0,0,0,0,4.0,0,1,,,0,1,1,15,1,6
CENTRO,1,0,1690,47.0,0,0,0,0,1.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,4000,108.0,0,0,0,0,4.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1600,50.0,0,0,0,0,0.0,0,1,,,0,1,1,15,1,6
CENTRO,1,0,1100,45.0,0,0,0,0,1.0,0,0,,,0,1,3,3,3,8
CENTRO,2,0,1700,68.0,0,0,0,0,2.0,0,0,,,0,1,3,3,3,8
CENTRO,1,0,2555,80.0,0,0,0,0,3.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1450,70.0,0,0,0,0,2.0,1,1,,,0,1,1,0,2,0
CENTRO,3,0,5000,120.0,0,0,0,0,2.0,1,0,,,0,1,3,16,1,15
CENTRO,2,0,1700,90.0,0,0,0,0,5.0,1,0,,,0,1,3,19,1,15
CENTRO,1,0,1750,50.0,0,0,0,0,1.0,0,1,,,0,1,1,15,1,6
CENTRO,1,0,1600,50.0,0,0,0,0,0.0,0,1,1900.0,,0,1,1,15,1,6
